phase,metric,unit,pair,first_mode,nvhe_boot_median,protected_boot_median,penalty_pct
start,lat_mem:64,ns,1,nvhe,7.243,7.252,0.1242579041833336
start,lat_mem:64,ns,2,protected,7.247,7.24,-0.09659169311438953
start,lat_mem:64,ns,3,nvhe,7.244,7.242,-0.0276090557702946
start,lat_mem:64,ns,4,protected,7.238,7.244,0.0828958275766789
start,lat_mem:64,ns,5,nvhe,7.247,7.239,-0.11039050641644677
end,lat_mem:64,ns,1,nvhe,7.243,7.245,0.02761286759629389
end,lat_mem:64,ns,2,protected,7.248,7.239,-0.12417218543047115
end,lat_mem:64,ns,3,nvhe,7.239,7.245,0.08288437629506706
end,lat_mem:64,ns,4,protected,7.238,7.243,0.06907985631390279
end,lat_mem:64,ns,5,nvhe,7.238,7.25,0.1657916551533578
start,lat_mmap:0.5,us,1,nvhe,6.42296,7.129032,10.992937835515093
start,lat_mmap:0.5,us,2,protected,6.48876,7.472634,15.162742958593011
start,lat_mmap:0.5,us,3,nvhe,7.576188,7.419852,-2.063517959163641
start,lat_mmap:0.5,us,4,protected,6.149104,7.598188,23.56577478605013
start,lat_mmap:0.5,us,5,nvhe,6.230804,6.975872,11.957814753922612
end,lat_mmap:0.5,us,1,nvhe,6.031937,7.140315,18.37515875911835
end,lat_mmap:0.5,us,2,protected,6.309519,9.395928,48.91670823084928
end,lat_mmap:0.5,us,3,nvhe,6.348847,7.175961,13.027782839939285
end,lat_mmap:0.5,us,4,protected,6.117591,7.177304,17.322390463827997
end,lat_mmap:0.5,us,5,nvhe,6.395055,7.330111,14.621547430006455
start,lat_mmap:1,us,1,nvhe,10.304515,13.317978,29.24410319165918
start,lat_mmap:1,us,2,protected,9.055705,13.151153,45.22505978275575
start,lat_mmap:1,us,3,nvhe,9.49623,13.057075,37.497459518145604
start,lat_mmap:1,us,4,protected,10.109065,11.573353,14.484900433422876
start,lat_mmap:1,us,5,nvhe,8.998638,11.226835,24.76149168351922
end,lat_mmap:1,us,1,nvhe,8.903874,11.24301,26.270991705408232
end,lat_mmap:1,us,2,protected,11.301487,11.533106,2.0494559698206016
end,lat_mmap:1,us,3,nvhe,9.542826,11.473281,20.229384880327906
end,lat_mmap:1,us,4,protected,11.056222,11.376032,2.8925794000880245
end,lat_mmap:1,us,5,nvhe,10.83957,13.288948,22.596634368337476
start,lat_mmap:16,us,1,nvhe,83.87026,122.23554,45.74360446718539
start,lat_mmap:16,us,2,protected,84.3909,122.8944,45.62517996608639
start,lat_mmap:16,us,3,nvhe,85.4315,122.4397,43.31915043046184
start,lat_mmap:16,us,4,protected,85.19286,123.59976,45.08229915042177
start,lat_mmap:16,us,5,nvhe,84.49742,123.21834,45.82497311752238
end,lat_mmap:16,us,1,nvhe,84.849227,121.823397,43.576319204416556
end,lat_mmap:16,us,2,protected,84.108963,122.24864,45.345556097273466
end,lat_mmap:16,us,3,nvhe,84.07237,121.656006,44.70390926293619
end,lat_mmap:16,us,4,protected,84.455376,122.944696,45.57355827768737
end,lat_mmap:16,us,5,nvhe,84.188555,122.167479,45.11174232649557
start,lat_mmap:2,us,1,nvhe,16.163068,21.135432,30.76373866644626
start,lat_mmap:2,us,2,protected,15.940924,21.523248,35.01882325014534
start,lat_mmap:2,us,3,nvhe,17.113964,21.953012,28.275436362960683
start,lat_mmap:2,us,4,protected,16.590808,21.2622,28.15650690430509
start,lat_mmap:2,us,5,nvhe,16.876648,21.453916,27.121902406212417
end,lat_mmap:2,us,1,nvhe,16.132663,20.909888,29.61212913205957
end,lat_mmap:2,us,2,protected,16.524497,20.881881,26.36923834958487
end,lat_mmap:2,us,3,nvhe,15.904623,20.761167,30.535423568354926
end,lat_mmap:2,us,4,protected,16.436913,20.445542,24.387967497303165
end,lat_mmap:2,us,5,nvhe,16.242405,20.807754,28.107592440897754
start,lat_mmap:4,us,1,nvhe,25.495893,36.612127,43.6000966900826
start,lat_mmap:4,us,2,protected,26.998173,36.305107,34.472458562288644
start,lat_mmap:4,us,3,nvhe,26.61328,36.429587,36.88499501001004
start,lat_mmap:4,us,4,protected,26.809413,36.880313,37.5647911425737
start,lat_mmap:4,us,5,nvhe,27.759533,36.535627,31.614703316514724
end,lat_mmap:4,us,1,nvhe,25.63599,34.701992,35.36435300528671
end,lat_mmap:4,us,2,protected,25.456626,34.828569,36.815338372021486
end,lat_mmap:4,us,3,nvhe,25.810913,35.538965,37.6896857542389
end,lat_mmap:4,us,4,protected,25.717814,35.490912,38.00127802464082
end,lat_mmap:4,us,5,nvhe,25.798382,34.684076,34.44283443822174
start,lat_mmap:64,us,1,nvhe,320.422933,515.192933,60.785287175434476
start,lat_mmap:64,us,2,protected,323.446333,480.400067,48.52543312030686
start,lat_mmap:64,us,3,nvhe,325.539267,525.4738,61.416410635341265
start,lat_mmap:64,us,4,protected,325.368,476.207933,46.35979352609969
start,lat_mmap:64,us,5,nvhe,323.419067,477.234,47.55901821954116
end,lat_mmap:64,us,1,nvhe,322.28897,476.195687,47.754261338822744
end,lat_mmap:64,us,2,protected,323.771753,475.321767,46.80767009344389
end,lat_mmap:64,us,3,nvhe,324.148173,473.86186,46.1868057482465
end,lat_mmap:64,us,4,protected,322.841517,475.642593,47.33005761461588
end,lat_mmap:64,us,5,nvhe,326.1973,474.20021,45.37220571721472
start,lat_mmap:8,us,1,nvhe,45.84305,65.58366,43.06129282410309
start,lat_mmap:8,us,2,protected,45.98163,65.64764,42.7692754693559
start,lat_mmap:8,us,3,nvhe,46.29435,65.15967,40.75080436381546
start,lat_mmap:8,us,4,protected,45.72356,65.70562,43.70189022901978
start,lat_mmap:8,us,5,nvhe,45.79121,65.47732,42.99102382313114
end,lat_mmap:8,us,1,nvhe,44.870241,64.880001,44.59472370562929
end,lat_mmap:8,us,2,protected,46.126416,65.081165,41.09304525198749
end,lat_mmap:8,us,3,nvhe,45.844654,64.851243,41.45868131102046
end,lat_mmap:8,us,4,protected,45.290343,64.487097,42.3859761892287
end,lat_mmap:8,us,5,nvhe,46.305977,65.005457,40.3824327040978
start,op:dense-1.9,us,1,nvhe,72.3,122.1,68.87966804979253
start,op:dense-1.9,us,2,protected,66.6,116.9,75.52552552552554
start,op:dense-1.9,us,3,nvhe,67.7,114.8,69.57163958641061
start,op:dense-1.9,us,4,protected,69.1,120.1,73.80607814761215
start,op:dense-1.9,us,5,nvhe,69.2,121.5,75.57803468208091
end,op:dense-1.9,us,1,nvhe,66.6,111.1,66.81681681681681
end,op:dense-1.9,us,2,protected,68.3,111.5,63.250366032210835
end,op:dense-1.9,us,3,nvhe,66.0,112.1,69.84848484848484
end,op:dense-1.9,us,4,protected,67.7,112.9,66.76514032496308
end,op:dense-1.9,us,5,nvhe,67.4,111.9,66.02373887240356
start,op:dense-2.0,us,1,nvhe,64.0,67.9,6.093750000000009
start,op:dense-2.0,us,2,protected,64.5,67.7,4.961240310077519
start,op:dense-2.0,us,3,nvhe,66.0,82.8,25.45454545454544
start,op:dense-2.0,us,4,protected,66.3,69.8,5.2790346907994
start,op:dense-2.0,us,5,nvhe,66.6,66.1,-0.7507507507507505
end,op:dense-2.0,us,1,nvhe,64.5,64.1,-0.6201550387596955
end,op:dense-2.0,us,2,protected,65.0,64.7,-0.4615384615384577
end,op:dense-2.0,us,3,nvhe,64.0,64.4,0.6250000000000089
end,op:dense-2.0,us,4,protected,66.1,66.3,0.302571860816947
end,op:dense-2.0,us,5,nvhe,65.6,65.1,-0.7621951219512146
start,op:sparse-6.4,us,1,nvhe,73.3,233.3,218.281036834925
start,op:sparse-6.4,us,2,protected,71.8,231.4,222.2841225626741
start,op:sparse-6.4,us,3,nvhe,73.1,228.8,212.99589603283175
start,op:sparse-6.4,us,4,protected,74.0,230.3,211.21621621621625
start,op:sparse-6.4,us,5,nvhe,72.7,229.1,215.13067400275102
end,op:sparse-6.4,us,1,nvhe,73.2,222.9,204.50819672131146
end,op:sparse-6.4,us,2,protected,71.6,223.6,212.2905027932961
end,op:sparse-6.4,us,3,nvhe,71.6,223.3,211.87150837988833
end,op:sparse-6.4,us,4,protected,72.6,274.7,278.37465564738295
end,op:sparse-6.4,us,5,nvhe,71.8,223.5,211.28133704735376
