phase,metric,unit,pair,first_mode,nvhe_boot_median,protected_boot_median,penalty_pct
start,lat_mem:64,ns,1,nvhe,6.899,6.912,0.1884331062472766
start,lat_mem:64,ns,2,protected,6.859,6.898,0.5685960052485672
start,lat_mem:64,ns,3,nvhe,6.848,6.901,0.7739485981308469
start,lat_mem:64,ns,4,protected,6.912,6.845,-0.969328703703709
start,lat_mem:64,ns,5,nvhe,6.847,6.895,0.7010369504892422
end,lat_mem:64,ns,1,nvhe,7.045,7.049,0.0567778566359145
end,lat_mem:64,ns,2,protected,6.945,6.979,0.4895608351331848
end,lat_mem:64,ns,3,nvhe,7.043,7.036,-0.09938946471674814
end,lat_mem:64,ns,4,protected,7.029,7.042,0.1849480722720065
end,lat_mem:64,ns,5,nvhe,6.974,7.042,0.9750501864066452
start,lat_mmap:0.5,us,1,nvhe,6.443446,7.542362,17.054787143401228
start,lat_mmap:0.5,us,2,protected,6.77724,7.220202,6.536023513996847
start,lat_mmap:0.5,us,3,nvhe,7.386402,7.05859,-4.4380471033122815
start,lat_mmap:0.5,us,4,protected,6.266158,7.54652,20.432967058921925
start,lat_mmap:0.5,us,5,nvhe,6.6834,7.761858,16.136367717030264
end,lat_mmap:0.5,us,1,nvhe,6.073323,9.560845,57.423621302539
end,lat_mmap:0.5,us,2,protected,6.02408,7.201968,19.55299398414365
end,lat_mmap:0.5,us,3,nvhe,6.058539,7.211923,19.037328966603994
end,lat_mmap:0.5,us,4,protected,6.199962,7.338593,18.365128689498423
end,lat_mmap:0.5,us,5,nvhe,6.488426,7.19962,10.960963413931225
start,lat_mmap:1,us,1,nvhe,11.3698,11.70248,2.925996939260145
start,lat_mmap:1,us,2,protected,11.28851,11.534465,2.1788083635484234
start,lat_mmap:1,us,3,nvhe,9.765837,13.15849,34.740012556015444
start,lat_mmap:1,us,4,protected,10.027785,11.37445,13.429336588289441
start,lat_mmap:1,us,5,nvhe,10.523767,13.147355,24.9301224552007
end,lat_mmap:1,us,1,nvhe,10.249761,11.115259,8.44407981805626
end,lat_mmap:1,us,2,protected,10.827976,10.837515,0.0880958731345638
end,lat_mmap:1,us,3,nvhe,11.176122,13.425261,20.12450293581263
end,lat_mmap:1,us,4,protected,8.812458,10.938803,24.12885258573716
end,lat_mmap:1,us,5,nvhe,9.038949,12.932945,43.08018553927011
start,lat_mmap:16,us,1,nvhe,84.63914,122.21388,44.39404748205145
start,lat_mmap:16,us,2,protected,84.08398,122.83006,46.080216469296545
start,lat_mmap:16,us,3,nvhe,84.733,122.66506,44.766572645840455
start,lat_mmap:16,us,4,protected,84.12972,122.34664,45.42618232890825
start,lat_mmap:16,us,5,nvhe,84.74006,123.2481,45.44254511974619
end,lat_mmap:16,us,1,nvhe,83.584712,121.7837,45.70092674363704
end,lat_mmap:16,us,2,protected,83.069643,122.652048,47.649663066446536
end,lat_mmap:16,us,3,nvhe,83.363184,121.498006,45.74540003174543
end,lat_mmap:16,us,4,protected,84.159011,122.637258,45.720887808436814
end,lat_mmap:16,us,5,nvhe,84.066298,122.524291,45.74721846321816
start,lat_mmap:2,us,1,nvhe,16.172536,21.334828,31.920114445872926
start,lat_mmap:2,us,2,protected,16.71206,21.859628,30.80151698833058
start,lat_mmap:2,us,3,nvhe,16.617428,21.039864,26.613240027277385
start,lat_mmap:2,us,4,protected,16.2552,21.084264,29.707810423741353
start,lat_mmap:2,us,5,nvhe,16.535332,21.127176,27.769892978260113
end,lat_mmap:2,us,1,nvhe,16.581934,20.76728,25.24039716959432
end,lat_mmap:2,us,2,protected,16.074413,20.65801,28.514863964239325
end,lat_mmap:2,us,3,nvhe,16.50654,20.788729,25.942377990784248
end,lat_mmap:2,us,4,protected,16.331428,21.138275,29.433108972467092
end,lat_mmap:2,us,5,nvhe,15.763985,20.978962,33.08159072721777
start,lat_mmap:4,us,1,nvhe,25.87274,36.02974,39.25753515089625
start,lat_mmap:4,us,2,protected,26.476747,35.50362,34.09358785654446
start,lat_mmap:4,us,3,nvhe,26.3388,36.111493,37.10378984615854
start,lat_mmap:4,us,4,protected,27.476687,36.047233,31.192064749290928
start,lat_mmap:4,us,5,nvhe,26.94856,35.848447,33.025464069323185
end,lat_mmap:4,us,1,nvhe,26.070604,35.346595,35.58026887294212
end,lat_mmap:4,us,2,protected,26.734521,35.310925,32.0798865257395
end,lat_mmap:4,us,3,nvhe,25.534976,35.212872,37.90054864355461
end,lat_mmap:4,us,4,protected,26.081794,35.072417,34.47087650489073
end,lat_mmap:4,us,5,nvhe,26.313409,35.356219,34.365786660329725
start,lat_mmap:64,us,1,nvhe,325.8022,489.603467,50.2762924866683
start,lat_mmap:64,us,2,protected,321.6444,479.445133,49.06061880760242
start,lat_mmap:64,us,3,nvhe,321.7654,475.944533,47.91662900983138
start,lat_mmap:64,us,4,protected,324.472067,528.662533,62.930059862441134
start,lat_mmap:64,us,5,nvhe,323.1956,529.025467,63.685850611827654
