project,scenario,metric,unit,higher_better,pair,first_mode,nvhe_boot_median,protected_boot_median,raw_delta_pct,penalty_pct
geekbench,cpu,wall_time,s,False,1,nvhe,398.15,398.93,0.19590606555319745,0.19590606555319745
geekbench,cpu,wall_time,s,False,2,protected,399.49,401.48,0.4981351222809183,0.4981351222809183
geekbench,cpu,wall_time,s,False,3,nvhe,400.2,400.24,0.009995002498763839,0.009995002498763839
geekbench,cpu,wall_time,s,False,4,protected,398.3,399.90999999999997,0.40421792618627883,0.40421792618627883
geekbench,cpu,wall_time,s,False,5,nvhe,399.38,400.7,0.33051229405578475,0.33051229405578475
rabbitmq,q1-one-fast,consumer_p95,us,False,1,nvhe,14469.0,15648.0,8.148455318266645,8.148455318266645
rabbitmq,q1-one-fast,consumer_p95,us,False,2,protected,14425.0,15194.0,5.331022530329288,5.331022530329288
rabbitmq,q1-one-fast,consumer_p95,us,False,3,nvhe,14792.0,14550.0,-1.6360194699837738,-1.6360194699837738
rabbitmq,q1-one-fast,consumer_p95,us,False,4,protected,14920.0,15146.0,1.514745308310994,1.514745308310994
rabbitmq,q1-one-fast,consumer_p95,us,False,5,nvhe,14451.0,15342.0,6.16566327589787,6.16566327589787
rabbitmq,q1-one-fast,consumer_p99,us,False,1,nvhe,16822.0,17760.0,5.576031387468783,5.576031387468783
rabbitmq,q1-one-fast,consumer_p99,us,False,2,protected,16668.0,17345.0,4.06167506599473,4.06167506599473
rabbitmq,q1-one-fast,consumer_p99,us,False,3,nvhe,17220.0,16694.0,-3.054587688734034,-3.054587688734034
rabbitmq,q1-one-fast,consumer_p99,us,False,4,protected,17276.0,17371.0,0.5498958092150952,0.5498958092150952
rabbitmq,q1-one-fast,consumer_p99,us,False,5,nvhe,16781.0,17539.0,4.517013288838578,4.517013288838578
rabbitmq,q1-one-fast,published,msg/s,True,1,nvhe,69667.0,67841.0,-2.621040090717275,2.621040090717275
rabbitmq,q1-one-fast,published,msg/s,True,2,protected,70023.0,67089.0,-4.1900518401096765,4.1900518401096765
rabbitmq,q1-one-fast,published,msg/s,True,3,nvhe,69181.0,69157.0,-0.03469160607680877,0.03469160607680877
rabbitmq,q1-one-fast,published,msg/s,True,4,protected,68863.0,68402.0,-0.6694451301860194,0.6694451301860194
rabbitmq,q1-one-fast,published,msg/s,True,5,nvhe,70011.0,67117.0,-4.133636142891827,4.133636142891827
rabbitmq,q1-one-fast,received,msg/s,True,1,nvhe,69678.0,67829.0,-2.6536352937799546,2.6536352937799546
rabbitmq,q1-one-fast,received,msg/s,True,2,protected,70048.0,67058.0,-4.268501598903606,4.268501598903606
rabbitmq,q1-one-fast,received,msg/s,True,3,nvhe,69216.0,69159.0,-0.08235090152566293,0.08235090152566293
rabbitmq,q1-one-fast,received,msg/s,True,4,protected,68861.0,68406.0,-0.6607513686992639,0.6607513686992639
rabbitmq,q1-one-fast,received,msg/s,True,5,nvhe,70069.0,67157.0,-4.155903466582944,4.155903466582944
rabbitmq,q2-reliable,confirm_p95,us,False,1,nvhe,158622.0,160780.0,1.3604670222289394,1.3604670222289394
rabbitmq,q2-reliable,confirm_p95,us,False,2,protected,159252.0,160707.0,0.9136462964358438,0.9136462964358438
rabbitmq,q2-reliable,confirm_p95,us,False,3,nvhe,157758.0,162970.0,3.303794419300443,3.303794419300443
rabbitmq,q2-reliable,confirm_p95,us,False,4,protected,158128.0,158764.0,0.40220580795304883,0.40220580795304883
rabbitmq,q2-reliable,confirm_p95,us,False,5,nvhe,158429.0,159379.0,0.5996376925941682,0.5996376925941682
rabbitmq,q2-reliable,confirm_p99,us,False,1,nvhe,199793.0,201464.0,0.8363656384357876,0.8363656384357876
rabbitmq,q2-reliable,confirm_p99,us,False,2,protected,201465.0,202417.0,0.4725386543568355,0.4725386543568355
rabbitmq,q2-reliable,confirm_p99,us,False,3,nvhe,199883.0,206667.0,3.3939854815066894,3.3939854815066894
rabbitmq,q2-reliable,confirm_p99,us,False,4,protected,199808.0,201169.0,0.6811539077514306,0.6811539077514306
rabbitmq,q2-reliable,confirm_p99,us,False,5,nvhe,200439.0,201549.0,0.5537844431472871,0.5537844431472871
rabbitmq,q2-reliable,consumer_p95,us,False,1,nvhe,7154073.0,6665921.0,-6.823413739278306,-6.823413739278306
rabbitmq,q2-reliable,consumer_p95,us,False,2,protected,8228691.0,4669842.0,-43.249272575674546,-43.249272575674546
rabbitmq,q2-reliable,consumer_p95,us,False,3,nvhe,8136459.0,8938437.0,9.856597323233608,9.856597323233608
rabbitmq,q2-reliable,consumer_p95,us,False,4,protected,8101395.0,5811145.0,-28.26982266634327,-28.26982266634327
