project,scenario,metric,unit,higher_better,pairs,median_delta,mad,ci95_low,ci95_high,equivalence_threshold,equivalent,same_direction_4of5
geekbench,cpu,wall_time,s,False,5,0.0033051229405578475,0.001346062285025873,9.995002498763839e-05,0.004981351222809183,0.03,True,True
rabbitmq,q1-one-fast,consumer_p95,us,False,5,0.05331022530329288,0.028174327879373573,-0.016360194699837738,0.08148455318266645,0.03,False,True
rabbitmq,q1-one-fast,consumer_p99,us,False,5,0.0406167506599473,0.01514356321474053,-0.03054587688734034,0.05576031387468783,0.05,False,True
rabbitmq,q1-one-fast,published,msg/s,True,5,-0.02621040090717275,0.015690117493924016,-0.041900518401096765,-0.0003469160607680877,0.03,False,True
rabbitmq,q1-one-fast,received,msg/s,True,5,-0.026536352937799546,0.016148663051236523,-0.04268501598903607,-0.0008235090152566293,0.03,False,True
rabbitmq,q2-reliable,confirm_p95,us,False,5,0.009136462964358438,0.004468207257930956,0.004022058079530488,0.03303794419300443,0.03,False,True
rabbitmq,q2-reliable,confirm_p99,us,False,5,0.006811539077514306,0.00155211730684357,0.004725386543568355,0.033939854815066894,0.05,True,True
rabbitmq,q2-reliable,consumer_p95,us,False,5,-0.18470751737491697,0.11647337998213392,-0.43249272575674547,0.09856597323233607,0.03,False,True
rabbitmq,q2-reliable,consumer_p99,us,False,5,-0.17610775510522914,0.10842716361737847,-0.43231808704341457,0.10956113582410043,0.05,False,True
rabbitmq,q2-reliable,published,msg/s,True,5,-0.01591749367581241,0.0020968478387914935,-0.033694436948224715,-0.011817211603764477,0.03,False,True
rabbitmq,q2-reliable,received,msg/s,True,5,-0.013859086166505885,0.0015919082043834853,-0.027099206660906483,-0.008324106295476086,0.03,True,True
rabbitmq,q3-rate50,confirm_p95,us,False,5,0.030366492146596924,0.007528244695508279,0.01051524710830698,0.03809523809523818,0.03,False,True
rabbitmq,q3-rate50,confirm_p99,us,False,5,0.07030527289546717,0.010436236412773026,0.027204502814258902,0.09325946445060018,0.05,False,True
rabbitmq,q3-rate50,consumer_p95,us,False,5,0.026960784313725394,0.005062974094747208,0.0073710073710073765,0.04315659679408146,0.03,False,True
rabbitmq,q3-rate50,consumer_p99,us,False,5,0.038918918918918965,0.004892691157751372,0.013086150490730697,0.04381161007667034,0.05,True,True
rabbitmq,q3-rate50,published,msg/s,True,5,-4.097856820883816e-05,4.097856820883816e-05,-8.195713641767632e-05,8.196385394043659e-05,0.03,True,False
rabbitmq,q3-rate50,received,msg/s,True,5,-8.19604950413888e-05,8.19604950413888e-05,-0.00024585125998766166,4.0981926970218296e-05,0.03,True,False
rabbitmq,q3-rate70,confirm_p95,us,False,5,0.021947873799725626,0.008333169919535033,0.013614703880190593,0.27827380952380953,0.03,False,True
