bench,variant,unit,kvmoff_median,kvmoff_MAD%,nvhe_median,nvhe_MAD%,vhe_median,vhe_MAD%,pkvm_median,pkvm_MAD%,nvhe_vs_kvmoff_%,vhe_vs_kvmoff_%,pkvm_vs_kvmoff_%,pkvm_vs_vhe_%,pkvm_vs_nvhe_%
bw_file_rd,sz0.000512,MB/s,1004.160000,0.195188,1003.030000,0.482538,1007.135000,0.445819,1003.205000,0.241227,-0.112532,0.296268,-0.095104,-0.390216,0.017447
bw_file_rd,sz0.001024,MB/s,1752.825000,0.226777,1754.095000,0.295309,1758.560000,0.113729,1751.695000,0.079066,0.072454,0.327186,-0.064467,-0.390376,-0.136823
bw_file_rd,sz0.002048,MB/s,2958.575000,0.077233,2960.235000,0.286295,2957.355000,0.243123,2950.110000,0.105928,0.056108,-0.041236,-0.286117,-0.244982,-0.342034
bw_file_rd,sz0.004096,MB/s,4519.300000,0.120705,4512.635000,0.155563,4517.915000,0.164788,4518.285000,0.177833,-0.147479,-0.030646,-0.022459,0.008190,0.125204
bw_file_rd,sz0.008192,MB/s,6043.310000,0.077276,6051.425000,0.127656,6042.255000,0.131491,6032.090000,0.296663,0.134281,-0.017457,-0.185660,-0.168232,-0.319512
bw_file_rd,sz0.016384,MB/s,7027.550000,0.383704,6991.170000,0.487043,7018.305000,0.824487,7007.255000,0.713903,-0.517677,-0.131554,-0.288792,-0.157445,0.230076
bw_file_rd,sz0.032768,MB/s,7255.920000,0.440812,7289.545000,0.494750,7358.415000,0.453087,7251.120000,0.966609,0.463415,1.412571,-0.066153,-1.458127,-0.527125
bw_file_rd,sz0.065536,MB/s,6992.725000,0.881488,7040.425000,0.338261,7034.375000,0.998596,7012.350000,0.460972,0.682138,0.595619,0.280649,-0.313105,-0.398769
bw_file_rd,sz0.131072,MB/s,7069.500000,0.252564,7059.655000,0.227561,7070.485000,0.305000,7010.565000,0.328789,-0.139260,0.013933,-0.833652,-0.847467,-0.695360
bw_file_rd,sz0.262144,MB/s,7071.475000,0.295836,7074.010000,0.349872,7061.520000,0.400622,7022.360000,0.182773,0.035848,-0.140777,-0.694551,-0.554555,-0.730138
bw_file_rd,sz0.524288,MB/s,7008.945000,0.154517,7010.220000,0.175743,7023.410000,0.130136,6969.885000,0.154594,0.018191,0.206379,-0.557288,-0.762094,-0.575374
bw_file_rd,sz1.05,MB/s,6844.635000,0.247493,6855.960000,0.311408,6864.815000,0.198694,6819.525000,0.150597,0.165458,0.294829,-0.366857,-0.659741,-0.531435
bw_file_rd,sz16.78,MB/s,5297.995000,4.460744,5006.735000,4.592414,4951.285000,1.346014,5197.255000,2.243973,-5.497551,-6.544174,-1.901474,4.967801,3.805274
bw_file_rd,sz2.10,MB/s,6350.825000,0.433330,6355.040000,0.380485,6384.650000,0.636840,6401.215000,0.241985,0.066369,0.532608,0.793440,0.259450,0.726589
bw_file_rd,sz33.55,MB/s,5755.970000,1.821934,5722.460000,3.502515,5331.390000,0.967384,5545.905000,1.754267,-0.582178,-7.376341,-3.649515,4.023622,-3.085299
bw_file_rd,sz4.19,MB/s,5129.440000,0.560685,5154.220000,0.638118,5095.480000,0.986757,5184.320000,0.247284,0.483094,-0.662061,1.069902,1.743506,0.583987
bw_file_rd,sz67.11,MB/s,6132.035000,1.874989,6118.480000,2.462049,5824.925000,1.274866,5982.300000,1.331846,-0.221052,-5.008288,-2.441848,2.701752,-2.225716
bw_file_rd,sz8.39,MB/s,4582.695000,0.619941,4714.250000,2.060137,4555.730000,0.290294,4582.065000,0.182341,2.870691,-0.588409,-0.013747,0.578063,-2.803945
bw_file_rd_o2c,sz0.000512,MB/s,276.895000,0.485744,276.785000,0.424517,277.395000,0.133384,275.980000,0.199290,-0.039726,0.180574,-0.330450,-0.510103,-0.290839
bw_file_rd_o2c,sz0.001024,MB/s,530.025000,0.127352,529.880000,0.288745,531.315000,0.111986,528.475000,0.113534,-0.027357,0.243385,-0.292439,-0.534523,-0.265154
bw_file_rd_o2c,sz0.002048,MB/s,1000.585000,0.303323,1004.490000,0.252865,1006.160000,0.265862,1000.915000,0.233786,0.390272,0.557174,0.032981,-0.521289,-0.355902
