summary_order,category,item,bench,variant,unit,direction,n90_vhe_vm_mean,n90_nvhe_vm_mean,n90_pkvm_np_vm_mean,n90_pkvm_pvm_mean,kunpeng_regular_vm_mean,kunpeng_virtcca_cvm_mean,hygon_regular_vm_mean,hygon_csv_cvm_mean,n90_pkvm_pvm_over_nvhe_vm_ratio,n90_pkvm_pvm_over_nvhe_vm_delta_pct,n90_pkvm_pvm_over_vhe_vm_ratio,n90_pkvm_pvm_over_vhe_vm_delta_pct,n90_pkvm_np_over_nvhe_vm_ratio,n90_pkvm_np_over_nvhe_vm_delta_pct,kunpeng_virtcca_over_regular_vm_ratio,kunpeng_virtcca_over_regular_vm_delta_pct,hygon_csv_over_regular_vm_ratio,hygon_csv_over_regular_vm_delta_pct
1,系统调用与进程,null call (空系统调用),lat_syscall,null,us,lower-is-better,1.675760,1.676140,1.675660,1.686610,1.318040,1.367100,0.678000,0.677740,1.006246,0.624649,1.006475,0.647467,0.999714,-0.028637,1.037222,3.722194,0.999617,-0.038348
1,系统调用与进程,open/close (文件打开关闭),lat_syscall,open,us,lower-is-better,11990.700000,11990.400000,11989.900000,11990.300000,847.454210,1012.903290,4285.775010,4194.974990,0.999992,-0.000834,0.999967,-0.003336,0.999958,-0.004170,1.195231,19.523070,0.978814,-2.118637
1,系统调用与进程,fork (进程创建),lat_proc,fork,us,lower-is-better,5563.250000,5530.716670,5991.916670,6475.650000,6822.725000,5667.220000,114.031950,113.994710,1.170852,17.085188,1.164005,16.400485,1.083389,8.338883,0.830639,-16.936122,0.999673,-0.032658
1,系统调用与进程,exec (进程执行),lat_proc,exec,us,lower-is-better,5493.440000,5529.000000,5993.320000,6525.316670,7104.538100,5652.852770,181.708100,181.598290,1.180198,18.019835,1.187838,18.783798,1.083979,8.397902,0.795668,-20.433212,0.999396,-0.060432
1,系统调用与进程,sh (Shell 脚本执行),lat_proc,shell,us,lower-is-better,11256.450000,11876.450000,13707.100000,10871.300000,10392.433330,17206.300000,8799.966660,7436.616680,0.915366,-8.463388,0.965784,-3.421594,1.154141,15.414118,1.655657,65.565652,0.845073,-15.492672
2,处理器运算,intgr add,lat_ops,integer_add,ns,lower-is-better,0.280000,0.280000,0.280000,0.281000,0.170000,0.174000,0.230000,0.230000,1.003571,0.357143,1.003571,0.357143,1.000000,0.000000,1.023529,2.352941,1.000000,0.000000
2,处理器运算,intgr div,lat_ops,integer_div,ns,lower-is-better,4.450000,4.450000,4.450000,4.479000,2.940000,2.982000,4.527000,4.520000,1.006517,0.651685,1.006517,0.651685,1.000000,0.000000,1.014286,1.428571,0.998454,-0.154628
2,处理器运算,double add,lat_ops,double_add,ns,lower-is-better,1.110000,1.110000,1.110000,1.120000,0.690000,0.705000,0.680000,0.680000,1.009009,0.900901,1.009009,0.900901,1.000000,0.000000,1.021739,2.173913,1.000000,0.000000
2,处理器运算,double div,lat_ops,double_div,ns,lower-is-better,6.680000,6.680000,6.680000,6.714000,3.464000,3.526000,2.962000,2.960000,1.005090,0.508982,1.005090,0.508982,1.000000,0.000000,1.017898,1.789838,0.999325,-0.067522
3,上下文切换,2p/0K ctxsw,lat_ctx,sz0k_p2,us,lower-is-better,3.486000,3.504000,3.534000,3.398000,6.647000,3.965000,2.418000,2.419000,0.969749,-3.025114,0.974756,-2.524383,1.008562,0.856164,0.596510,-40.349030,1.000414,0.041356
