summary_order,category,bench,variant,unit,direction,n90_vhe_vm_mean,n90_nvhe_vm_mean,n90_pkvm_np_vm_mean,n90_pkvm_pvm_mean,kunpeng_regular_vm_mean,kunpeng_virtcca_cvm_mean,hygon_regular_vm_mean,hygon_csv_cvm_mean,n90_pkvm_pvm_over_nvhe_vm_ratio,n90_pkvm_pvm_over_nvhe_vm_delta_pct,n90_pkvm_pvm_over_vhe_vm_ratio,n90_pkvm_pvm_over_vhe_vm_delta_pct,n90_pkvm_np_over_nvhe_vm_ratio,n90_pkvm_np_over_nvhe_vm_delta_pct,kunpeng_virtcca_over_regular_vm_ratio,kunpeng_virtcca_over_regular_vm_delta_pct,hygon_csv_over_regular_vm_ratio,hygon_csv_over_regular_vm_delta_pct
1,"Processor, Processes",lat_proc,exec,us,lower-is-better,5493.440000,5529.000000,5993.320000,6525.316670,7104.538100,5652.852770,181.708100,181.598290,1.180198,18.019835,1.187838,18.783798,1.083979,8.397902,0.795668,-20.433212,0.999396,-0.060432
1,"Processor, Processes",lat_proc,fork,us,lower-is-better,5563.250000,5530.716670,5991.916670,6475.650000,6822.725000,5667.220000,114.031950,113.994710,1.170852,17.085188,1.164005,16.400485,1.083389,8.338883,0.830639,-16.936122,0.999673,-0.032658
1,"Processor, Processes",lat_proc,shell,us,lower-is-better,11256.450000,11876.450000,13707.100000,10871.300000,10392.433330,17206.300000,8799.966660,7436.616680,0.915366,-8.463388,0.965784,-3.421594,1.154141,15.414118,1.655657,65.565652,0.845073,-15.492672
1,"Processor, Processes",lat_select,file_n10,us,lower-is-better,8.125010,8.128530,8.117230,8.157240,5.010610,5.119540,1.886290,1.886310,1.003532,0.353200,1.003967,0.396676,0.998610,-0.139017,1.021740,2.173987,1.000011,0.001060
1,"Processor, Processes",lat_select,file_n100,us,lower-is-better,23.430940,23.429790,23.430030,23.580030,12.374790,12.629320,4.098770,4.095210,1.006412,0.641235,1.006363,0.636295,1.000010,0.001024,1.020568,2.056843,0.999131,-0.086855
1,"Processor, Processes",lat_select,file_n250,us,lower-is-better,48.908540,48.924080,48.942630,49.131300,24.596490,25.406550,7.757520,7.751540,1.004236,0.423554,1.004555,0.455462,1.000379,0.037916,1.032934,3.293397,0.999229,-0.077086
1,"Processor, Processes",lat_select,file_n500,us,lower-is-better,91.388560,91.428050,91.438940,91.902540,45.026260,46.354310,13.859600,13.850190,1.005190,0.518976,1.005624,0.562412,1.000119,0.011911,1.029495,2.949501,0.999321,-0.067895
1,"Processor, Processes",lat_select,tcp_n10,us,lower-is-better,10.958310,10.956760,10.947160,10.934090,13.739470,19.523710,20.172140,19.944410,0.997931,-0.206904,0.997790,-0.221019,0.999124,-0.087617,1.420994,42.099441,0.988711,-1.128933
1,"Processor, Processes",lat_select,tcp_n100,us,lower-is-better,147.836980,148.109750,147.948470,148.252650,374.970450,613.882430,,,1.000965,0.096483,1.002812,0.281168,0.998911,-0.108892,1.637149,63.714882,,
1,"Processor, Processes",lat_select,tcp_n250,us,lower-is-better,378.538950,379.338500,378.755280,378.088960,982.708340,1601.473210,1900.100000,1873.027783,0.996706,-0.329400,0.998811,-0.118875,0.998463,-0.153747,1.629653,62.965261,0.985752,-1.424779
1,"Processor, Processes",lat_select,tcp_n500,us,lower-is-better,763.653340,764.426670,763.780000,765.645130,1995.083330,3634.600000,3855.666700,,1.001594,0.159395,1.002608,0.260824,0.999154,-0.084595,1.821779,82.177854,,
1,"Processor, Processes",lat_sig,catch,us,lower-is-better,12.300980,12.308350,12.306830,12.296640,6.454700,6.499350,1.256300,1.257690,0.999049,-0.095139,0.999647,-0.035282,0.999877,-0.012349,1.006917,0.691744,1.001106,0.110642
1,"Processor, Processes",lat_sig,install,us,lower-is-better,1.948200,1.948040,1.948800,1.955150,1.504950,1.540560,0.758220,0.758280,1.003650,0.364982,1.003567,0.356740,1.000390,0.039014,1.023662,2.366192,1.000079,0.007913
1,"Processor, Processes",lat_sig,prot,us,lower-is-better,1.534590,1.528260,1.523060,1.487540,1.326130,1.313540,0.891470,0.893360,0.973355,-2.664468,0.969340,-3.065966,0.996597,-0.340256,0.990506,-0.949379,1.002120,0.212009
1,"Processor, Processes",lat_syscall,fstat,us,lower-is-better,2.414600,2.415390,2.412370,2.426340,1.799100,1.867870,0.934610,0.928630,1.004533,0.453343,1.004862,0.486209,0.998750,-0.125032,1.038225,3.822467,0.993602,-0.639839
1,"Processor, Processes",lat_syscall,null,us,lower-is-better,1.675760,1.676140,1.675660,1.686610,1.318040,1.367100,0.678000,0.677740,1.006246,0.624649,1.006475,0.647467,0.999714,-0.028637,1.037222,3.722194,0.999617,-0.038348
1,"Processor, Processes",lat_syscall,open,us,lower-is-better,11990.700000,11990.400000,11989.900000,11990.300000,847.454210,1012.903290,4285.775010,4194.974990,0.999992,-0.000834,0.999967,-0.003336,0.999958,-0.004170,1.195231,19.523070,0.978814,-2.118637
1,"Processor, Processes",lat_syscall,read,us,lower-is-better,5.210130,5.210780,5.204100,5.245600,2.971120,3.058410,1.540120,1.538640,1.006682,0.668230,1.006808,0.680789,0.998718,-0.128196,1.029379,2.937949,0.999039,-0.096096
1,"Processor, Processes",lat_syscall,stat,us,lower-is-better,5.734530,5.740760,5.743530,5.767420,4.785060,4.903880,1.728720,1.719100,1.004644,0.464398,1.005735,0.573543,1.000483,0.048251,1.024831,2.483145,0.994435,-0.556481
1,"Processor, Processes",lat_syscall,write,us,lower-is-better,5.214440,5.217460,5.210040,5.240570,2.967860,3.072780,1.557150,1.554280,1.004429,0.442936,1.005011,0.501108,0.998578,-0.142215,1.035352,3.535207,0.998157,-0.184311
2,Integer operations,lat_ops,integer_add,ns,lower-is-better,0.280000,0.280000,0.280000,0.281000,0.170000,0.174000,0.230000,0.230000,1.003571,0.357143,1.003571,0.357143,1.000000,0.000000,1.023529,2.352941,1.000000,0.000000
2,Integer operations,lat_ops,integer_bit,ns,lower-is-better,0.390000,0.390000,0.390000,0.390000,0.230000,0.230000,0.160000,0.160000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000
2,Integer operations,lat_ops,integer_div,ns,lower-is-better,4.450000,4.450000,4.450000,4.479000,2.940000,2.982000,4.527000,4.520000,1.006517,0.651685,1.006517,0.651685,1.000000,0.000000,1.014286,1.428571,0.998454,-0.154628
2,Integer operations,lat_ops,integer_mod,ns,lower-is-better,4.620000,4.620000,4.620000,4.620000,3.222000,3.249000,3.003000,3.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.008380,0.837989,0.999001,-0.099900
2,Integer operations,lat_ops,integer_mul,ns,lower-is-better,1.130000,1.130000,1.130000,1.130000,0.700000,0.713000,0.688000,0.680000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.018571,1.857143,0.988372,-1.162791
2,Integer operations,par_ops,integer_add,parallel,higher-is-better,1.672000,1.671000,1.671000,1.681000,2.333000,2.344000,2.626000,2.623000,1.005984,0.598444,1.005383,0.538278,1.000000,0.000000,1.004715,0.471496,0.998858,-0.114242
2,Integer operations,par_ops,integer_bit,parallel,higher-is-better,2.060000,2.060000,2.060000,2.065000,2.310000,2.314000,3.000000,3.000000,1.002427,0.242718,1.002427,0.242718,1.000000,0.000000,1.001732,0.173160,1.000000,0.000000
2,Integer operations,par_ops,integer_div,parallel,higher-is-better,1.000000,1.000000,1.000000,1.000000,1.000000,1.002000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,1.002000,0.200000,1.000000,0.000000
2,Integer operations,par_ops,integer_mod,parallel,higher-is-better,1.300000,1.300000,1.300000,1.300000,1.497000,1.496000,1.000000,1.000000,1.000000,0.000000,1.000000,0.000000,1.000000,0.000000,0.999332,-0.066800,1.000000,0.000000
