pair,mode,rep,result_id,url,save_as
1,nvhe,1,18684661,https://browser.geekbench.com/v6/cpu/18684661,18684661.html
1,nvhe,2,18684704,https://browser.geekbench.com/v6/cpu/18684704,18684704.html
1,nvhe,3,18684752,https://browser.geekbench.com/v6/cpu/18684752,18684752.html
1,nvhe,4,18684806,https://browser.geekbench.com/v6/cpu/18684806,18684806.html
1,nvhe,5,18684855,https://browser.geekbench.com/v6/cpu/18684855,18684855.html
1,protected,1,18687930,https://browser.geekbench.com/v6/cpu/18687930,18687930.html
1,protected,2,18687987,https://browser.geekbench.com/v6/cpu/18687987,18687987.html
1,protected,3,18688063,https://browser.geekbench.com/v6/cpu/18688063,18688063.html
1,protected,4,18688128,https://browser.geekbench.com/v6/cpu/18688128,18688128.html
1,protected,5,18688194,https://browser.geekbench.com/v6/cpu/18688194,18688194.html
