id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q1-one-fast,1.001,38665,,,,37600,5324,38201,51425,59633,62941,,,,,
q1-one-fast,2.000,64266,,,,64570,5026,10884,13442,17204,19628,,,,,
q1-one-fast,3.000,61913,,,,62006,4868,11727,14275,17381,19239,,,,,
q1-one-fast,4.000,66548,,,,66302,4229,11042,13215,16734,18955,,,,,
q1-one-fast,5.000,66966,,,,66833,4509,10580,12536,16266,18036,,,,,
q1-one-fast,6.000,65297,,,,65690,4667,10567,12842,16018,18677,,,,,
q1-one-fast,7.000,66269,,,,66182,4367,10737,12608,15654,17312,,,,,
q1-one-fast,8.000,65605,,,,65540,4644,11130,13188,17544,20644,,,,,
q1-one-fast,9.000,66769,,,,66736,4959,10737,13008,16691,19588,,,,,
q1-one-fast,10.000,65804,,,,65923,4211,10736,12791,15930,18440,,,,,
q1-one-fast,11.000,65849,,,,65609,4382,10921,13112,15917,17578,,,,,
q1-one-fast,12.000,65966,,,,66092,3808,10918,12964,15527,17040,,,,,
q1-one-fast,13.000,65828,,,,65985,4318,11442,13278,15899,17510,,,,,
q1-one-fast,14.000,65650,,,,65578,4333,11293,13167,16921,19152,,,,,
q1-one-fast,15.000,65321,,,,65388,4535,11194,13316,17094,18220,,,,,
q1-one-fast,16.000,66679,,,,66466,3787,10840,12776,15096,16791,,,,,
q1-one-fast,17.000,65222,,,,65418,4336,10958,13646,16895,19319,,,,,
q1-one-fast,18.000,64959,,,,64687,4371,11119,13463,17400,20381,,,,,
q1-one-fast,19.000,64444,,,,64603,4359,11477,13703,16912,19389,,,,,
q1-one-fast,20.000,65015,,,,65295,4231,11222,13052,16212,19835,,,,,
q1-one-fast,21.000,66209,,,,65953,5111,11283,13192,16392,18611,,,,,
q1-one-fast,22.000,64680,,,,64758,4439,11433,13774,19449,23026,,,,,
q1-one-fast,23.000,63647,,,,63732,3972,11869,14020,17681,19226,,,,,
q1-one-fast,24.000,63802,,,,63867,4631,11461,13488,16723,18702,,,,,
