id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,33631,,33131,0,32744,259,11568,18918,31109,60438,98,1860,3815,9565,12571
warmup,2.000,57385,,57385,0,57948,3087,7021,15269,23779,31178,1223,7699,8811,11696,13986
warmup,3.000,65720,,65805,0,65723,1973,6207,7343,9048,10661,2844,7397,8068,9181,10052
warmup,4.000,65030,,64951,0,64898,1256,6469,7384,9391,10835,605,7414,8125,9441,10544
warmup,5.000,65764,,65779,0,65889,2763,6115,7331,9416,11181,388,7302,8053,9146,10099
warmup,6.000,67449,,67428,0,67283,2713,5607,6482,7838,9384,2009,7291,7939,8807,9597
warmup,7.000,67118,,67118,0,67247,2032,5855,6743,8631,10139,1325,7146,7811,9161,10174
warmup,8.000,65891,,65909,0,65917,2203,5689,7199,8952,9635,234,7367,8023,9026,9739
warmup,9.000,67180,,67216,0,67158,1961,5920,7075,9096,11237,2862,7177,7957,9349,10037
warmup,10.000,65947,,65895,0,65896,2281,5846,6820,8863,10210,1929,7340,8020,9376,10768
warmup,11.000,66426,,66451,0,66574,2938,5954,7336,10113,12248,2980,7347,8002,8863,9977
warmup,12.000,66166,,66139,0,65911,2133,5691,6706,8378,10086,3019,7333,7987,9030,9797
warmup,13.000,66151,,66151,0,66353,2501,5901,7040,8899,10984,3301,7304,7909,9087,10033
warmup,14.000,66699,,66706,0,66336,2463,5786,6809,8535,9855,3015,7280,7888,8997,9493
warmup,15.000,67059,,67056,0,67130,1784,5796,6935,8607,10053,1808,7272,7900,8956,9557
warmup,16.000,65521,,65526,0,65738,2874,6205,7444,10034,12247,3058,7247,8031,9108,9952
warmup,17.000,66219,,66210,0,66175,2669,5268,6015,7424,8258,2999,7364,8018,9065,9521
warmup,18.000,65958,,65958,0,66031,2882,5524,6285,7535,8795,2629,7294,8075,9139,10157
warmup,19.000,65972,,65997,0,65857,2806,5300,6133,7672,8642,3786,7418,8050,8995,9535
warmup,20.000,64880,,64863,0,64905,2351,5920,6916,8770,10284,3269,7531,8204,9276,10081
warmup,21.000,65704,,65696,0,65816,2837,5462,6343,8117,8986,3108,7370,8056,9263,9930
warmup,22.000,65880,,65886,0,65968,2880,5825,6778,8165,9260,2825,7316,8052,9031,9678
warmup,23.000,65871,,65922,0,65715,3315,5620,6528,7867,8828,2908,7400,8044,8980,9542
warmup,24.000,64775,,64729,0,64649,3142,5894,6863,8664,9428,3342,7535,8281,9403,10209
warmup,25.000,64165,,64156,0,64432,2626,5856,7161,9210,10137,3705,7571,8343,9443,10446
warmup,26.001,65558,,65557,0,65398,2471,5525,6456,7989,9185,2180,7363,8078,9184,10207
warmup,27.000,65244,,65259,0,65192,2934,5327,6095,7833,9075,4191,7426,8288,9294,10058
warmup,28.000,64323,,64307,0,64492,2633,5374,6274,8149,9364,3993,7443,8314,9507,10162
warmup,29.000,63879,,63884,0,63799,2841,6315,7406,9309,10703,2927,7512,8416,9503,10311
warmup,30.000,65247,,65243,0,65394,2594,5227,5965,7183,8101,2821,7372,8137,9160,9880
warmup,31.000,65869,,65885,0,65838,2172,5564,6442,8424,10001,672,7289,8012,8950,9938
warmup,32.000,65587,,65570,0,65367,2154,5437,6182,7476,8259,3572,7327,7999,9111,9858
warmup,33.000,64628,,64634,0,64740,2772,5639,6779,9194,10727,3363,7527,8366,9380,10404
warmup,34.000,66462,,66460,0,66419,1968,5249,5908,6849,8106,3473,7364,8029,8942,9604
warmup,35.000,66190,,66186,0,66265,3180,5520,6604,8119,9265,3180,7362,8086,9014,9880
warmup,36.000,67557,,67559,0,67432,3128,5840,6850,8580,9922,2688,7183,7858,8932,9639
warmup,37.000,65955,,65957,0,66134,2659,5946,7007,8432,9743,3067,7403,8075,9113,9598
warmup,38.000,67358,,67354,0,67200,2275,5494,6390,7839,9019,2858,7275,7854,8966,9574
