id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q2-reliable,1.001,52538,,48586,0,38506,472,42396,141528,323940,414901,311,37498,60315,108022,120460
q2-reliable,2.000,51964,,51916,0,50586,8908,205933,425105,565720,619969,5833,60699,97993,147785,179220
q2-reliable,3.000,53437,,53437,0,51039,9019,254510,368391,695187,776035,9712,69005,95267,141899,205077
q2-reliable,4.000,54878,,55034,0,51186,3832,251293,449131,738763,821669,8731,63204,89648,130259,150114
q2-reliable,5.000,55315,,55437,0,48034,100638,498964,734918,821398,893050,5621,61129,89474,141619,189054
q2-reliable,6.000,52462,,52402,0,50841,104946,614099,757784,886017,928117,7780,66224,93864,150471,186546
q2-reliable,7.000,52897,,52679,0,52931,7308,604349,785260,959531,1039156,4592,62005,94481,152736,206362
q2-reliable,8.000,49378,,49588,0,57705,2787,454612,674190,1122636,1230128,7972,66341,95291,164985,263827
q2-reliable,9.000,54444,,54234,0,49978,7484,385753,795766,1198803,1256724,8001,61870,87484,160580,177545
q2-reliable,10.000,49262,,49262,0,56641,18694,458738,702657,1134637,1258467,11418,67171,98171,152976,206081
q2-reliable,11.000,53284,,53327,0,51220,10380,343103,542821,786109,848251,8188,60922,89999,146433,217316
q2-reliable,12.004,50314,,50452,0,53832,18625,286086,549345,829885,1068232,7153,68809,102609,159210,177348
q2-reliable,13.000,56217,,56035,0,47272,5574,309594,591172,936209,1005311,3836,63239,86067,134360,168079
q2-reliable,14.000,52316,,52346,0,55378,5385,364394,728738,877864,952248,2716,65553,91890,183920,224262
q2-reliable,15.000,53704,,53884,0,48123,33894,412745,777514,989752,1052911,7317,62667,90282,153191,192404
q2-reliable,16.000,54509,,54299,0,48878,64061,672294,774325,969278,1065682,5651,57671,92857,146889,194399
q2-reliable,17.000,50771,,51145,0,52479,13485,690503,804986,955969,996962,8969,65738,95262,146193,189427
q2-reliable,18.000,52847,,52549,0,50940,7710,759371,863521,1007980,1038321,7694,66530,99990,144360,208554
q2-reliable,19.000,52143,,52067,0,51451,7124,759496,892476,1104424,1141492,9140,64007,91614,138786,209401
q2-reliable,20.000,53656,,53836,0,50758,17108,776856,994822,1139303,1194272,4758,68038,98300,164163,216775
q2-reliable,21.000,57149,,57041,0,46729,46550,869688,1025919,1164913,1332372,3150,57554,87292,127248,224924
q2-reliable,22.000,56145,,56073,0,45510,247874,1049023,1243695,1440143,1523278,6098,61384,93367,146069,191491
q2-reliable,23.000,51977,,52171,0,51234,430250,1198921,1479440,1681802,1720206,9490,61100,100585,172728,211074
q2-reliable,24.000,49346,,49152,0,54350,263352,1152424,1409220,1717477,1765089,2848,66458,107573,147784,197843
q2-reliable,25.000,50607,,50728,0,53209,301436,936225,1436700,1593430,1712865,3988,58360,102216,173456,201759
q2-reliable,26.000,50154,,50033,0,51118,290048,890288,1432355,1712844,1782722,10213,66992,101044,150963,194592
q2-reliable,27.000,55611,,55672,0,48627,309683,974936,1470125,1721532,1768743,4408,65758,94500,145888,175000
q2-reliable,28.000,50109,,50048,0,53008,371615,896783,1552314,1942027,2038742,5388,69389,109160,148643,188088
q2-reliable,29.000,53907,,53907,0,50672,405340,1023956,1637858,1973645,2043667,11081,59838,90415,153023,265578
q2-reliable,30.000,51525,,51525,0,50831,493868,1010615,1722380,2064132,2134674,6424,65694,98083,161281,197854
q2-reliable,31.000,48349,,48349,0,56267,309027,935269,1556632,2005687,2056100,5069,74224,107909,171894,214882
q2-reliable,32.000,57309,,57309,0,46517,163882,917636,1364565,2021134,2066076,10452,59908,91818,161848,245891
q2-reliable,33.000,51324,,51324,0,53076,24869,1087144,1398333,1993216,2047147,5867,65654,99712,158878,217284
q2-reliable,34.000,51053,,51191,0,53032,28100,1060403,1864277,1998670,2052667,6349,72743,100662,150314,219661
q2-reliable,35.000,53724,,53586,0,50718,6973,1201928,1942262,2460309,2514307,12080,57632,84667,154378,211935
q2-reliable,36.000,51633,,51633,0,57008,3723,1163728,1985982,2414182,2585638,4889,70590,94973,166683,199929
q2-reliable,37.000,53338,,53718,0,50336,19908,1035681,1938908,2395809,2516274,8723,65426,90371,149742,235537
q2-reliable,38.000,54505,,54125,0,50432,17480,984771,2380769,2629148,2671097,12204,63698,89637,142822,161310
q2-reliable,39.000,51430,,51430,0,53652,7439,1051269,1686817,2634283,2687019,7971,65530,92216,169688,218504
q2-reliable,40.000,50836,,50836,0,52576,132541,1072030,1475859,2567557,2625069,6027,66089,94954,157282,217564
q2-reliable,41.000,51488,,51548,0,51900,24691,937672,1479486,2558484,2601031,4222,60205,94182,163721,226156
q2-reliable,42.000,55383,,55323,0,48685,21376,1045612,2455569,2701159,2723159,5365,65560,86905,133680,191041
q2-reliable,43.000,53639,,53639,0,51607,8357,1115716,2282072,2677742,2713029,6574,62118,92374,167195,247933
q2-reliable,44.000,52381,,52381,0,49598,31536,1042321,1690148,2588095,2644048,10768,62390,99927,166821,180628
q2-reliable,45.000,50628,,51287,0,52984,192569,1122655,1734440,2727229,2865868,11093,71625,104808,168702,188979
q2-reliable,46.000,51741,,51499,0,52489,120626,1166356,2216450,2857431,2915671,7097,65072,95800,167247,197734
q2-reliable,47.000,57242,,56911,0,46491,57358,1134956,1513906,3054596,3208102,5239,60435,93989,143432,202731
q2-reliable,48.000,50055,,49970,0,53355,96886,1305521,1951872,3305263,3342868,4708,67651,92840,160493,225093
q2-reliable,49.000,51035,,51035,0,53476,187756,1359183,1927587,3258497,3307795,4230,64160,95258,153029,191319
q2-reliable,50.000,53438,,53556,0,48986,185089,1306872,1484163,3187049,3366120,1519,64933,100076,147798,171394
q2-reliable,51.000,51249,,51131,0,53423,326577,1245427,1640126,3542289,3588719,5959,62471,94879,161308,260989
q2-reliable,52.000,47014,,47501,0,57541,170410,1200530,1494990,3472328,3528078,5144,66008,105291,164747,203955
q2-reliable,53.000,52125,,51637,0,52721,17147,1120095,1478654,3521386,3573261,4885,70651,98677,168339,203315
q2-reliable,54.000,54621,,54621,0,51743,3281,1120196,1459605,3661911,3711449,3152,62581,94243,148965,183920
q2-reliable,55.000,54049,,54198,0,52265,3711,1225828,1667757,3436799,3518058,10480,61242,90349,148416,187924
q2-reliable,56.000,51005,,51155,0,54084,176268,1342920,1610525,3287861,3412203,3547,66462,96792,152671,224386
q2-reliable,57.000,53525,,53226,0,51477,89669,1227961,1477455,3016391,3074541,8547,60864,100920,147413,173391
q2-reliable,58.000,50553,,50553,0,51629,69803,1321492,1666727,2984497,3046065,3668,66518,106066,155048,178703
q2-reliable,59.000,52842,,52842,0,51412,36779,1534657,1699442,2805809,2855991,5488,66469,105002,150806,212056
q2-reliable,60.000,52784,,52945,0,51283,171507,1582092,1712392,2816918,2863991,4134,64177,92481,158906,176790
q2-reliable,61.000,47616,,47489,0,60132,22483,1472728,1679030,2527570,2651678,7704,72189,118121,178229,242582
q2-reliable,62.000,53934,,53900,0,48976,91847,1302817,1620088,2483821,2526234,4984,65378,94469,130720,186601
q2-reliable,63.000,49726,,49726,0,56832,7435,1035891,1527967,2482537,2548471,7777,73838,100875,166568,186846
q2-reliable,64.000,53457,,53618,0,52223,1350,1065996,1390333,2442248,2550060,7321,62072,93647,150249,210269
q2-reliable,65.000,53145,,52983,0,50448,3450,1247694,1716420,2450363,2496944,7287,61529,97518,139522,185278
q2-reliable,66.000,54889,,54889,0,47855,50968,1301702,1733359,2347690,2398754,3195,56832,85141,149620,226196
q2-reliable,67.000,53605,,53605,0,49756,167876,1261515,1775040,2213512,2251751,3952,68030,93346,154617,178479
q2-reliable,68.000,54689,,54913,0,48545,303668,1687688,1882450,2397843,2536709,4419,61333,97009,139760,176938
q2-reliable,69.000,48798,,48627,0,56997,96110,1407444,1927537,2137125,2215475,5407,68726,103039,171543,220121
q2-reliable,70.000,52271,,52218,0,50487,199977,1113413,2045524,2365955,2513925,1816,68085,100018,147520,181017
q2-reliable,71.000,55213,,55213,0,50101,180155,1353856,2043180,2496024,2626683,2976,61782,95051,131133,152232
q2-reliable,72.000,48542,,48542,0,56116,30617,1240970,1986879,2509739,2547305,3227,67445,94436,186296,230892
q2-reliable,73.000,54254,,54284,0,51731,11054,1299716,1914261,2609569,2712380,4376,61627,88032,146658,196820
q2-reliable,74.000,56687,,56686,0,48503,42883,1284881,2169645,2791067,2909556,5188,55866,83216,166881,216288
q2-reliable,75.000,53478,,53816,0,51455,216284,1514615,2301349,2856627,2915588,4298,63508,99097,155882,179660
q2-reliable,76.000,52043,,51676,0,53462,3090,1633436,1868834,2603785,2630278,1845,63422,95838,163387,206479
q2-reliable,77.000,47617,,47617,0,55346,40762,1413439,1850468,2838414,2931870,7981,68872,98292,154875,206214
q2-reliable,78.000,54208,,54208,0,50342,121706,1394527,1561958,3073756,3119195,7151,65839,92755,155570,223015
q2-reliable,79.000,54982,,55173,0,47407,273496,1272596,1993549,3145205,3195747,3648,57515,88778,151925,195899
q2-reliable,80.000,50312,,50121,0,50378,104991,1402572,1998358,3064149,3150404,4345,59340,96203,180945,202038
q2-reliable,81.000,51533,,51533,0,51749,37941,1613261,1985436,3082639,3130449,6074,75148,103678,143604,182126
q2-reliable,82.000,54606,,54606,0,50391,69740,1878555,2080398,2764332,2865699,10095,66269,100276,153907,174168
q2-reliable,83.000,50391,,51115,0,51030,357674,1895411,2055930,2830837,2897440,5761,71764,100872,166049,246192
q2-reliable,84.000,51377,,51704,0,52640,192219,1681219,1949464,2832793,2913232,2956,62109,85736,174657,224517
q2-reliable,85.000,49630,,48578,0,53952,331093,1588228,2013717,2845549,2896769,5016,73951,102519,162803,178586
q2-reliable,86.000,54340,,54840,0,50217,460260,1511048,1927303,2874588,2930858,9377,61777,89559,161581,209027
q2-reliable,87.000,55139,,54856,0,48209,616766,1615960,1905396,3126853,3204269,2183,56819,84442,160049,217632
q2-reliable,88.000,48851,,48634,0,58636,350841,1480165,1864436,2980354,3090826,11742,69705,108629,162380,194437
q2-reliable,89.000,52432,,52432,0,52042,152197,1480045,1650470,3094964,3152193,4964,66955,96583,169292,217638
q2-reliable,90.000,55800,,55920,0,47720,403449,1567704,1923486,3212813,3305070,6451,60986,90788,142483,224334
q2-reliable,91.000,51731,,51611,0,52358,556299,1588629,1791401,3289229,3379137,6526,66323,92788,147818,186255
q2-reliable,92.000,51271,,51271,0,51223,546505,1717712,2113167,2941189,3089871,3809,67543,102343,159800,198318
q2-reliable,93.000,53849,,53849,0,48937,689894,1703937,2318246,3021321,3089411,4828,57476,88572,150413,193370
q2-reliable,94.000,54115,,54115,0,50141,633755,1823821,2362044,2962790,3003230,3714,70172,93596,134519,170574
q2-reliable,95.000,52386,,52386,0,51939,561027,1991895,2275753,2787550,2986189,4651,62416,93881,165753,237701
q2-reliable,96.000,49102,,49429,0,54538,443104,1870046,2174854,2947498,3030767,4115,72963,108646,147808,193961
q2-reliable,97.000,51877,,51717,0,50626,442721,1739951,2304135,2981100,3026516,6607,64158,100024,151062,217228
q2-reliable,98.000,49687,,49520,0,53798,462878,2247530,2475908,3091090,3168571,4505,74845,103833,153999,193590
q2-reliable,99.000,52938,,53438,0,51696,290309,2280237,2451948,3147468,3192824,3645,71793,102079,162729,178221
q2-reliable,100.000,51879,,51462,0,52899,301551,1428312,2471455,2910045,3051946,1884,65218,91876,159232,203154
q2-reliable,101.000,54477,,54547,0,48903,405495,2178036,2445684,2854225,2905641,4605,57176,92251,149734,198610
q2-reliable,102.000,51616,,51491,0,51947,562423,1733275,2423189,2923645,2961566,3295,67053,96075,161436,216958
q2-reliable,103.000,54240,,54212,0,48686,501029,1936597,2365444,2900556,2948124,8153,64589,91793,137450,170451
q2-reliable,104.000,58889,,58896,0,43770,524099,1947728,2703269,3360870,3416547,2460,55834,81383,127904,231125
q2-reliable,105.000,50044,,50037,0,52343,828667,2416259,2807565,3429040,3473700,2587,70098,105356,161399,207779
q2-reliable,106.000,52444,,52901,0,51207,969037,1936390,2747207,3300537,3365863,2691,60605,99866,145895,171867
q2-reliable,107.000,48114,,47685,0,56754,1006175,2172628,2840616,3311878,3359433,6070,68350,109513,171103,199600
q2-reliable,108.000,51229,,51509,0,51832,849208,1836782,2838704,3348507,3401406,7202,65108,96976,161663,189387
q2-reliable,109.000,53956,,53648,0,49259,877158,2065491,2982654,3316980,3444805,5387,67036,101438,147446,219841
q2-reliable,110.000,51551,,51760,0,52348,970921,2045878,3256962,3438659,3473191,5350,63954,105345,161484,192542
