id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,32759,,32580,0,32004,686,23649,29358,36225,59134,102,3528,5688,10192,13951
warmup,2.000,55804,,55571,0,56286,849,5825,11642,27206,31031,134,6916,7856,10185,16385
warmup,3.000,65138,,65050,0,65028,2809,4942,5497,6992,10872,1882,7522,8133,8998,9663
warmup,4.000,62291,,62292,0,62351,2956,5085,5767,7287,8229,2557,7763,8618,9593,10045
warmup,5.000,61849,,61848,0,61905,2443,4993,5549,6589,7596,1824,7873,8623,9643,10421
warmup,6.000,63305,,63330,0,63252,1862,4889,5534,6600,7602,1212,7586,8315,9507,10245
warmup,7.000,64551,,64526,0,64569,2760,4773,5329,6403,6986,3511,7467,8161,9178,9665
warmup,8.000,64039,,64064,0,64039,2547,5275,6290,7926,8857,300,7515,8303,9543,10313
warmup,9.000,61933,,61908,0,61861,2321,4851,5392,6624,8136,825,7936,8614,9514,10241
warmup,10.000,62586,,62586,0,62570,2637,4885,5427,6816,8147,3596,7729,8611,9646,10601
warmup,11.000,64373,,64491,0,64579,2638,5104,5825,7065,9593,4259,7481,8161,9013,9601
warmup,12.000,65006,,64887,0,64854,2806,4956,5540,6848,7836,2492,7477,8129,9239,9925
warmup,13.000,62958,,62965,0,62987,2406,4902,5455,6296,7357,1994,7712,8445,9475,10062
warmup,14.000,61508,,61501,0,61529,2384,4956,5563,6579,7627,3172,7818,8670,9654,10374
warmup,15.000,64922,,64934,0,64839,1910,4905,5403,6344,7028,2109,7524,8191,9046,9396
warmup,16.000,63553,,63541,0,63590,1891,5099,5767,7212,8504,674,7667,8402,9339,10150
warmup,17.000,64917,,64917,0,64924,2350,5115,5759,6780,7500,3255,7478,8158,9090,10198
warmup,18.000,64764,,64764,0,64745,2674,4898,5459,6326,6909,3428,7551,8203,9038,9588
warmup,19.000,65472,,65569,0,65592,2675,4762,5271,6105,6981,3864,7521,8095,8998,9843
warmup,20.000,65926,,65829,0,65859,2298,4630,5176,5962,6754,3333,7417,7971,8886,9567
warmup,21.000,64733,,64733,0,64736,2744,4900,5560,6694,7802,3478,7524,8263,9251,9994
warmup,22.000,64371,,64371,0,64360,2595,4912,5596,7044,8134,4929,7597,8253,9100,9729
warmup,23.000,63014,,63035,0,62921,2900,4809,5396,6410,7419,4328,7765,8397,9375,9957
warmup,24.000,65957,,65964,0,65997,2344,4793,5379,6432,7739,4469,7414,7966,8814,9816
warmup,25.000,64727,,64699,0,64876,2590,4835,5348,6101,6970,3221,7455,8081,8971,9569
warmup,26.000,65767,,65767,0,65623,2190,4779,5336,6329,7233,1398,7412,8106,9050,9615
warmup,27.000,64921,,64921,0,64994,2146,4813,5376,6381,7503,3309,7494,8099,8951,9407
