id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,32699,,32199,0,31873,308,19427,22947,30281,31745,108,2131,4129,10354,12710
warmup,2.000,57858,,57890,0,58382,256,5490,7428,25489,36060,116,7355,8342,10045,17799
warmup,3.000,64478,,64446,0,64485,2626,5224,6005,7424,8460,1424,7405,8155,9252,10142
warmup,4.000,63933,,64056,0,63902,2151,5100,5939,7613,9193,2292,7641,8271,9285,9963
warmup,5.000,65361,,65242,0,65317,1767,4982,5583,6601,7671,2868,7429,8144,9059,9868
warmup,6.000,64668,,64697,0,64516,2152,5392,6361,8340,10112,3087,7504,8291,9417,10195
warmup,7.000,65806,,65773,0,66004,2064,4929,5515,6785,7834,2883,7417,8119,9090,10060
warmup,8.000,64666,,64666,0,64734,1813,5439,6218,7937,10005,332,7449,8183,9362,10165
warmup,9.000,63432,,63470,0,63363,2694,4996,5707,7334,8562,3558,7748,8416,9392,9984
warmup,10.000,63388,,63354,0,63268,2637,4945,5593,7122,8297,1266,7757,8494,9373,9932
warmup,11.000,64217,,64213,0,64418,1997,5156,5968,7882,9122,3330,7637,8395,9114,9613
warmup,12.000,61939,,61939,0,61856,2676,5000,5601,7075,7831,3373,7908,8717,9733,10444
warmup,13.000,62663,,62665,0,62550,2424,4944,5520,6677,7663,456,7787,8588,9405,10031
warmup,14.000,65157,,65155,0,65290,2048,5124,5889,7722,9445,1431,7350,8079,9166,9753
warmup,15.000,63027,,63027,0,63052,3076,5013,5568,6963,8546,3004,7710,8512,9750,10239
warmup,16.000,63520,,63524,0,63426,2872,5165,6190,8177,9566,2122,7689,8447,9330,9888
warmup,17.000,64855,,64858,0,64953,2076,4914,5795,7157,8363,3122,7570,8209,9210,10041
warmup,18.000,62251,,62244,0,62269,2152,4968,5531,6721,8085,2390,7936,8650,9544,10152
warmup,19.000,63321,,63321,0,63088,3103,5084,5897,8057,9426,4185,7597,8553,9550,10091
warmup,20.000,62717,,62727,0,62859,2684,5215,5967,7411,8288,4081,7722,8387,9290,10028
warmup,21.000,63642,,63658,0,63724,2357,4997,5621,6758,7710,3311,7681,8534,9376,9914
warmup,22.000,64020,,64075,0,64050,1613,4744,5382,6371,7311,4094,7545,8344,9285,9823
warmup,23.000,64678,,64597,0,64581,3144,5376,6060,7597,9051,3260,7677,8375,9311,9970
warmup,24.000,63492,,63492,0,63440,1726,5139,5741,7328,8256,3482,7696,8396,9348,10036
warmup,25.000,61853,,61855,0,61970,2470,4835,5336,6169,6987,3908,7941,8749,9492,10068
warmup,26.000,63267,,63281,0,63212,2665,4911,5636,7505,9025,3141,7664,8466,9521,10104
warmup,27.000,62147,,62229,0,62031,2723,5036,5711,6850,7722,3479,7775,8616,9598,10235
warmup,28.000,61630,,61566,0,61819,1916,5026,5570,7117,8015,3705,7969,8784,9635,10069
warmup,29.000,62608,,62665,0,62620,2243,4854,5387,6272,7090,2125,7805,8500,9500,9981
warmup,30.000,63309,,63218,0,63262,2412,5113,5788,7024,7678,3301,7705,8433,9297,9994
warmup,31.000,64086,,64086,0,64138,2310,5121,5920,7009,8296,3787,7517,8346,9327,10131
warmup,32.000,64061,,64071,0,63931,289,5162,6079,8013,9345,137,7299,8043,9083,9540
warmup,33.000,62140,,62130,0,62215,2408,4756,5293,6337,7469,3410,7905,8542,9386,9833
warmup,34.000,64695,,64695,0,64813,2348,5141,6034,7922,9058,2557,7509,8180,9218,9883
warmup,35.000,63936,,63936,0,63678,3127,5267,6069,7451,8592,2977,7637,8455,9316,9881
warmup,36.000,65367,,65388,0,65468,2659,4956,5511,6489,7396,3625,7471,8110,9081,9809
warmup,37.000,63566,,63553,0,63607,2064,5121,5912,7482,8579,4278,7543,8398,9393,10284
warmup,38.000,62541,,62533,0,62566,2458,4952,5498,6550,7088,4310,7693,8590,9413,10323
warmup,39.000,60858,,60858,0,60775,2818,5007,5662,6990,7970,3248,8127,8881,9623,10133
warmup,40.000,64086,,64086,0,64066,2159,5048,5774,7290,8208,3075,7567,8299,9362,10421
warmup,41.000,62730,,62891,0,62738,2362,4985,5638,6789,8626,2983,7742,8630,9635,10269
warmup,42.000,63805,,63670,0,63912,2861,5172,6000,7286,8513,4189,7621,8390,9284,9879
