id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate70,1.001,48867,,44867,0,40673,139,13491,34855,105239,171884,276,15487,36377,71012,91407
q3-rate70,2.001,54715,,54800,0,45801,2507,218005,349381,487481,551005,5854,62963,87013,137816,163830
q3-rate70,3.001,52934,,52849,0,52278,26368,306484,428123,678217,748552,12416,65909,93247,137283,157759
q3-rate70,4.001,54513,,54961,0,51322,10279,374088,461729,626075,699338,5041,64847,93726,146210,194161
q3-rate70,5.001,53953,,53993,0,47840,19520,490122,622297,769420,862556,8947,59753,88220,126908,156058
q3-rate70,6.001,53215,,53115,0,50949,18024,584992,791759,1074107,1146632,4917,64335,92072,143125,177942
q3-rate70,7.000,54257,,53868,0,49870,7732,560348,948133,1183907,1271616,8776,65732,90753,136871,167248
q3-rate70,8.000,52606,,53055,0,51147,3961,635343,949922,1440520,1511209,5000,62255,91537,155860,189441
q3-rate70,9.000,52355,,52263,0,49082,4498,621461,864094,1431235,1592481,5647,64295,89608,153731,220992
q3-rate70,10.000,50920,,50993,0,50020,37899,650814,912349,1623562,1701228,9092,62150,102035,155996,208130
q3-rate70,11.000,48302,,47908,0,56127,1539,529435,939643,1644821,1743032,4475,68071,108463,173220,220201
q3-rate70,12.000,53183,,53377,0,48388,41077,455344,910334,1925290,1984222,11996,64626,96333,137686,168465
q3-rate70,13.000,50175,,50489,0,53893,9881,437121,749561,2029848,2102332,5448,64978,95266,160035,174577
q3-rate70,14.000,55737,,55192,0,47994,144009,558436,1149478,1854902,1900747,2107,57995,81422,159277,198018
q3-rate70,15.000,52344,,53091,0,50064,16921,555062,923050,1988847,2037651,5086,62511,92850,141238,177348
q3-rate70,16.000,53246,,52500,0,48941,6566,645025,989525,2019687,2103058,6413,59533,92546,166452,195766
q3-rate70,17.000,53042,,53042,0,49628,42840,841017,1075597,2107014,2332787,3025,61320,95253,161026,212705
q3-rate70,18.000,52002,,52190,0,51776,170832,749407,1142464,2563537,2634851,3418,74023,101294,140131,193056
q3-rate70,19.000,52964,,53143,0,49776,11552,672918,1254246,2864258,2887448,5684,66108,94341,141468,177765
q3-rate70,20.000,50917,,50812,0,51767,5926,690713,1286072,3088690,3173264,5103,66558,101875,170933,195197
q3-rate70,21.000,51963,,51701,0,50787,53857,740647,1311724,3172060,3247004,3490,63404,97114,150733,198269
q3-rate70,22.000,48844,,49533,0,53155,75023,802683,993517,3239464,3261218,6407,70762,100541,184475,198723
q3-rate70,23.000,55121,,54839,0,46889,8827,818030,1052851,3162776,3223970,5674,59328,91057,149179,173941
q3-rate70,24.000,53169,,52763,0,48821,221177,846566,1110334,3256602,3384076,5294,59705,94348,151409,205072
q3-rate70,25.000,48286,,48753,0,53730,81531,860709,1141614,3144700,3371010,4303,68657,104525,175002,228265
q3-rate70,26.000,53934,,53891,0,49818,49382,803106,1262953,3166870,3432198,8180,58646,90325,135175,168464
q3-rate70,27.000,53193,,53139,0,52626,5798,908684,1451627,3453278,3490710,2900,61325,101772,149927,166009
q3-rate70,28.000,53473,,53668,0,49186,8185,1152127,1554012,3165084,3213605,6549,61717,93196,154595,225245
q3-rate70,29.001,56978,,56904,0,44551,57651,1150053,1479956,3231183,3316786,5951,60333,81314,132390,216254
q3-rate70,30.000,52964,,52817,0,49127,68093,1270040,1825392,3394355,3460567,5323,61557,88430,141722,236989
q3-rate70,31.000,51309,,50965,0,51963,7711,1215225,1788753,3696719,3867264,11666,64523,104311,157469,198387
q3-rate70,32.000,54971,,55001,0,45549,67170,1231157,1959785,3973208,4094652,5202,58281,88830,151990,183098
q3-rate70,33.000,50674,,50660,0,52445,50385,1249754,1976587,4160593,4285823,4010,66124,96055,152276,191937
q3-rate70,34.000,51640,,51989,0,51536,34487,1349861,2138760,4295677,4347356,6314,65947,105976,148168,172109
q3-rate70,35.001,55455,,55493,0,46733,23913,1384149,2226946,4619855,4728419,4301,65578,89679,145004,195326
q3-rate70,36.000,53061,,52684,0,49724,183638,1574969,2209862,4648002,4698748,6835,62563,94614,147110,174232
q3-rate70,37.000,51776,,51749,0,51661,261668,1611633,2344717,4678867,4720503,8889,60628,87876,147647,191744
q3-rate70,38.001,50241,,50480,0,51823,140532,1928518,2313408,4744304,4786483,8458,66556,107893,161304,182580
q3-rate70,39.000,49437,,49275,0,52822,327889,2039080,2258527,4623159,4709065,5898,64288,103747,179195,236668
q3-rate70,40.000,51300,,51598,0,48795,300146,1901042,2199369,4572474,4613197,6538,67391,89671,137575,190563
q3-rate70,41.000,47474,,47617,0,54604,458676,2046655,2201912,4644816,4751678,5677,67202,97228,161196,251121
q3-rate70,42.000,57335,,57187,0,44912,254555,1870886,2203094,4647298,4750648,6244,60005,87891,162742,338363
q3-rate70,43.000,51621,,51251,0,51934,234039,2034684,2256889,4601395,4794568,6858,60387,88732,167920,218892
q3-rate70,44.000,49562,,49960,0,53757,79407,1700803,1981041,4407272,4476818,4554,66168,100571,168654,226949
q3-rate70,45.000,51753,,51355,0,51953,118168,1695738,2104730,4332242,4427248,14118,62264,100446,143378,173271
q3-rate70,46.000,49404,,50180,0,55526,317992,1713132,1965360,4596343,4653839,7332,64587,99612,197437,220056
q3-rate70,47.000,48552,,47819,0,54596,106238,1591469,2460107,4676714,4716776,4463,74875,107524,183125,197958
q3-rate70,48.000,53267,,53225,0,50404,48966,1638708,2226675,4539521,4645174,6217,62768,98433,164453,228680
q3-rate70,49.000,47209,,47209,0,56370,13333,1449220,2109441,4378172,4465234,4443,67853,105210,191701,259681
