id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.004,33254,,32858,0,32354,198,9915,17632,26747,53074,85,1383,3861,10956,16453
warmup,2.001,59680,,59577,0,60399,465,5725,7112,11362,14021,170,6857,7758,9066,10346
warmup,3.001,65506,,65506,0,65419,522,5106,5890,7276,8170,537,7434,8082,8944,10033
warmup,4.001,65334,,65334,0,65112,2325,4940,5712,7499,8818,511,7363,8115,9066,9671
warmup,5.001,64980,,65003,0,65146,2516,5115,5901,7547,8578,3098,7491,8200,9172,9983
warmup,6.001,65476,,65453,0,65521,2144,4920,5605,7357,8707,2910,7387,8065,9111,9981
warmup,7.001,65401,,65401,0,65397,2570,4863,5590,6728,8065,1430,7423,8193,9157,9886
warmup,8.001,64329,,64362,0,64295,2553,5006,5842,7244,8248,1306,7523,8248,9415,10199
warmup,9.001,65448,,65418,0,65469,2338,4939,5741,7392,8407,1992,7440,8013,8968,9518
warmup,10.001,66372,,66369,0,66277,2545,4975,5769,7454,8455,3388,7307,7994,9008,9577
warmup,11.001,66030,,66030,0,66062,2631,5052,5823,7171,8567,1351,7355,7994,8786,9504
warmup,12.001,66609,,66688,0,66695,2734,4808,5389,6898,8213,3843,7291,7955,8877,9763
warmup,13.001,66541,,66462,0,66460,2865,4827,5470,6855,9051,1358,7236,7880,8949,9722
warmup,14.001,65931,,65931,0,65933,2178,5007,5819,6872,7965,2145,7371,7987,9010,9929
warmup,15.001,66043,,66049,0,66088,2886,4925,5636,6981,8017,3687,7437,8082,8976,9719
warmup,16.001,66421,,66425,0,66456,2180,4930,5568,6579,7321,3260,7295,7921,8691,9419
warmup,17.001,66444,,66437,0,66351,2467,5058,5910,7045,7910,3188,7326,7941,8773,9302
warmup,18.001,64969,,64966,0,65073,2880,5050,5874,7173,8153,2929,7518,8233,9210,9858
warmup,19.001,66775,,66810,0,66767,1953,4875,5455,6600,7429,2122,7267,7901,8892,9450
warmup,20.001,66907,,66872,0,66902,2223,4707,5286,6233,6824,4495,7219,7831,8782,9610
warmup,21.001,67031,,67031,0,67087,2098,4887,5499,6686,7641,3579,7154,7853,8825,9723
warmup,22.001,67090,,67116,0,67079,2540,4658,5157,6142,7258,3780,7250,7837,8692,9284
warmup,23.001,67097,,67071,0,67109,2879,4817,5470,6456,7625,3799,7201,7904,8810,9425
warmup,24.001,66565,,66565,0,66584,2796,4800,5468,6577,7433,3884,7378,7977,8828,9295
warmup,25.001,66260,,66264,0,66147,2690,4731,5367,6874,8294,3230,7231,7888,9052,10154
warmup,26.001,66236,,66236,0,66142,2835,4752,5260,6181,7018,2578,7447,8009,8910,9520
warmup,27.001,67105,,67101,0,67128,2422,4813,5389,6299,6755,3219,7274,7863,8779,9404
warmup,28.001,66425,,66425,0,66439,2845,4708,5232,6132,6828,4123,7368,8060,8976,9613
warmup,29.001,66187,,66190,0,66296,2776,4751,5338,6462,7343,3929,7309,7989,8773,9291
warmup,30.001,67982,,67979,0,67938,1644,4853,5620,6709,7296,3822,7187,7741,8744,9338
warmup,31.001,63418,,63418,0,63343,755,4858,5449,6835,7811,146,7595,8341,9276,10040
warmup,32.001,65875,,65875,0,65940,2973,4858,5539,6746,7747,3667,7375,8039,9035,9650
warmup,33.001,64941,,65050,0,64902,2145,4734,5228,6015,6671,3975,7508,8230,9163,9609
warmup,34.001,66160,,66062,0,66097,2398,4999,5682,7227,8076,2514,7402,7992,9086,9733
warmup,35.001,66455,,66444,0,66554,2291,5044,5791,7133,8268,2192,7285,7923,8915,9772
warmup,36.001,64912,,64940,0,64996,2074,4835,5549,6485,7211,2771,7583,8381,9237,9967
warmup,37.001,65267,,65239,0,65149,2699,4836,5556,6526,7399,3178,7388,8244,9266,10097
warmup,38.001,65664,,65666,0,65689,2460,5044,5759,6776,7905,3655,7370,8029,8930,9784
warmup,39.001,61501,,61499,0,61427,2660,4799,5269,6316,7102,3565,8021,8752,9535,9923
warmup,40.001,65376,,65376,0,65513,2512,4949,5705,7164,8013,3686,7273,8053,9126,9804
warmup,41.001,64089,,64089,0,64059,2109,4760,5345,6197,7225,3557,7551,8378,9314,9829
warmup,42.001,64770,,64770,0,64837,2885,5025,5653,6881,7797,4129,7529,8211,9161,9876
warmup,43.001,66155,,66155,0,66068,2302,4835,5428,6267,7507,3008,7245,7992,8949,9714
warmup,44.001,65195,,65195,0,65271,2522,4870,5437,6514,7787,3445,7503,8283,9328,10067
warmup,45.001,65531,,65538,0,65379,2557,4938,5583,7270,8414,4085,7434,8109,9233,9936
warmup,46.001,63952,,63958,0,64038,2398,4997,5860,7860,9378,2016,7648,8431,9516,10321
warmup,47.001,64338,,64331,0,64343,2681,4849,5441,6578,7329,2510,7510,8311,9272,9902
warmup,48.001,60946,,60940,0,60869,2230,4838,5304,6454,7432,3815,8067,8870,9805,10277
warmup,49.001,63323,,63360,0,63455,2738,4905,5482,6438,7437,4042,7673,8491,9449,10124
warmup,50.001,65730,,65699,0,65684,2346,4988,5525,6823,8126,4227,7352,8028,9049,9797
warmup,51.001,64173,,64167,0,64141,2981,4842,5431,6648,7660,3266,7490,8345,9336,10094
warmup,52.001,63296,,63296,0,63260,3091,4945,5549,6784,7522,4036,7773,8567,9688,10480
warmup,53.001,61891,,61896,0,61923,2603,5023,5666,7527,8639,2584,7858,8665,9648,10261
warmup,54.001,63512,,63507,0,63424,2886,5014,5732,6784,7437,3910,7695,8380,9513,10264
warmup,55.001,62281,,62281,0,62394,2719,4839,5345,6220,6931,3102,7889,8545,9454,10051
