Linux 6.6.30+ (kylin) 	2026年07月13日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分58秒   999    123991    1.00    2.00    0.00    0.00    3.00     3    194.00      0.00 2671380  119456   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时56分59秒   999    123991   61.00   13.00    0.00    0.00   74.00     3    342.00      0.00 2672404  119940   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分00秒   999    123991   44.00   14.00    0.00    0.00   58.00     3     34.00      0.00 2670940  119376   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分01秒   999    123991   43.00   12.00    0.00    0.00   55.00     3     78.00      0.00 2670172  119496   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分02秒   999    123991   45.00    8.00    0.00    0.00   53.00     3      0.00      0.00 2670172  119496   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分03秒   999    123991   43.00   11.00    0.00    0.00   54.00     3     83.00      0.00 2670172  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分04秒   999    123991   44.00   10.00    0.00    0.00   54.00     3      0.00      0.00 2670172  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分05秒   999    123991   42.00   11.00    0.00    0.00   53.00     3      0.00      0.00 2670172  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分06秒   999    123991   41.00   13.00    0.00    0.00   54.00     3      0.00      0.00 2670172  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分07秒   999    123991   43.00   11.00    0.00    0.00   54.00     3      0.00      0.00 2670172  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分08秒   999    123991   42.00   13.00    0.00    0.00   55.00     3     53.00      0.00 2670684  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分09秒   999    123991   42.00   11.00    0.00    0.00   53.00     3     11.00      0.00 2671196  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分10秒   999    123991   41.00   14.00    0.00    0.00   55.00     3      6.00      0.00 2670684  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分11秒   999    123991   42.00   10.00    0.00    0.00   52.00     3     30.00      0.00 2671196  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分12秒   999    123991   44.00   11.00    0.00    0.00   55.00     3      1.00      0.00 2670684  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分13秒   999    123991   42.00   12.00    0.00    0.00   54.00     3     49.00      0.00 2670684  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
18时57分14秒   999    123991   45.00    9.00    0.00    0.00   54.00     3     12.00      0.00 2670684  119624   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
