Linux 6.6.30+ (kylin) 	2026年07月13日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分10秒   999    129963   21.00    7.00    0.00    0.00   28.00     0    277.00      0.00 2669240  118248   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分11秒   999    129963   45.00   18.00    0.00    0.00   63.00     0     62.00      0.00 2668216  118264   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分12秒   999    129963   46.00    8.00    0.00    0.00   54.00     0      0.00      0.00 2668216  118264   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分13秒   999    129963   42.00   14.00    0.00    0.00   56.00     0      0.00      0.00 2668216  118264   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分14秒   999    129963   40.00   13.00    0.00    0.00   53.00     0    127.00      0.00 2668728  118520   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分15秒   999    129963   42.00   14.00    0.00    0.00   56.00     0     71.00      0.00 2671288  118904   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分16秒   999    129963   42.00   11.00    0.00    0.00   53.00     0      0.00      0.00 2670776  118904   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分17秒   999    129963   41.00   13.00    0.00    0.00   54.00     0     11.00      0.00 2670776  118904   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分18秒   999    129963   44.00   10.00    0.00    0.00   54.00     0     10.00      0.00 2670776  118904   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分19秒   999    129963   45.00    9.00    0.00    0.00   54.00     0     10.00      0.00 2670776  118904   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分20秒   999    129963   41.00   14.00    0.00    0.00   55.00     0     53.00      0.00 2671288  119032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分21秒   999    129963   44.00    9.00    0.00    0.00   53.00     0      0.00      0.00 2671288  119032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分22秒   999    129963   39.00   15.00    0.00    0.00   54.00     0      0.00      0.00 2671288  119032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分23秒   999    129963   45.00    8.00    0.00    0.00   53.00     0      0.00      0.00 2671288  119032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分24秒   999    129963   41.00   14.00    0.00    0.00   55.00     0      0.00      0.00 2671288  119032   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分25秒   999    129963   42.00   12.00    0.00    0.00   54.00     0     71.00      0.00 2670776  118732   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
19时05分26秒   999    129963   42.00   11.00    0.00    0.00   53.00     0     10.00      0.00 2670776  118732   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
