id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q4-join-late,1.001,10016,,10016,0,0,0,0,0,0,0,204,510,634,2400,4511
q4-join-late,2.000,10021,,10009,0,0,0,0,0,0,0,253,541,574,627,673
q4-join-late,3.000,10000,,10012,0,0,0,0,0,0,0,432,532,559,594,617
q4-join-late,4.000,10013,,10013,0,0,0,0,0,0,0,437,536,561,597,624
q4-join-late,5.000,10010,,9998,0,0,0,0,0,0,0,197,518,550,590,657
q4-join-late,6.000,10016,,10017,0,0,0,0,0,0,0,323,526,552,586,619
q4-join-late,7.000,10006,,10017,0,0,0,0,0,0,0,407,527,549,588,641
q4-join-late,8.000,10016,,10016,0,0,0,0,0,0,0,194,523,550,583,609
q4-join-late,9.000,10010,,10000,0,0,0,0,0,0,0,432,523,549,586,618
q4-join-late,10.000,10006,,10005,0,0,0,0,0,0,0,224,520,545,577,604
q4-join-late,11.000,10013,,10013,0,0,0,0,0,0,0,413,520,545,583,621
q4-join-late,12.000,10010,,10021,0,0,0,0,0,0,0,230,519,542,573,606
q4-join-late,13.000,10002,,10002,0,0,0,0,0,0,0,387,519,541,573,613
q4-join-late,14.000,10009,,10009,0,0,0,0,0,0,0,178,523,545,577,600
q4-join-late,15.000,10015,,10015,0,0,0,0,0,0,0,286,523,550,587,630
q4-join-late,16.000,9999,,9999,0,0,0,0,0,0,0,431,529,550,582,608
q4-join-late,17.000,10011,,10011,0,0,0,0,0,0,0,414,525,546,578,595
q4-join-late,18.000,10014,,10014,0,0,0,0,0,0,0,436,528,550,583,602
q4-join-late,19.000,10007,,9996,0,0,0,0,0,0,0,424,522,545,577,595
q4-join-late,20.000,9997,,10008,0,0,0,0,0,0,0,236,521,543,572,601
q4-join-late,21.000,10018,,10007,0,0,0,0,0,0,0,419,523,543,577,600
q4-join-late,22.000,10008,,10008,0,0,0,0,0,0,0,426,523,546,577,600
q4-join-late,23.000,10008,,10019,0,0,0,0,0,0,0,416,522,545,579,607
q4-join-late,24.000,10016,,10006,0,0,0,0,0,0,0,432,525,547,578,602
q4-join-late,25.000,9997,,10007,0,0,0,0,0,0,0,241,521,546,583,637
q4-join-late,26.000,10016,,10016,0,0,0,0,0,0,0,421,522,544,577,614
q4-join-late,27.000,10009,,10009,0,0,0,0,0,0,0,415,521,544,577,596
q4-join-late,28.000,10008,,9996,0,0,0,0,0,0,0,419,520,545,580,612
q4-join-late,29.000,9997,,10009,0,0,0,0,0,0,0,423,522,544,575,595
q4-join-late,30.000,10019,,10007,0,0,0,0,0,0,0,182,521,545,581,600
q4-join-late,31.000,9998,,10001,0,0,0,0,0,0,0,419,521,544,581,612
q4-join-late,32.000,10017,,10015,0,0,0,0,0,0,0,419,524,548,576,602
q4-join-late,33.000,10000,,10000,0,0,0,0,0,0,0,217,520,546,578,617
q4-join-late,34.000,10006,,10017,0,0,0,0,0,0,0,377,522,544,573,599
q4-join-late,35.000,10008,,9997,0,0,0,0,0,0,0,284,523,545,578,604
q4-join-late,36.000,10004,,10015,0,0,0,0,0,0,0,245,527,549,582,812
q4-join-late,37.000,10011,,10000,0,0,0,0,0,0,0,430,536,560,591,612
q4-join-late,38.000,10003,,10013,0,0,0,0,0,0,0,433,539,562,593,617
q4-join-late,39.000,10003,,10004,0,0,0,0,0,0,0,446,538,561,588,612
q4-join-late,40.000,10010,,10009,0,0,0,0,0,0,0,220,532,554,585,604
q4-join-late,41.000,10021,,10011,0,0,0,0,0,0,0,420,523,546,575,596
q4-join-late,42.000,10010,,10010,0,0,0,0,0,0,0,422,519,541,574,591
q4-join-late,43.000,9999,,10000,0,0,0,0,0,0,0,402,522,543,574,705
q4-join-late,44.000,10013,,10011,0,0,0,0,0,0,0,415,525,546,577,608
q4-join-late,45.000,10005,,10005,0,0,0,0,0,0,0,200,526,552,586,611
q4-join-late,46.000,10002,,10003,0,0,0,0,0,0,0,417,523,546,574,594
q4-join-late,47.000,10009,,10020,0,0,0,0,0,0,0,422,525,546,577,601
q4-join-late,48.000,10003,,10003,0,0,0,0,0,0,0,425,524,545,574,594
q4-join-late,49.000,10013,,10004,0,0,0,0,0,0,0,414,523,546,578,599
q4-join-late,50.000,10004,,10001,0,0,0,0,0,0,0,226,521,543,576,598
q4-join-late,51.000,10014,,10015,0,0,0,0,0,0,0,252,532,554,585,744
q4-join-late,52.000,9996,,10007,0,0,0,0,0,0,0,399,525,548,579,599
q4-join-late,53.000,10012,,10012,0,0,0,0,0,0,0,423,530,554,590,610
q4-join-late,54.000,10005,,9994,0,0,0,0,0,0,0,440,539,559,592,614
q4-join-late,55.000,10015,,10015,0,0,0,0,0,0,0,219,525,550,581,606
q4-join-late,56.000,9994,,10005,0,0,0,0,0,0,0,417,530,556,590,632
q4-join-late,57.000,10018,,10007,0,0,0,0,0,0,0,405,524,545,575,599
q4-join-late,58.000,10003,,10003,0,0,0,0,0,0,0,428,522,545,575,596
q4-join-late,59.000,9998,,10009,0,0,0,0,0,0,0,412,523,545,575,607
q4-join-late,60.000,10015,,10004,0,0,0,0,0,0,0,273,522,546,584,621
q4-join-late,61.000,10005,,10005,0,0,0,0,0,0,0,416,524,554,594,617
q4-join-late,62.000,10001,,10000,0,0,0,0,0,0,0,418,521,541,572,593
q4-join-late,63.000,10003,,10004,0,0,0,0,0,0,0,409,522,546,575,591
q4-join-late,64.000,10000,,10000,0,0,0,0,0,0,0,427,523,546,576,597
q4-join-late,65.000,10016,,10016,0,0,0,0,0,0,0,215,524,546,578,616
q4-join-late,66.000,10002,,10002,0,0,0,0,0,0,0,405,522,542,576,593
q4-join-late,67.000,10000,,9999,0,0,0,0,0,0,0,421,521,542,576,605
q4-join-late,68.000,10008,,10020,0,0,0,0,0,0,0,395,524,547,580,602
q4-join-late,69.000,10011,,10011,0,0,0,0,0,0,0,427,521,544,575,600
q4-join-late,70.000,10005,,10005,0,0,0,0,0,0,0,206,515,538,577,943
q4-join-late,71.000,10007,,9995,0,0,0,0,0,0,0,423,525,550,581,605
q4-join-late,72.000,10010,,10011,0,0,0,0,0,0,0,420,526,547,578,599
q4-join-late,73.000,10007,,10018,0,0,0,0,0,0,0,423,523,544,576,598
q4-join-late,74.000,10010,,9998,0,0,0,0,0,0,0,422,525,547,576,600
q4-join-late,75.000,10011,,10012,0,0,0,0,0,0,0,222,526,548,582,712
q4-join-late,76.000,10001,,10001,0,0,0,0,0,0,0,428,524,545,577,595
q4-join-late,77.000,10009,,10020,0,0,0,0,0,0,0,386,520,544,576,601
q4-join-late,78.000,10007,,10007,0,0,0,0,0,0,0,419,519,540,573,598
q4-join-late,79.000,10009,,9998,0,0,0,0,0,0,0,403,520,541,572,601
q4-join-late,80.000,10014,,10014,0,0,0,0,0,0,0,215,521,544,578,609
q4-join-late,81.000,9999,,10010,0,0,0,0,0,0,0,430,522,543,570,597
q4-join-late,82.000,10009,,10009,0,0,0,0,0,0,0,426,521,544,573,602
q4-join-late,83.000,10011,,9999,0,0,0,0,0,0,0,412,523,545,576,601
q4-join-late,84.000,10007,,10019,0,0,0,0,0,0,0,427,525,547,582,608
q4-join-late,85.000,10009,,9998,0,0,0,0,0,0,0,248,524,550,581,615
q4-join-late,86.000,10012,,10011,0,0,0,0,0,0,0,420,528,551,585,617
q4-join-late,87.000,9997,,10009,0,0,0,0,0,0,0,412,521,544,577,603
q4-join-late,88.000,10009,,10009,0,0,0,0,0,0,0,259,528,553,588,659
q4-join-late,89.000,10011,,9999,0,0,0,0,0,0,0,423,523,544,577,593
q4-join-late,90.000,10008,,10010,0,0,0,0,0,0,0,273,522,544,576,595
q4-join-late,91.000,10003,,10001,0,0,0,0,0,0,0,407,521,542,575,608
q4-join-late,92.000,10005,,10006,0,0,0,0,0,0,0,414,521,545,575,608
q4-join-late,93.000,10010,,10010,0,0,0,0,0,0,0,406,521,546,582,609
q4-join-late,94.000,9999,,10010,0,0,0,0,0,0,0,408,523,545,577,604
q4-join-late,95.000,10009,,10009,0,0,0,0,0,0,0,210,521,544,582,611
q4-join-late,96.000,10014,,10014,0,0,0,0,0,0,0,235,521,543,573,599
q4-join-late,97.000,10000,,10000,0,0,0,0,0,0,0,223,520,545,577,608
q4-join-late,98.000,10019,,10008,0,0,0,0,0,0,0,424,523,546,584,610
q4-join-late,99.000,9999,,10010,0,0,0,0,0,0,0,418,521,545,577,613
q4-join-late,100.000,10007,,9996,0,0,0,0,0,0,0,245,521,544,577,602
q4-join-late,101.000,10012,,10012,0,0,0,0,0,0,0,252,524,546,578,604
q4-join-late,102.000,10011,,10010,0,0,0,0,0,0,0,402,517,540,571,604
q4-join-late,103.000,10003,,10004,0,0,0,0,0,0,0,402,519,543,574,594
q4-join-late,104.000,10010,,10021,0,0,0,0,0,0,0,408,506,531,568,3026
q4-join-late,105.000,10010,,10010,0,0,0,0,0,0,0,200,510,533,568,591
q4-join-late,106.000,10005,,9999,0,0,0,0,0,0,0,433,524,549,578,623
q4-join-late,107.000,9999,,10005,0,0,0,0,0,0,0,219,521,543,578,613
q4-join-late,108.000,10014,,10014,0,0,0,0,0,0,0,432,527,550,585,620
q4-join-late,109.000,10011,,10011,0,0,0,0,0,0,0,425,526,547,576,598
q4-join-late,110.000,10007,,9996,0,0,0,0,0,0,0,239,525,548,580,610
q4-join-late,111.000,10010,,10011,0,0,0,0,0,0,0,430,523,546,578,613
q4-join-late,112.000,9998,,10008,0,0,0,0,0,0,0,415,523,548,580,602
q4-join-late,113.000,10003,,10000,0,0,0,0,0,0,0,424,523,547,581,606
q4-join-late,114.000,10014,,10017,0,0,0,0,0,0,0,223,520,544,574,591
q4-join-late,115.000,10009,,9998,0,0,0,0,0,0,0,222,528,551,580,607
q4-join-late,116.000,10005,,10016,0,0,0,0,0,0,0,238,520,546,572,600
q4-join-late,117.000,10010,,10010,0,0,0,0,0,0,0,430,522,543,575,599
q4-join-late,118.000,10002,,10002,0,0,0,0,0,0,0,197,520,544,574,600
q4-join-late,119.000,10005,,10005,0,0,0,0,0,0,0,420,524,547,584,608
q4-join-late,120.000,10017,,10005,0,0,0,0,0,0,0,229,526,548,577,606
q4-join-late,121.001,313,,225,0,54486,115555814,117742276,118867314,119508298,119550342,257,8515,51137,52621,52792
q4-join-late,122.000,0,,0,0,58514,110715589,113070899,114292791,115335935,115506975,0,0,0,0,0
q4-join-late,123.000,300,,300,0,58158,105905432,108226481,109556738,110529325,110666389,231456,239703,2304119,2304620,2304717
q4-join-late,124.000,400,,400,0,52782,101627709,103640482,104832744,105690894,105848888,230062,234402,242930,243346,243471
q4-join-late,125.000,500,,500,0,58863,96746851,99269365,100434293,101341665,101582973,220317,236393,242161,245668,245807
q4-join-late,126.000,400,,400,0,62140,91536119,94027019,95369420,96474510,96691559,229641,235742,236426,243871,243987
q4-join-late,127.000,400,,400,0,67542,85790204,88780089,90181676,91303419,91481907,223480,227143,229333,240019,240132
q4-join-late,128.000,400,,400,0,54588,81351135,83461759,84539620,85535881,85732950,227426,235745,239398,239958,240075
q4-join-late,129.000,500,,500,0,55173,76817475,79024256,80172900,81131312,81281056,231307,236554,237775,241846,241988
q4-join-late,130.000,400,,400,0,62333,71588071,74096046,75388358,76540164,76737059,214101,230050,237019,237527,237647
q4-join-late,131.000,400,,400,0,64330,66167168,68835978,70231552,71327759,71541122,228594,235381,240245,240468,240560
q4-join-late,132.000,400,,400,0,58672,61311031,63559146,64838880,65870108,66063968,219206,226729,241180,241711,241836
q4-join-late,133.000,500,,500,0,53248,56978177,59065867,60217038,61095749,61266678,227632,239766,241041,247732,247879
q4-join-late,134.000,400,,400,0,62856,51713616,54286865,55660467,56706412,56909946,222151,229803,236875,239220,239336
q4-join-late,135.000,400,,400,0,60086,46704754,49094303,50431341,51420450,51661399,238382,239262,240971,242607,242783
q4-join-late,136.000,400,,400,0,57922,41914519,44383608,45532521,46494435,46632654,221353,229438,240752,241337,241459
q4-join-late,137.000,500,,500,0,58095,37109057,39467882,40699948,41654646,41886687,224286,237001,237413,240669,240815
q4-join-late,138.000,400,,400,0,57769,32351930,34719880,35792082,36861311,37042959,235102,239366,239956,242149,242278
q4-join-late,139.000,400,,400,0,54400,27898449,30211712,31264567,32149722,32304937,225645,241526,242459,244893,245027
q4-join-late,140.000,400,,400,0,52504,23649709,25676554,26798603,27678572,27861473,234383,238313,240047,240672,240792
q4-join-late,141.000,8442,,8444,0,52677,208,21471030,22534305,23433310,23606692,820,2551,3032,228535,239677
q4-join-late,142.000,14287,,14374,0,14365,146,271,893,1898,2589,345,631,2281,3654,4176
q4-join-late,143.000,10012,,10023,0,10012,145,224,256,597,672,296,519,570,738,863
q4-join-late,144.000,10014,,10012,0,10012,144,226,254,604,673,396,522,565,771,895
q4-join-late,145.000,10001,,10003,0,10003,148,226,256,578,669,394,522,568,775,885
q4-join-late,146.000,10010,,9999,0,10003,155,223,250,341,638,386,526,570,756,862
q4-join-late,147.000,10010,,10021,0,10017,151,225,252,342,656,322,518,560,719,874
q4-join-late,148.000,10008,,9997,0,9997,153,225,255,572,664,284,518,562,740,828
q4-join-late,149.000,9996,,10007,0,10007,150,228,254,409,647,346,522,566,687,804
q4-join-late,150.000,10013,,10013,0,10013,136,226,252,559,687,390,525,568,770,953
q4-join-late,151.000,10003,,10003,0,10003,153,230,261,642,2842,390,523,568,811,4090
q4-join-late,152.000,10008,,10007,0,10007,145,226,254,422,666,381,525,570,735,853
q4-join-late,153.000,10017,,10006,0,10018,151,227,254,339,662,370,522,559,666,808
q4-join-late,154.000,10014,,10015,0,10014,147,223,251,546,642,382,519,560,685,823
q4-join-late,155.000,9997,,10008,0,9997,156,227,253,453,657,341,522,568,701,835
q4-join-late,156.000,10015,,10015,0,10015,153,227,256,585,668,391,525,570,748,845
q4-join-late,157.000,10005,,10005,0,10005,154,227,255,563,667,390,519,563,656,834
q4-join-late,158.000,10004,,10004,0,10004,149,224,250,341,641,391,523,563,672,828
q4-join-late,159.000,10011,,10011,0,10011,158,230,257,341,647,391,525,566,709,861
q4-join-late,160.000,10005,,10005,0,10005,148,224,249,588,679,374,517,562,745,885
q4-join-late,161.000,10016,,10016,0,10016,146,227,255,376,638,387,521,568,758,865
q4-join-late,162.000,10007,,9996,0,9999,152,229,257,611,710,375,521,567,780,997
q4-join-late,163.000,10014,,10014,0,10012,157,224,254,579,664,392,518,561,741,877
q4-join-late,164.000,10006,,10017,0,10016,153,228,256,569,655,371,525,569,759,855
