id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,34182,,33682,0,33150,259,13493,20049,30089,38974,115,2728,5694,10874,14728
warmup,2.001,57585,,57626,0,58404,890,5832,7258,26244,33877,280,7546,8469,12655,18645
warmup,3.001,63013,,62978,0,62906,2801,5194,6161,7530,9030,438,7839,8477,9586,11000
warmup,4.001,63417,,63410,0,63474,2931,5144,5717,7139,8146,3097,7744,8416,9433,10145
warmup,5.001,63633,,63633,0,63643,1941,5210,6077,7192,9158,3265,7603,8318,9311,10154
warmup,6.001,64529,,64529,0,64506,2949,5209,5891,7031,8847,2928,7457,8192,9157,10054
warmup,7.001,64454,,64481,0,64369,2619,5429,6470,8516,9767,2659,7519,8295,9513,10354
warmup,8.001,63797,,63770,0,63856,1830,5259,6041,7395,8389,1355,7575,8320,9295,10212
warmup,9.001,63953,,63953,0,63920,2527,5141,5817,7068,8918,3161,7648,8357,9241,10037
warmup,10.001,63188,,63246,0,63264,2494,5084,5989,7741,8922,3538,7662,8498,9713,10350
warmup,11.001,61148,,61090,0,61128,2456,5116,5691,6629,8267,2502,7901,8787,9681,10522
warmup,12.001,64149,,64149,0,64087,2129,5094,5769,6997,8424,3100,7552,8279,9133,9828
warmup,13.001,64920,,64920,0,64882,2056,5001,5635,6639,7454,1789,7448,8166,9154,9824
warmup,14.001,62621,,62627,0,62567,2898,4975,5671,7173,8442,3137,7765,8620,9582,10302
warmup,15.001,61778,,61775,0,61945,3001,5055,5670,7103,8078,2711,7877,8733,9563,10198
warmup,16.001,61074,,61071,0,60982,2453,5077,5675,6982,8203,3621,8025,8899,9836,10473
warmup,17.001,63330,,63330,0,63388,2802,5100,5647,6893,7824,3404,7805,8469,9535,10199
warmup,18.001,64265,,64274,0,64302,1961,4866,5498,6633,7441,3706,7570,8223,9270,10233
warmup,19.001,63407,,63468,0,63359,2773,5187,6052,7511,8815,4088,7634,8455,9366,12997
warmup,20.001,65161,,65170,0,65050,2441,4873,5615,6827,7705,3834,7501,8071,9008,9852
warmup,21.001,64668,,64589,0,64728,2759,5328,6197,7958,9187,4121,7426,8239,9264,9651
warmup,22.001,63339,,63339,0,63230,2718,5020,5653,6757,8861,3910,7769,8451,9391,9876
warmup,23.001,64609,,64650,0,64811,2843,5247,6054,7751,9306,3172,7624,8308,9211,9754
warmup,24.001,62532,,62495,0,62546,1743,4909,5533,7172,8583,3908,7789,8576,9559,10290
warmup,25.001,65089,,65085,0,65075,2582,5075,5907,7656,8827,3601,7480,8155,9038,9744
warmup,26.001,64863,,64865,0,64690,2361,5105,5701,6818,7818,3145,7512,8191,9095,9784
warmup,27.001,63859,,63870,0,63966,2036,4819,5519,6551,7306,3459,7553,8219,9223,9729
warmup,28.001,64186,,64173,0,64150,2918,5191,6053,7454,8171,2864,7654,8328,9330,9876
warmup,29.001,66506,,66506,0,66581,2164,4904,5622,6804,7875,3644,7289,7978,9008,10112
