4         Threads
25        Connections per thread
300       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets         8546.13          ---          ---         0.46458         0.41500         0.70300         1.00700         1.36700      8895.33 
Gets        85459.30     85459.30         0.00         0.45625         0.39900         0.69500         0.98300         1.35900     88533.93 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals      94005.43     85459.30         0.00         0.45701         0.39900         0.69500         0.98300         1.35900     97429.26 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.023        0.000
SET       0.223        5.000
SET       0.311       10.000
SET       0.319       15.000
SET       0.327       20.000
SET       0.327       25.000
SET       0.327       30.000
SET       0.335       35.000
SET       0.343       40.000
SET       0.367       45.000
SET       0.415       50.000
SET       0.431       52.500
SET       0.447       55.000
SET       0.463       57.500
SET       0.479       60.000
SET       0.503       62.500
SET       0.519       65.000
SET       0.543       67.500
SET       0.583       70.000
SET       0.623       72.500
SET       0.655       75.000
SET       0.663       76.250
SET       0.663       77.500
SET       0.671       78.750
SET       0.671       80.000
SET       0.671       81.250
SET       0.679       82.500
SET       0.679       83.750
SET       0.679       85.000
SET       0.679       86.250
SET       0.687       87.500
SET       0.687       88.125
SET       0.687       88.750
SET       0.687       89.375
SET       0.687       90.000
SET       0.687       90.625
SET       0.687       91.250
SET       0.695       91.875
SET       0.695       92.500
SET       0.695       93.125
SET       0.695       93.750
SET       0.703       94.062
SET       0.703       94.375
SET       0.703       94.688
SET       0.703       95.000
SET       0.711       95.312
SET       0.711       95.625
SET       0.719       95.938
SET       0.735       96.250
SET       0.759       96.562
SET       0.791       96.875
SET       0.799       97.031
SET       0.815       97.188
SET       0.839       97.344
SET       0.871       97.500
SET       0.887       97.656
SET       0.903       97.812
SET       0.911       97.969
SET       0.919       98.125
SET       0.935       98.281
SET       0.943       98.438
SET       0.943       98.516
SET       0.951       98.594
SET       0.951       98.672
SET       0.959       98.750
SET       0.967       98.828
SET       0.983       98.906
SET       1.007       98.984
SET       1.039       99.062
SET       1.087       99.141
SET       1.159       99.219
SET       1.199       99.258
SET       1.231       99.297
SET       1.263       99.336
SET       1.287       99.375
SET       1.295       99.414
SET       1.303       99.453
SET       1.311       99.492
SET       1.319       99.531
SET       1.319       99.570
SET       1.327       99.609
SET       1.327       99.629
SET       1.335       99.648
SET       1.335       99.668
SET       1.335       99.688
SET       1.335       99.707
SET       1.343       99.727
SET       1.343       99.746
SET       1.343       99.766
SET       1.351       99.785
SET       1.351       99.805
SET       1.351       99.814
SET       1.351       99.824
SET       1.351       99.834
SET       1.359       99.844
SET       1.359       99.854
SET       1.359       99.863
SET       1.359       99.873
SET       1.359       99.883
SET       1.367       99.893
SET       1.367       99.902
SET       1.367       99.907
SET       1.367       99.912
SET       1.367       99.917
SET       1.375       99.922
SET       1.375       99.927
SET       1.375       99.932
SET       1.375       99.937
SET       1.375       99.941
SET       1.383       99.946
SET       1.383       99.951
SET       1.383       99.954
SET       1.383       99.956
SET       1.383       99.958
SET       1.391       99.961
SET       1.391       99.963
SET       1.391       99.966
SET       1.391       99.968
SET       1.399       99.971
SET       1.399       99.973
SET       1.399       99.976
SET       1.407       99.977
SET       1.407       99.978
SET       1.407       99.979
SET       1.415       99.980
SET       1.415       99.982
SET       1.423       99.983
SET       1.431       99.984
SET       1.431       99.985
SET       1.439       99.987
SET       1.447       99.988
SET       1.455       99.988
SET       1.455       99.989
SET       1.455       99.990
SET       1.463       99.990
SET       1.463       99.991
SET       1.471       99.991
SET       1.471       99.992
SET       1.479       99.993
SET       1.487       99.993
SET       1.487       99.994
SET       1.495       99.994
SET       1.495       99.995
SET       1.503       99.995
SET       1.503       99.995
SET       1.511       99.995
SET       1.527       99.996
SET       1.535       99.996
SET       1.551       99.996
SET       1.567       99.997
SET       1.575       99.997
SET       1.583       99.997
SET       1.599       99.997
SET       1.615       99.997
SET       1.623       99.998
SET       1.647       99.998
SET       1.671       99.998
SET       1.687       99.998
SET       1.703       99.998
SET       1.727       99.998
SET       1.759       99.998
SET       1.783       99.999
SET       1.791       99.999
SET       1.807       99.999
SET       1.815       99.999
SET       1.871       99.999
SET       1.879       99.999
SET       1.911       99.999
SET       1.935       99.999
SET       1.967       99.999
SET       1.975       99.999
SET       2.015       99.999
SET       2.031       99.999
SET       2.111       99.999
SET       2.127       99.999
SET       2.175       99.999
SET       2.191       99.999
SET       2.223      100.000
SET       2.255      100.000
SET       2.303      100.000
SET       2.319      100.000
SET       2.319      100.000
SET       2.367      100.000
SET       2.367      100.000
SET       2.399      100.000
SET       2.399      100.000
SET       2.447      100.000
SET       2.447      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.463      100.000
SET       2.495      100.000
SET       2.495      100.000
SET       2.495      100.000
SET       2.495      100.000
SET       2.495      100.000
SET       2.495      100.000
SET       2.495      100.000
SET       2.495      100.000
