id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q1-one-fast,1.003,39199,,,,38447,4177,38129,53089,86449,91040,,,,,
q1-one-fast,2.000,63356,,,,63319,3250,10746,13304,18453,22184,,,,,
q1-one-fast,3.000,66910,,,,66987,3282,10657,12637,15758,18329,,,,,
q1-one-fast,4.000,67564,,,,67275,3929,10133,12786,16605,18639,,,,,
q1-one-fast,5.000,66435,,,,66753,3987,11004,12825,15841,18558,,,,,
q1-one-fast,6.000,67668,,,,67567,4351,10553,12669,16197,20057,,,,,
q1-one-fast,7.000,67825,,,,67781,4071,10198,12048,14999,16740,,,,,
q1-one-fast,8.000,67964,,,,68284,3867,10202,12182,15542,17976,,,,,
q1-one-fast,9.000,68162,,,,68057,4381,10783,13014,15990,18599,,,,,
q1-one-fast,10.000,66329,,,,66452,4134,10604,12819,16587,18984,,,,,
q1-one-fast,11.000,68041,,,,67775,4168,10258,12497,16064,20940,,,,,
q1-one-fast,12.000,68002,,,,68150,3911,10540,12839,15426,17128,,,,,
q1-one-fast,13.000,67066,,,,66933,4015,9979,12335,15721,17378,,,,,
q1-one-fast,14.000,68629,,,,68663,4052,10200,12563,16217,18211,,,,,
q1-one-fast,15.000,67612,,,,67693,4278,10072,12074,15795,17834,,,,,
q1-one-fast,16.000,67432,,,,67482,4678,10750,12720,15419,16862,,,,,
q1-one-fast,17.000,67495,,,,67527,3596,10467,12467,15904,17493,,,,,
q1-one-fast,18.000,66939,,,,66808,4302,10493,12955,17304,19794,,,,,
q1-one-fast,19.000,67046,,,,66837,4335,10490,12520,14884,16993,,,,,
q1-one-fast,20.000,67588,,,,67556,4525,10513,12525,17001,20498,,,,,
q1-one-fast,21.000,66371,,,,66384,4119,11187,13248,16769,19027,,,,,
q1-one-fast,22.000,67439,,,,67770,3372,10380,12359,15679,18776,,,,,
q1-one-fast,23.000,68068,,,,68047,3261,9889,12203,15533,17606,,,,,
q1-one-fast,24.000,69053,,,,68879,4519,10070,11802,14505,16754,,,,,
q1-one-fast,25.000,67453,,,,67657,3839,10485,12110,15927,18808,,,,,
q1-one-fast,26.000,67812,,,,67794,4153,9885,11653,14129,16872,,,,,
q1-one-fast,27.000,68911,,,,68781,3836,10157,12230,15888,17816,,,,,
q1-one-fast,28.000,66810,,,,66751,4250,10585,12276,16017,17369,,,,,
q1-one-fast,29.000,68521,,,,68545,4164,10275,12092,15683,20764,,,,,
q1-one-fast,30.000,66765,,,,66642,3286,9888,11816,15809,20102,,,,,
q1-one-fast,31.000,67366,,,,67731,4035,10519,12695,14837,16283,,,,,
q1-one-fast,32.000,67362,,,,67091,3868,10458,12639,17367,21332,,,,,
q1-one-fast,33.000,66572,,,,66667,4514,10874,13105,15843,17527,,,,,
q1-one-fast,34.000,67226,,,,67220,3999,11518,13716,17718,22686,,,,,
q1-one-fast,35.000,67022,,,,67035,4518,11017,13045,16359,18108,,,,,
q1-one-fast,36.000,66922,,,,67036,4360,10686,12760,15534,18620,,,,,
q1-one-fast,37.000,68880,,,,68598,4022,10145,12188,15615,18265,,,,,
q1-one-fast,38.000,65793,,,,66253,4728,10693,12189,15193,17354,,,,,
q1-one-fast,39.000,69597,,,,69185,4125,10130,12027,14840,17363,,,,,
q1-one-fast,40.000,68059,,,,68053,4550,10935,13142,16300,17523,,,,,
q1-one-fast,41.000,66909,,,,67195,4414,10293,12428,16728,18298,,,,,
q1-one-fast,42.000,69457,,,,69198,4129,10142,12119,14619,16361,,,,,
q1-one-fast,43.000,67734,,,,67949,4140,10589,12492,15834,17244,,,,,
q1-one-fast,44.000,66740,,,,66720,4343,11046,13344,16969,20112,,,,,
q1-one-fast,45.000,68326,,,,68182,3149,9830,11873,16024,19908,,,,,
q1-one-fast,46.000,67108,,,,67112,4549,10455,12531,16186,17655,,,,,
q1-one-fast,47.000,66959,,,,66946,4124,10681,12805,16574,19788,,,,,
q1-one-fast,48.000,66832,,,,66787,4671,10564,12921,16752,19484,,,,,
