Linux 6.6.30+ (kylin) 	2026年07月13日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时35分30秒   999     57474   60.00   13.00    0.00    0.00   73.00     2  12713.00      0.00 2733028  163100   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时35分31秒   999     57474  232.67   53.47    0.00    0.00  286.14     2  55047.52      0.00 2747072  176548   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时35分32秒   999     57474  258.00   65.00    0.00    0.00  323.00     2  99546.00      0.00 2757312  176632   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时35分33秒   999     57474  262.00   71.00    0.00    0.00  333.00     2 111918.00      0.00 2754776  174424   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时35分34秒   999     57474  259.00   72.00    0.00    0.00  331.00     2 103333.00      0.00 2755528  176904   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时35分35秒   999     57474  279.00   63.00    0.00    0.00  342.00     2 109200.00      0.00 2750464  171952   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
22时35分36秒   999     57474  278.00   58.00    0.00    0.00  336.00     2 103953.00      0.00 2746404  173104   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
