id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q2-reliable,1.002,50154,,46256,0,39134,262,73130,124496,246497,271383,407,40941,70156,105397,131799
q2-reliable,2.001,50819,,50870,0,44991,13768,217983,291417,539210,678275,5819,65245,97404,134478,174164
q2-reliable,3.001,48229,,48211,0,52027,8129,225029,352884,737553,818300,5251,71500,100230,146170,227673
q2-reliable,4.001,51126,,50995,0,48521,16882,213328,429732,727910,816302,4242,67546,91158,142096,210572
q2-reliable,5.001,52304,,52744,0,48375,2943,253171,438532,754614,795741,9355,69617,90932,143042,227873
q2-reliable,6.001,53507,,53115,0,46308,11152,267371,599434,1127009,1218649,3247,65437,88276,143952,183087
q2-reliable,7.001,48878,,48830,0,53424,10754,306216,626571,1364480,1449697,6145,66871,93055,163879,222010
q2-reliable,8.001,52398,,52398,0,47439,18098,389672,738132,1365268,1471713,2437,71268,93983,151209,198936
q2-reliable,9.001,50543,,50684,0,49450,4721,439867,581790,1283614,1361446,7050,68003,102368,170682,198245
q2-reliable,10.001,51730,,51589,0,48496,16704,438377,847359,1414391,1477129,4629,61672,91379,162031,203208
q2-reliable,11.001,50778,,50937,0,49827,21489,521430,849418,1273616,1389759,3716,64242,99192,162099,181306
q2-reliable,12.001,50679,,50568,0,48261,14199,649485,805528,1276238,1341394,8532,66612,102020,156652,185680
q2-reliable,13.001,48181,,48133,0,53198,26177,634776,952062,1362657,1381774,5759,70604,100485,151644,168855
q2-reliable,14.001,52285,,52285,0,46997,48465,775180,990711,1505941,1621937,3132,64258,98048,145858,175749
q2-reliable,15.001,50665,,50665,0,48788,50030,529175,1000385,1525950,1606161,3591,62935,95790,152422,206716
q2-reliable,16.001,48275,,48420,0,53551,26484,603114,916431,1510708,1621589,8638,70490,108934,164419,202037
q2-reliable,17.001,52256,,52323,0,48695,39857,732752,1094565,1726380,1802324,13361,62335,88527,146526,190773
q2-reliable,18.001,48248,,48152,0,52788,22617,496186,755453,1435526,1529624,5676,66588,98069,160293,221036
q2-reliable,19.001,57247,,57346,0,43095,9706,460352,963089,1716912,1813301,4734,58970,77997,136161,293570
q2-reliable,20.001,57241,,57036,0,43139,3439,935660,1211958,2013622,2048731,9100,59889,88500,145676,187630
q2-reliable,21.001,56558,,56548,0,41844,286496,1149819,1545016,2124498,2182000,3931,59454,88660,137540,166380
q2-reliable,22.001,54997,,54997,0,45818,524187,1293673,1680023,2616526,2776826,4991,59034,84122,151426,197002
q2-reliable,23.001,48467,,48467,0,49869,463278,1396675,1821440,2987396,3037060,6338,65500,104029,187949,233887
q2-reliable,24.001,50313,,50820,0,51061,146684,1552874,1967278,3240038,3318781,3112,67977,93488,165620,212184
q2-reliable,25.001,55267,,55339,0,44267,374478,1742341,2215522,3346805,3391078,10245,58810,92635,154528,196774
q2-reliable,26.001,47712,,47133,0,51420,635854,1764470,2239639,3501333,3590525,2975,66164,98849,161921,211654
q2-reliable,27.001,51646,,51776,0,49237,613893,1842715,2344140,3373797,3451049,3883,67760,105837,169007,205940
q2-reliable,28.001,48504,,48374,0,49208,717584,1757263,2139083,3524690,3547903,3182,65019,101380,162288,191512
q2-reliable,29.001,46480,,46915,0,51624,668761,1778027,1993395,3515150,3575785,3644,78561,114940,162716,210537
q2-reliable,30.000,51618,,51183,0,48022,508097,1785224,1927436,3633080,3707864,8807,63705,102019,175025,206094
q2-reliable,31.001,52276,,52483,0,47749,557223,1840022,2196765,3550051,3620505,6273,61028,90112,141633,255294
q2-reliable,32.001,47574,,47732,0,52025,618031,1869381,2196869,3497327,3536735,1971,70428,99067,169819,191938
q2-reliable,33.001,52672,,52307,0,47244,559807,1935429,2101800,3075725,3153607,7537,62268,85959,158307,190008
q2-reliable,34.001,47213,,47323,0,55683,653177,1872680,2179456,3180402,3264584,10342,70003,114225,162735,230153
q2-reliable,35.001,49739,,49717,0,49565,325927,1762715,2177883,2726437,2799521,4769,65237,101376,153114,182441
q2-reliable,36.001,48234,,48148,0,49137,415665,1854198,2288920,2862928,2913307,5633,70587,107845,177514,222792
q2-reliable,37.001,48859,,48857,0,51872,251359,1936461,2162515,2764129,2858418,3046,59630,92269,175086,207535
q2-reliable,38.001,49900,,49900,0,50806,393383,1669857,1929587,2661767,2729164,9004,72729,104345,156416,208977
q2-reliable,39.001,48262,,48262,0,51484,363496,1573978,1844067,2805269,2904754,6561,70691,106789,163551,208388
q2-reliable,40.001,51665,,51691,0,49592,381177,1536729,1704186,2729208,2792756,6287,70678,110884,159089,188270
q2-reliable,41.001,48466,,48440,0,50741,514314,1226746,2544703,2831853,2927015,3635,63149,104493,184839,239315
q2-reliable,42.001,51778,,51778,0,48604,802765,1176250,2487023,2643551,2712677,8161,76263,104728,142024,165686
q2-reliable,43.001,51670,,51739,0,45714,919331,1391723,2456620,2641259,2694127,5798,69520,89534,143376,203726
q2-reliable,44.001,54093,,54054,0,47975,976643,1502873,2363712,2489178,2581365,3718,66235,97634,138690,191722
q2-reliable,45.001,53343,,53313,0,47349,968823,1545947,2359611,2595166,2777714,4569,62058,94688,154769,230215
q2-reliable,46.001,50863,,50863,0,48595,1081687,1602560,2582378,2795371,2825583,3708,67970,107871,162634,176019
q2-reliable,47.001,52855,,52855,0,46445,1226115,1584849,2656450,2801970,2900869,7896,62597,90714,140251,186980
q2-reliable,48.001,54395,,54395,0,45815,1171027,1685481,2735965,3094388,3149709,4529,64224,87550,148148,194827
q2-reliable,49.001,51339,,51339,0,49436,914131,2123704,2842729,3062079,3217867,2334,67237,91031,148574,201078
q2-reliable,50.001,50617,,50631,0,49537,986355,2081868,2769554,3307958,3462038,5875,67457,98872,163544,199168
q2-reliable,51.001,51809,,51830,0,49446,1128314,2388682,2677940,3455997,3657186,5070,57735,87587,183301,289472
q2-reliable,52.001,53260,,53330,0,46813,1338470,2288647,2827380,3753311,3931240,3517,62252,99346,142757,171570
q2-reliable,53.001,53934,,53829,0,43783,1433094,2554891,2974861,3994613,4100223,2416,58036,95111,173012,210357
q2-reliable,54.001,49257,,49257,0,51302,1333653,2582500,3226490,4012172,4097786,2244,61690,95388,188120,227160
