id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,33288,,32788,0,32157,198,16194,22777,26049,29776,105,3306,6829,11825,14604
warmup,2.000,54720,,54720,0,55518,625,5461,6822,13926,19030,126,6828,8154,9349,10133
warmup,3.000,62455,,62462,0,62488,2407,5226,6246,7892,9248,2442,7803,8437,9587,10322
warmup,4.000,64473,,64466,0,64444,2678,4936,5517,6392,7219,476,7413,8170,9134,9655
warmup,5.000,64623,,64623,0,64521,2468,5013,5632,6787,7583,1454,7462,8213,9155,10399
warmup,6.000,63622,,63622,0,63791,2452,4809,5438,6379,7246,4060,7649,8446,9500,10110
warmup,7.000,62196,,62197,0,62225,2304,5033,5608,6698,7627,299,7810,8531,9554,10127
warmup,8.000,61816,,61886,0,61783,2742,4963,5565,7112,8660,2034,7866,8723,9797,10448
warmup,9.000,63461,,63390,0,63438,2442,4954,5658,7066,8516,3519,7652,8388,9303,10230
warmup,10.000,64997,,64997,0,65022,2078,4976,5544,7184,8608,1106,7339,8046,9053,10022
warmup,11.000,62866,,62872,0,62852,2156,5223,5889,6986,7852,299,7778,8406,9491,10153
warmup,12.000,65055,,65071,0,64961,2274,5070,5794,7243,9079,314,7433,8204,9167,9955
warmup,13.000,65405,,65384,0,65489,2180,4955,5625,6790,7509,2470,7410,8108,9108,9807
warmup,14.000,64445,,64444,0,64479,2864,4883,5502,6451,7103,4116,7526,8214,9280,9823
warmup,15.000,65038,,65038,0,64969,2574,4951,5621,6689,7789,3762,7420,8139,9261,9881
warmup,16.000,65225,,65233,0,65204,2603,5046,5801,6919,7883,2549,7542,8138,9047,9833
warmup,17.000,64714,,64767,0,64627,2346,4733,5335,6322,7116,1990,7599,8269,9062,9974
warmup,18.000,64246,,64186,0,64395,2820,4777,5343,6384,7336,2709,7510,8235,9088,9829
warmup,19.000,64414,,64421,0,64465,1898,5059,5615,6522,7333,3880,7527,8206,9163,9651
warmup,20.000,64366,,64360,0,64349,1962,4983,5654,6659,7545,3487,7589,8213,9253,9822
warmup,21.000,63197,,63195,0,63123,1241,5020,5661,6781,7592,1409,7798,8474,9344,10060
warmup,22.000,61787,,61790,0,61777,2302,5103,5832,6927,7712,3995,7938,8695,9721,10321
warmup,23.000,62236,,62234,0,62189,3040,5077,5724,6881,8298,2925,7876,8585,9542,10109
warmup,24.000,62241,,62243,0,62252,2630,5078,5800,7018,8222,2613,7799,8585,9559,10525
warmup,25.000,61788,,61799,0,61779,2298,5136,5736,6769,7718,3884,7887,8715,9823,10618
warmup,26.000,63578,,63578,0,63687,2109,5077,5679,6669,7412,3311,7741,8409,9316,9943
warmup,27.000,64160,,64147,0,64070,1957,5188,5984,7197,7750,2396,7578,8338,9368,10318
warmup,28.000,64042,,64041,0,64116,3137,4939,5533,6386,7516,4321,7614,8278,9145,9989
warmup,29.000,64608,,64611,0,64615,2882,4815,5474,6669,8416,4629,7507,8175,9112,9577
warmup,30.000,62946,,62978,0,62965,2121,5004,5713,7026,8161,3261,7793,8652,9739,10270
warmup,31.000,64254,,64274,0,64198,2487,5336,6088,7393,8130,3940,7602,8235,9190,9767
warmup,32.000,63180,,63126,0,63088,349,4959,5562,6842,8429,155,7577,8351,9352,10153
warmup,33.000,64101,,64107,0,64244,2522,5113,5813,7076,7946,3132,7594,8289,9309,10084
warmup,34.000,63706,,63699,0,63664,2869,5201,6061,7803,9080,4467,7582,8333,9511,10433
warmup,35.000,64994,,65060,0,64933,2567,4935,5563,6867,7801,3906,7428,8136,9009,9666
warmup,36.000,64737,,64672,0,64677,2343,4825,5392,6339,7172,3428,7476,8258,9338,10029
warmup,37.000,62399,,62399,0,62521,2650,4952,5527,6981,8125,3651,7845,8628,9647,10209
warmup,38.000,63918,,63918,0,63957,2943,4888,5548,6410,7318,4321,7606,8288,9303,9947
warmup,39.000,63353,,63353,0,63335,2480,4983,5605,6668,7470,3566,7739,8486,9582,10241
warmup,40.000,64299,,64301,0,64277,2519,4845,5472,6349,6836,3524,7513,8301,9350,9934
warmup,41.000,63643,,63641,0,63674,2988,5103,5852,6951,7766,3781,7628,8289,9333,9928
warmup,42.000,64466,,64466,0,64393,2673,4814,5466,6694,7551,3581,7594,8288,9082,9749
warmup,43.000,63788,,63789,0,63886,2390,4912,5530,6989,7938,2848,7544,8327,9334,9978
warmup,44.000,63633,,63670,0,63432,2726,5000,5759,7485,8805,2641,7663,8385,9373,9871
warmup,45.000,64416,,64378,0,64651,1891,4973,5669,6942,8021,3427,7522,8183,9148,9881
warmup,46.000,64745,,64745,0,64569,2569,4917,5549,6874,8621,3715,7514,8148,9059,10230
warmup,47.000,66496,,66562,0,66603,2470,4934,5536,6438,7079,2394,7350,7894,8737,9122
warmup,48.000,64660,,64644,0,64601,2793,4879,5424,6669,7335,4306,7522,8242,9178,9951
warmup,49.000,63195,,63169,0,63231,2668,4978,5616,6612,7523,3659,7841,8488,9537,9931
warmup,50.000,65336,,65327,0,65250,2799,4941,5525,6465,7025,3756,7495,8077,9088,9612
warmup,51.000,64044,,64030,0,64156,2092,4790,5379,6306,7109,3646,7661,8296,9244,9722
warmup,52.000,64192,,64202,0,64129,2878,4937,5524,6460,7337,4564,7610,8343,9088,9519
warmup,53.000,66170,,66160,0,66224,2866,4833,5416,6698,7591,3394,7338,8030,8846,9909
warmup,54.000,64863,,64974,0,64889,3062,4770,5339,6447,8338,4334,7562,8195,9160,9868
warmup,55.000,66189,,66077,0,66068,2330,4972,5603,7024,8194,3684,7316,7992,8895,9597
warmup,56.000,65796,,65796,0,65838,2403,4872,5411,6303,6846,3278,7367,8016,8812,9544
warmup,57.000,65107,,65112,0,65040,2635,5014,5690,6810,8033,3446,7535,8081,8983,9834
warmup,58.000,64597,,64597,0,64529,2009,4916,5571,6917,8133,2518,7555,8258,9473,9889
warmup,59.000,64888,,64883,0,65063,2884,4830,5522,6789,7663,3575,7390,8117,9096,9787
warmup,60.000,65169,,65169,0,65160,2298,4854,5390,6305,7120,3493,7421,8153,9216,9761
