id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,32844,,32345,0,31970,230,9632,17384,25429,37761,83,1900,3891,9319,15160
warmup,2.000,60446,,60509,0,60981,872,5579,6912,12458,13934,140,6968,7872,9414,10782
warmup,3.000,65160,,65098,0,65183,2095,4834,5449,6872,7941,1841,7399,8050,8947,9718
warmup,4.000,65221,,65230,0,65256,2231,4743,5376,6964,8633,4069,7371,8042,8967,9823
warmup,5.000,64593,,64584,0,64579,2619,4777,5465,6909,8346,3881,7404,8262,9499,10110
warmup,6.000,63346,,63346,0,63354,2516,4883,5615,6897,8872,334,7613,8374,9580,10448
warmup,7.000,62702,,62702,0,62648,2709,4985,5732,7134,7945,1590,7764,8430,9475,10123
warmup,8.000,64680,,64680,0,64496,2159,4741,5507,6746,8861,2842,7546,8242,9043,9629
warmup,9.000,65219,,65219,0,65433,2686,4754,5385,6788,8475,1326,7324,7998,9018,11341
warmup,10.000,63246,,63246,0,63201,2395,4966,5684,7416,8393,2662,7775,8455,9614,10770
warmup,11.000,62924,,62924,0,62999,2001,4912,5551,7013,8212,3728,7578,8428,9615,10292
warmup,12.000,63891,,63891,0,63870,2235,4908,5622,7144,7724,2204,7501,8207,9245,9858
warmup,13.000,64583,,64583,0,64543,2555,4710,5241,6401,7213,551,7481,8125,9153,10058
warmup,14.000,64624,,64624,0,64561,2588,4954,5640,7139,7739,3330,7503,8211,9052,9825
warmup,15.000,62051,,62051,0,62214,2040,5030,5672,7068,8360,2984,7756,8493,9726,10409
warmup,16.000,62671,,62671,0,62610,3113,4686,5161,6042,6665,3391,7831,8406,9413,9866
warmup,17.000,65201,,65264,0,65254,2039,4698,5353,6482,7086,4191,7501,8100,9111,10129
warmup,18.000,64682,,64622,0,64575,2571,4919,5516,6828,7657,3719,7467,8110,9093,9767
warmup,19.000,63751,,63755,0,63666,2620,4834,5403,6195,6623,4596,7578,8329,9401,9874
warmup,20.000,64030,,64023,0,64105,2947,4743,5243,6044,6644,3664,7606,8212,9269,9898
warmup,21.000,64499,,64514,0,64594,2516,4863,5603,6906,8059,3146,7439,8259,9423,10330
warmup,22.000,63577,,63562,0,63486,2352,4647,5115,5914,6633,4046,7682,8330,9188,9842
warmup,23.000,64751,,64771,0,64819,2422,4780,5420,6629,7426,3841,7514,8094,9047,10048
warmup,24.000,64456,,64445,0,64483,2729,4706,5251,6115,6914,4375,7548,8209,9139,9829
warmup,25.000,63867,,63878,0,63875,2988,4772,5418,6396,7134,4317,7512,8313,9347,9907
warmup,26.000,63826,,63817,0,63744,2561,4747,5325,6204,7062,4022,7526,8196,9607,10260
warmup,27.000,65108,,65097,0,65167,2422,4719,5327,6309,7252,4238,7373,8010,9285,9931
warmup,28.000,63543,,63543,0,63589,2664,4816,5464,6407,7194,4214,7672,8372,9412,10084
warmup,29.000,61962,,61962,0,61868,1560,4870,5418,6338,6942,4147,7822,8565,9739,10364
warmup,30.000,63363,,63407,0,63415,2206,4809,5469,6622,7777,2841,7681,8273,9350,9989
warmup,31.000,61519,,61480,0,61453,2859,5032,5777,7169,9250,4808,7923,8648,9659,10601
warmup,32.000,61800,,61814,0,61864,2205,4918,5557,6746,8060,1064,7680,8511,9946,10841
warmup,33.000,62584,,62565,0,62662,1890,4798,5340,6274,7080,4090,7879,8549,9578,10134
warmup,34.000,60805,,60817,0,60690,2554,4997,5558,6553,7644,3651,8039,8810,9816,10529
warmup,35.000,63955,,63943,0,64008,2224,4766,5297,6048,6769,4992,7568,8254,9278,10097
