Linux 6.6.30+ (kylin) 	2026年07月14日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分16秒   999    118232    3.00    1.00    0.00    0.00    4.00     3    236.00      0.00 2668360  118492   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分17秒   999    118232   63.00   16.00    0.00    0.00   79.00     3    297.00      0.00 2667848  118808   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分18秒   999    118232   42.00   12.00    0.00    0.00   54.00     3     43.00      0.00 2667848  118296   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分19秒   999    118232   41.00   12.00    0.00    0.00   53.00     3     30.00      0.00 2667848  118296   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分20秒   999    118232   40.00   14.00    0.00    0.00   54.00     3     42.00      0.00 2667848  118424   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分21秒   999    118232   44.00   11.00    0.00    0.00   55.00     3    154.00      0.00 2668104  118680   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分22秒   999    118232   41.00   13.00    0.00    0.00   54.00     3     22.00      0.00 2668104  118680   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分23秒   999    118232   42.00   13.00    0.00    0.00   55.00     3     27.00      0.00 2668104  118680   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分24秒   999    118232   42.00   11.00    0.00    0.00   53.00     3     25.00      0.00 2668104  118680   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分25秒   999    118232   43.00   11.00    0.00    0.00   54.00     3     19.00      0.00 2668104  118680   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分26秒   999    118232   44.00   11.00    0.00    0.00   55.00     3    166.00      0.00 2668104  119064   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分27秒   999    118232   42.00   11.00    0.00    0.00   53.00     3     13.00      0.00 2668104  119064   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分28秒   999    118232   39.00   15.00    0.00    0.00   54.00     3      1.00      0.00 2668104  119064   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分29秒   999    118232   40.00   14.00    0.00    0.00   54.00     3      0.00      0.00 2668104  119064   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分30秒   999    118232   42.00   12.00    0.00    0.00   54.00     3     15.00      0.00 2668104  119192   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分31秒   999    118232   42.00   13.00    0.00    0.00   55.00     3    102.00      0.00 2668360  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时44分32秒   999    118232   43.00   10.00    0.00    0.00   53.00     3      0.00      0.00 2667848  119164   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
