id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,33177,,32784,0,32218,175,8786,14218,21409,27067,92,1857,4292,8731,10231
warmup,2.000,53270,,53165,0,53878,1629,6264,12030,25612,29714,109,7318,8302,10390,12700
warmup,3.000,63268,,63266,0,63250,2748,5001,5611,6705,7565,2226,7632,8307,9406,10153
warmup,4.000,62606,,62639,0,62511,2255,5122,5783,7173,9515,1659,7788,8509,9660,10413
warmup,5.000,59194,,59161,0,59328,2512,5076,5544,6582,7541,3103,8166,8955,10036,10593
warmup,6.000,62715,,62717,0,62714,2716,4888,5579,7156,8870,3402,7689,8357,9526,10414
warmup,7.000,62330,,62330,0,62325,2689,4876,5456,6474,7204,3619,7886,8543,9693,10318
warmup,8.000,63373,,63372,0,63401,2545,4983,5587,6620,7521,3870,7646,8322,9158,9912
warmup,9.000,59512,,59511,0,59552,2991,4987,5528,6763,7615,1659,8213,8918,9875,10434
warmup,10.000,58860,,58860,0,58864,2436,5178,5908,7135,8156,4380,8251,9012,10089,10780
warmup,11.000,60969,,60969,0,61010,2507,5065,5587,6717,7728,3914,7877,8717,10032,10562
warmup,12.000,59484,,59516,0,59344,2851,5101,5652,7092,8626,1161,8194,8980,10010,10658
warmup,13.000,60435,,60403,0,60403,2337,5020,5557,6815,7941,2854,8110,8868,9930,10539
warmup,14.000,61255,,61255,0,61384,2414,5077,5813,7556,9380,3846,7965,8715,9771,10512
warmup,15.000,59530,,59554,0,59498,2926,5280,5960,7458,8767,3608,8107,8908,9896,10517
warmup,16.000,61178,,61154,0,61077,2363,5222,5886,7004,8099,1885,7960,8660,9834,10693
warmup,17.000,60375,,60384,0,60443,2535,4784,5298,6108,6714,5399,8066,8889,9907,10471
warmup,18.000,60562,,60553,0,60554,3195,4896,5404,6338,7117,4309,8059,8852,9923,10522
warmup,19.000,62205,,62206,0,62260,2381,5119,5781,7053,7753,3737,7842,8507,9647,10508
warmup,20.000,59815,,59814,0,59854,2974,4966,5508,6552,7916,4415,8137,8876,9971,10515
warmup,21.000,61255,,61255,0,61214,2379,4859,5569,6577,8117,4397,7959,8693,10021,12365
warmup,22.000,58408,,58420,0,58397,3283,4987,5473,6486,7043,4456,8392,9223,9981,10554
warmup,23.000,59846,,59834,0,59832,2158,5093,5613,6425,7264,5114,8191,9066,10011,10609
warmup,24.000,60311,,60313,0,60348,2747,4969,5531,6629,7269,4399,8069,8936,10085,10884
warmup,25.000,58971,,59032,0,58978,2669,5049,5546,6690,7606,4319,8313,9213,10039,10691
warmup,26.000,63034,,62970,0,62894,2219,4848,5381,6865,8473,4147,7765,8365,9295,9961
warmup,27.000,62055,,62055,0,62278,2480,4961,5699,6900,8536,4660,7904,8612,9552,9984
warmup,28.000,62992,,62992,0,62843,2593,4900,5432,6232,7108,3644,7759,8415,9576,10073
warmup,29.000,61815,,61815,0,61822,2909,5183,5753,6727,7435,4315,7843,8635,9623,10550
warmup,30.000,61340,,61340,0,61324,2962,4968,5538,6663,7319,4551,7883,8725,9947,10661
warmup,31.000,60910,,60910,0,60999,2680,4961,5572,7167,8455,2528,7963,8783,9914,10700
warmup,32.000,59909,,59912,0,59879,3177,5064,5523,6488,7140,4367,8095,8927,10004,10606
warmup,33.000,60761,,61180,0,60943,1174,5004,5657,6823,7900,1089,7801,8747,9950,10679
warmup,34.000,59672,,59282,0,59388,2731,5054,5602,6346,7262,409,8182,9032,9959,10744
warmup,35.000,59530,,59498,0,59650,2695,5114,5707,7050,8135,4828,8210,8926,9965,10576
warmup,36.000,58720,,58733,0,58658,3114,5181,5702,7036,8816,4579,8387,9240,10102,10620
warmup,37.000,62124,,62116,0,62156,2890,4932,5493,6661,7817,4037,7825,8489,9627,10293
warmup,38.000,60337,,60338,0,60450,2949,5228,5895,7124,8143,4397,7990,8786,9893,10462
