id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.008,31019,,30958,0,30150,252,5864,14628,24320,29028,96,1595,4167,9850,13528
warmup,2.000,52304,,51877,0,52910,657,5490,10039,32802,43778,129,7452,8536,10326,14357
warmup,3.000,61606,,61622,0,61580,2499,5091,5801,7256,9152,951,7860,8803,9943,10752
warmup,4.000,61970,,61940,0,61958,2418,4935,5555,6379,7306,4350,7893,8668,9685,10367
warmup,5.000,62270,,62270,0,62312,2582,5036,5690,6886,8616,1065,7737,8595,9902,10734
warmup,6.000,63426,,63437,0,63330,2132,4985,5686,6820,8149,3484,7621,8340,9337,9985
warmup,7.000,62111,,62100,0,62256,2674,5048,5739,7174,8162,2580,7863,8602,9788,10642
warmup,8.000,62364,,62384,0,62207,1329,5136,5761,7106,8103,437,7788,8645,9766,10532
warmup,9.000,62321,,62303,0,62412,2639,4947,5557,6694,7422,1582,7860,8559,9582,10301
warmup,10.000,63759,,63857,0,63680,2104,4975,5701,7233,8858,3959,7554,8301,9477,10382
warmup,11.000,64918,,64818,0,64943,2363,5038,5771,7162,7840,1533,7431,8201,9281,9922
warmup,12.000,63142,,63142,0,63200,2258,4981,5636,6844,8245,1439,7654,8423,9613,10509
warmup,13.000,62263,,62267,0,62284,1563,4993,5837,7164,8272,499,7813,8603,9612,10573
warmup,14.000,63849,,63845,0,63796,2705,4863,5524,6764,8330,284,7565,8452,9566,10039
warmup,15.000,61029,,61029,0,61045,2685,5048,5620,7035,8370,2987,7946,9011,9909,10475
warmup,16.000,61761,,61775,0,61750,2351,4881,5435,6583,7432,2999,7810,8516,9636,10403
warmup,17.000,60354,,60343,0,60344,3199,5148,5790,6938,7778,4561,8072,9047,9923,10699
warmup,18.000,62594,,62591,0,62646,2186,5084,5722,6991,7841,4265,7753,8518,9552,10106
warmup,19.000,63809,,63857,0,63732,2179,4948,5471,6383,6964,4434,7653,8406,9365,9852
warmup,20.000,63037,,63011,0,62905,1639,4941,5579,6854,7479,3700,7776,8409,9326,10140
warmup,21.000,62952,,62930,0,63140,2806,4918,5528,7178,8364,3114,7768,8443,9547,10106
warmup,22.000,61739,,61739,0,61789,2279,5100,5759,6917,7980,3301,7892,8765,9694,10360
warmup,23.000,62088,,62091,0,61947,2610,5085,5712,6951,8126,3993,7860,8746,9786,10437
warmup,24.000,61720,,61759,0,61763,1983,5236,5996,7222,8032,3752,7906,8686,9679,10535
warmup,25.000,61568,,61526,0,61655,3032,5117,5778,7152,8326,4447,7849,8667,9893,10380
warmup,26.000,60866,,60870,0,60771,2580,5189,5762,7226,8392,3008,8030,8940,9854,10455
warmup,27.000,62792,,62802,0,62814,2545,5066,5900,7164,8035,3585,7774,8514,9566,10185
warmup,28.000,61793,,61794,0,61825,2575,5127,5694,6709,7946,2855,7929,8689,9659,10296
warmup,29.000,60514,,60499,0,60564,1766,5097,5722,7080,7915,3974,7986,8893,9832,10547
warmup,30.000,62927,,62932,0,62862,2232,4824,5292,6204,6620,3768,7750,8499,9598,10157
warmup,31.000,61816,,61826,0,61767,2506,5109,5870,7412,8179,3781,7890,8879,9966,10559
warmup,32.000,61707,,61692,0,61807,2852,5003,5549,6797,8032,4935,7954,8691,9566,10354
warmup,33.000,62458,,62458,0,62444,249,4820,5458,6832,7601,151,7518,8407,9549,10223
warmup,34.000,62258,,62259,0,62259,2618,5152,5837,7288,8279,3103,7737,8487,9781,10364
warmup,35.000,63647,,63646,0,63600,2746,4974,5797,6952,7883,4645,7715,8435,9458,9797
warmup,36.000,62851,,62851,0,62785,2419,4870,5491,6419,7614,4935,7703,8470,9457,10050
warmup,37.000,63983,,63983,0,64045,2271,4703,5303,6527,8048,4463,7595,8381,9383,10155
warmup,38.000,62617,,62618,0,62480,1931,4925,5521,6668,7960,3916,7789,8585,9633,10460
warmup,39.000,64304,,64308,0,64429,1653,4832,5351,6171,6897,3639,7373,8172,9470,10322
warmup,40.000,62781,,62777,0,62815,2604,4915,5471,6999,8135,3862,7731,8543,9631,10126
warmup,41.000,62270,,62269,0,62127,2267,4880,5390,6188,6905,4391,7894,8692,9788,10427
warmup,42.000,61397,,61397,0,61492,2484,5095,5744,6963,7920,4334,7896,8779,9991,10547
warmup,43.000,65269,,65269,0,65314,2725,4775,5390,6540,7569,3565,7412,8165,9321,9988
warmup,44.000,60921,,60927,0,60839,2758,5002,5564,6758,7471,3953,7948,8848,9979,10671
warmup,45.000,63172,,63166,0,63217,2796,5039,5682,6715,7218,3361,7741,8427,9598,10457
warmup,46.000,62269,,62283,0,62305,2175,5010,5739,7031,8485,3807,7706,8510,9640,10331
warmup,47.000,62185,,62190,0,62207,2113,5126,5792,7334,8115,2993,7832,8602,9830,10573
warmup,48.000,62698,,62679,0,62671,2801,4955,5544,6916,7859,3928,7860,8679,9564,10216
warmup,49.000,61175,,61175,0,61163,2350,5044,5832,7328,8244,3958,8062,8904,9935,10496
warmup,50.000,60629,,60630,0,60703,2195,5027,5630,6933,7958,3083,8087,9038,10034,10651
warmup,51.000,62918,,62917,0,62920,1714,4833,5292,6393,7329,4214,7740,8523,9522,10127
warmup,52.000,61573,,61581,0,61538,2700,4970,5565,6977,7806,3469,7897,8808,9778,10344
warmup,53.000,59680,,59672,0,59701,2677,5038,5641,7034,8145,4122,8213,8918,9856,10346
warmup,54.000,58734,,58736,0,58684,2576,5019,5626,6810,7766,2701,8443,9304,10011,10546
warmup,55.001,64285,,64301,0,64284,2447,4877,5440,6533,7311,3406,7561,8263,9169,9607
warmup,56.000,65978,,65960,0,65985,2524,4775,5415,6293,7326,3480,7384,8098,9103,9442
warmup,57.000,63720,,63729,0,63738,2187,4760,5339,6340,7493,3014,7695,8360,9266,10064
warmup,58.000,64875,,64890,0,64835,2665,4798,5393,6539,7215,4667,7515,8189,9158,9885
warmup,59.000,64999,,64974,0,65164,2216,4693,5360,6422,7537,3372,7565,8206,9021,9567
warmup,60.000,64170,,64653,0,64303,357,4730,5322,6522,7198,181,7467,8159,9206,9767
