id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate70,1.002,43375,,39597,0,38373,187,27801,47484,131589,179535,379,26454,45364,90006,108820
q3-rate70,2.000,53381,,53357,0,49261,2097,66252,134995,279277,326413,2466,67104,91471,138109,158728
q3-rate70,3.000,50888,,51127,0,45572,8115,145642,232535,547063,611345,13439,66253,92023,137222,158868
q3-rate70,4.000,54297,,53863,0,45299,14335,267018,557941,801717,862323,8284,66322,97348,172913,200702
q3-rate70,5.000,52478,,52478,0,47788,5853,318155,731284,974867,1025267,5440,68799,90752,134435,207282
q3-rate70,6.000,56187,,56187,0,41113,19026,578608,904985,1343781,1566306,7985,60486,86762,132674,165232
q3-rate70,7.000,46912,,46912,0,51867,9040,658049,861718,1756792,1814243,6629,77057,118987,164971,215027
q3-rate70,8.000,52258,,52486,0,48646,14499,647671,1342873,1835926,1869515,4989,64688,91483,156837,174325
q3-rate70,9.000,49687,,49883,0,50663,5389,740252,1370044,1902617,1978036,8032,66045,100032,148208,189779
q3-rate70,10.000,55198,,54944,0,43933,4516,808599,1356595,2032859,2085184,5564,60736,87822,132097,180009
q3-rate70,11.000,47730,,47559,0,52812,18491,782822,1436089,2027573,2101211,7701,69885,105542,176450,245588
q3-rate70,12.000,52780,,53128,0,45624,10247,716348,1683407,2058654,2086889,3490,63611,88796,149519,175138
q3-rate70,13.001,49241,,49138,0,51679,64349,811867,1864281,2105707,2153270,10476,68628,100057,157949,213467
q3-rate70,14.000,50241,,50387,0,48986,3006,1023684,1832208,2050867,2093409,4596,66829,96380,157778,182832
q3-rate70,15.000,49077,,48686,0,49560,6899,882179,1901826,2099735,2168543,6446,71114,97862,166045,198225
q3-rate70,16.000,50846,,50955,0,47909,39314,616613,1673788,2267767,2321695,3091,58325,94010,185096,227407
q3-rate70,17.000,47706,,47597,0,52850,11050,376296,2142762,2358739,2390704,3669,70787,95943,152561,201959
q3-rate70,18.000,55848,,55848,0,44201,9960,345315,2188951,2508339,2771272,4243,62829,87063,139143,186030
q3-rate70,19.000,49507,,49956,0,50574,82350,921229,2380167,2662389,2756113,5396,71178,99500,153453,207417
q3-rate70,20.000,51577,,51316,0,48740,130253,639395,2153899,2790496,2922221,5097,71931,97413,136247,167991
q3-rate70,21.000,50522,,50989,0,46444,113593,830869,2188600,2920724,2961381,7099,64929,94042,169254,212527
q3-rate70,22.000,50846,,50191,0,48037,112712,1133109,2143985,2898522,2944605,4404,66481,94872,155440,218246
q3-rate70,23.000,54935,,55435,0,43404,209463,1319542,2530785,3068347,3160685,7235,56735,87569,136569,196899
q3-rate70,24.000,51150,,51116,0,47962,349867,1473678,2359077,3081558,3146674,4425,67880,103817,156517,191918
q3-rate70,25.000,51784,,51365,0,45212,512638,1454406,2483106,3043956,3094476,3489,61268,95648,160272,201011
q3-rate70,26.000,50255,,50325,0,48725,524836,1254023,2700330,3175254,3256021,6509,68072,99366,159428,170814
q3-rate70,27.000,48115,,47998,0,50980,446147,1089904,2748549,3327470,3372634,6983,67415,116411,158859,180914
q3-rate70,28.000,52767,,53073,0,47093,373702,1035475,2900585,3450245,3503849,4152,61268,99775,167236,197210
q3-rate70,29.000,49580,,49275,0,49131,339787,1801035,3010068,3610690,3767972,3918,71734,107506,148985,190100
q3-rate70,30.000,50098,,50136,0,48587,51734,1120914,3104151,3622523,3699624,2996,70748,103244,165419,214101
q3-rate70,31.000,49282,,49244,0,50338,22555,1387071,3190824,3586640,3735624,4571,74268,106972,163982,187384
q3-rate70,32.000,44244,,44286,0,57184,62038,2245948,2942726,3759786,3876915,4051,70736,118109,196237,259685
q3-rate70,33.000,53145,,53103,0,46685,86388,1531560,2915006,3652546,3766293,3152,64549,85682,154942,217556
q3-rate70,34.000,49526,,49526,0,51160,152686,2281550,2989090,3715263,3799014,3056,60343,95246,189133,229090
q3-rate70,35.000,47245,,47245,0,53239,31146,1285362,2748995,4011186,4127008,6293,69553,106127,183842,228913
q3-rate70,36.000,49454,,49454,0,52654,3016,1121675,2652432,4134831,4184436,4911,66573,97560,169525,225222
q3-rate70,37.000,51310,,51310,0,47789,14789,1471704,2702496,4061388,4096103,8021,66926,103168,149701,179951
q3-rate70,38.000,49171,,49581,0,50687,58200,2357027,2828131,4181771,4246980,2025,66947,98285,164642,210628
q3-rate70,39.000,52826,,52452,0,45758,5589,1487980,2266114,4175241,4370024,7599,62103,86735,142143,181051
q3-rate70,40.000,52239,,52292,0,47712,10170,1468395,2444800,4385083,4420492,5218,62262,85297,165436,236710
q3-rate70,41.000,51487,,51398,0,48787,121143,2061718,2964087,4385203,4428558,5100,68348,97792,158387,210254
q3-rate70,42.000,47760,,48033,0,49192,52598,2054313,2504491,4225127,4273899,4624,76463,102973,149529,174919
q3-rate70,43.000,48145,,47872,0,50860,24828,1887845,3357464,4090607,4128189,12267,72860,102027,155992,192751
q3-rate70,44.000,50121,,50175,0,51213,11020,2003184,3390310,4002133,4048801,5448,63703,98952,170694,193288
q3-rate70,45.000,50985,,50931,0,46439,66712,1987437,2538303,4083867,4187606,9419,68541,102079,164284,245773
q3-rate70,46.000,50932,,51595,0,47482,22600,2077921,2747786,4265961,4327622,4062,63490,94820,164559,194336
