id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,34901,,34843,0,34368,193,7788,11700,15243,27451,95,1313,2965,6644,11787
warmup,2.001,54203,,53766,0,54333,2510,5874,15252,25609,36993,149,7624,8594,11292,16723
warmup,3.000,62424,,62424,0,62550,2574,4874,5502,6799,8764,1011,7760,8569,9666,10514
warmup,4.000,65851,,65848,0,65820,2166,4821,5423,6567,8378,2601,7347,8050,8936,9864
warmup,5.000,66653,,66651,0,66705,1950,4744,5333,6355,7310,3810,7320,7933,8802,9810
warmup,6.000,66444,,66444,0,66431,2424,4629,5170,6209,7189,2562,7343,7905,8914,9960
warmup,7.000,64858,,64874,0,64860,2232,4804,5477,6945,8176,1411,7565,8239,9115,9924
warmup,8.000,65026,,65011,0,64893,2783,4944,5580,7260,11053,4396,7396,8088,9196,9782
warmup,9.000,64081,,64080,0,64136,2731,4761,5407,6697,8359,917,7645,8418,9430,9968
warmup,10.000,65332,,65332,0,65336,3094,4740,5239,6103,6949,2972,7433,8188,9188,9841
warmup,11.000,65346,,65346,0,65427,2729,4774,5476,7524,9498,3502,7406,8130,9158,9790
warmup,12.000,64467,,64480,0,64258,1635,4750,5382,6268,7101,388,7524,8244,9348,10074
warmup,13.000,63413,,63409,0,63516,2181,4880,5494,6414,7192,488,7582,8352,9475,10333
warmup,14.001,63779,,63869,0,63930,1845,4826,5331,6308,7232,1723,7552,8320,9263,10049
warmup,15.000,64285,,64226,0,64212,2624,4902,5556,6848,7642,3634,7574,8268,9296,10105
warmup,16.000,64730,,64714,0,64706,2323,4848,5455,6554,7493,3464,7471,8222,9157,9794
warmup,17.000,64213,,64189,0,64115,2313,4755,5291,6211,6728,3766,7584,8299,9347,10084
