id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q4-join-late,1.001,620,,614,0,0,0,0,0,0,0,198,339,792,2662,3521
q4-join-late,2.000,19422,,19416,0,0,0,0,0,0,0,214,474,571,1403,2938
q4-join-late,3.000,10013,,10013,0,0,0,0,0,0,0,333,534,557,592,619
q4-join-late,4.000,10006,,10018,0,0,0,0,0,0,0,424,530,556,588,631
q4-join-late,5.000,10020,,10010,0,0,0,0,0,0,0,207,528,555,592,675
q4-join-late,6.000,10007,,10017,0,0,0,0,0,0,0,236,529,553,587,611
q4-join-late,7.000,10012,,10012,0,0,0,0,0,0,0,411,527,549,582,620
q4-join-late,8.000,10005,,10005,0,0,0,0,0,0,0,417,528,551,579,611
q4-join-late,9.000,10017,,10006,0,0,0,0,0,0,0,217,527,550,584,628
q4-join-late,10.000,10004,,10015,0,0,0,0,0,0,0,225,528,550,586,617
q4-join-late,11.000,10011,,10011,0,0,0,0,0,0,0,228,529,552,586,619
q4-join-late,12.000,10009,,10009,0,0,0,0,0,0,0,425,528,552,585,613
q4-join-late,13.000,10011,,10011,0,0,0,0,0,0,0,412,526,549,581,610
q4-join-late,14.000,10019,,10008,0,0,0,0,0,0,0,417,527,551,584,627
q4-join-late,15.000,10012,,10023,0,0,0,0,0,0,0,211,524,552,589,1295
q4-join-late,16.000,9996,,9996,0,0,0,0,0,0,0,218,525,550,585,602
q4-join-late,17.000,10010,,9999,0,0,0,0,0,0,0,214,524,549,583,600
q4-join-late,18.000,10012,,10012,0,0,0,0,0,0,0,237,526,550,583,603
q4-join-late,19.000,10003,,10003,0,0,0,0,0,0,0,210,523,547,581,605
q4-join-late,20.000,10006,,10017,0,0,0,0,0,0,0,218,524,548,584,630
q4-join-late,21.000,10004,,10004,0,0,0,0,0,0,0,225,528,552,583,610
q4-join-late,22.000,10012,,10012,0,0,0,0,0,0,0,430,529,555,584,606
q4-join-late,23.000,10019,,10008,0,0,0,0,0,0,0,426,527,548,577,601
q4-join-late,24.000,9994,,10004,0,0,0,0,0,0,0,380,527,551,584,607
q4-join-late,25.000,10019,,10009,0,0,0,0,0,0,0,239,530,555,588,689
q4-join-late,26.000,10014,,10013,0,0,0,0,0,0,0,262,523,548,577,607
q4-join-late,27.000,10006,,10018,0,0,0,0,0,0,0,419,526,549,580,602
