Linux 6.6.30+ (kylin) 	2026年07月14日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分14秒   999    118652   21.00    6.00    0.00    0.00   27.00     0    126.00      0.00 2668460  119544   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分15秒   999    118652   51.00   14.00    0.00    0.00   65.00     0     65.00      0.00 2668460  119672   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分16秒   999    118652   42.00   13.00    0.00    0.00   55.00     0     42.00      0.00 2668460  119672   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分17秒   999    118652   43.00   11.00    0.00    0.00   54.00     0     65.00      0.00 2668460  119672   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分18秒   999    118652   43.00   11.00    0.00    0.00   54.00     0     47.00      0.00 2668460  119672   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分19秒   999    118652   44.00   10.00    0.00    0.00   54.00     0     86.00      0.00 2668460  119800   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分20秒   999    118652   44.00    9.00    0.00    0.00   53.00     0      4.00      0.00 2668460  119800   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分21秒   999    118652   43.00   11.00    0.00    0.00   54.00     0      0.00      0.00 2668460  119800   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分22秒   999    118652   45.00    9.00    0.00    0.00   54.00     0     13.00      0.00 2668460  119928   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分23秒   999    118652   42.00   11.00    0.00    0.00   53.00     0     11.00      0.00 2668460  119928   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分24秒   999    118652   46.00    9.00    0.00    0.00   55.00     0     19.00      0.00 2668460  119928   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分25秒   999    118652   42.00   11.00    0.00    0.00   53.00     0      4.00      0.00 2668460  119928   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分26秒   999    118652   42.00   12.00    0.00    0.00   54.00     0      0.00      0.00 2668460  119928   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分27秒   999    118652   41.00   12.00    0.00    0.00   53.00     0      0.00      0.00 2668460  119928   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分28秒   999    118652   44.00   10.00    0.00    0.00   54.00     0      0.00      0.00 2668460  119928   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分29秒   999    118652   41.00   14.00    0.00    0.00   55.00     0     71.00      0.00 2668972  120312   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时22分30秒   999    118652   44.00    9.00    0.00    0.00   53.00     0      0.00      0.00 2668972  120312   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
