Linux 6.6.30+ (kylin) 	2026年07月14日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分26秒   999    120514    3.00    0.00    0.00    0.00    3.00     1     46.00      0.00 2672112  121328   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分27秒   999    120514   64.00   18.00    0.00    0.00   82.00     1     85.00      0.00 2672112  121456   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分28秒   999    120514   46.00    9.00    0.00    0.00   55.00     1      0.00      0.00 2671160  121128   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分29秒   999    120514   45.00   10.00    0.00    0.00   55.00     1      0.00      0.00 2671160  121128   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分30秒   999    120514   42.00   14.00    0.00    0.00   56.00     1      0.00      0.00 2671160  121128   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分31秒   999    120514   43.00   13.00    0.00    0.00   56.00     1     23.00      0.00 2670904  121028   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分32秒   999    120514   43.00   12.00    0.00    0.00   55.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分33秒   999    120514   44.00   12.00    0.00    0.00   56.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分34秒   999    120514   44.00   11.00    0.00    0.00   55.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分35秒   999    120514   41.00   15.00    0.00    0.00   56.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分36秒   999    120514   43.00   13.00    0.00    0.00   56.00     1      7.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分37秒   999    120514   45.00   11.00    0.00    0.00   56.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分38秒   999    120514   41.00   14.00    0.00    0.00   55.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分39秒   999    120514   40.00   16.00    0.00    0.00   56.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分40秒   999    120514   46.00    9.00    0.00    0.00   55.00     1      0.00      0.00 2670392  120516   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分41秒   999    120514   39.00   17.00    0.00    0.00   56.00     1     11.00      0.00 2669880  120308   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
08时30分42秒   999    120514   39.00   15.00    0.00    0.00   54.00     1      0.00      0.00 2669880  120308   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
