id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
calibration,1.004,49121,,45899,0,38437,363,68778,132509,312460,412709,483,44197,63488,113373,144475
calibration,2.000,52247,,51845,0,48927,3804,217442,366933,488146,608513,8180,60895,96675,138558,160498
calibration,3.000,52907,,52542,0,49746,11260,163461,363771,778035,856883,3309,63104,92911,141958,169800
calibration,4.000,54266,,54295,0,49942,7991,211149,582458,908275,961158,4185,62541,92034,150913,216704
calibration,5.000,46999,,47200,0,56226,4419,255255,418953,898590,977020,5204,77502,108144,155516,186041
calibration,6.000,54194,,54655,0,48567,10542,229971,360651,807382,897431,2471,66647,93735,132744,158886
calibration,7.000,54563,,53869,0,46942,5865,332725,611014,817585,895051,3913,58458,81752,151681,245246
calibration,8.000,52987,,53097,0,49136,27546,452564,773123,918785,1064543,4286,56720,96003,161059,228299
calibration,9.000,50976,,50898,0,52038,27373,363347,941477,1212714,1263336,5371,70500,108402,143521,172044
calibration,10.000,51463,,51432,0,50466,2347,510747,853225,1339521,1454942,3411,61304,91924,156827,201956
calibration,11.000,53467,,53720,0,48513,127673,631152,1028667,1212398,1247362,4697,65085,94842,143123,175920
calibration,12.000,52546,,52336,0,48860,185293,730687,847781,1329898,1409323,1903,58959,95351,151191,183531
calibration,13.000,46519,,46911,0,55336,16838,668944,832989,1245675,1308224,9847,77847,113141,172950,227702
calibration,14.000,51176,,50741,0,50997,20091,583862,832273,1175182,1232056,3374,65744,98935,157084,263126
calibration,15.000,52972,,53575,0,48877,155207,452254,748546,1156043,1346421,2445,68785,95731,138654,173267
calibration,16.000,52339,,51892,0,49771,138710,503915,694867,1453732,1609889,6205,62669,100345,148959,158723
calibration,17.000,50775,,50679,0,49679,30298,594703,865749,1527471,1626561,3745,67152,110759,157412,204493
calibration,18.000,53398,,53761,0,51114,7320,642886,1210967,1570456,1609934,8065,60631,87860,129417,163937
calibration,19.000,56379,,55957,0,44562,34000,894269,1151315,1454031,1530874,5189,59233,92709,132211,190906
calibration,20.000,51045,,51344,0,48220,173283,865740,1195046,1748403,1946308,3239,65049,98321,165638,198116
calibration,21.000,52775,,52839,0,48037,131900,999700,1398275,2138743,2221990,5194,62197,96947,165093,203711
calibration,22.000,53485,,53202,0,49184,85304,1046194,1443371,2274142,2402162,7811,62238,99725,169974,210901
calibration,23.000,56286,,56842,0,44705,98966,1215306,1597940,2432348,2573376,5896,57549,85922,136202,160847
calibration,24.000,51540,,50987,0,47846,10178,1321953,2004242,2543413,2604407,10067,66927,100591,147868,185542
calibration,25.000,54051,,54387,0,48050,10948,1493208,1953555,2856051,2958565,5398,63641,96602,146728,213769
calibration,26.000,55240,,55156,0,47151,168315,1547697,2157362,3067051,3157251,8033,58563,84958,142406,216052
calibration,27.000,50400,,50065,0,51316,566436,1716056,2292427,3080391,3142995,2252,65319,97039,170171,197537
calibration,28.000,50269,,50606,0,50413,458490,1752455,2174989,3107593,3182945,5450,63481,101857,175846,204814
calibration,29.000,51620,,51283,0,49198,181873,1868555,2400900,3378112,3440688,2617,65003,111908,154283,218989
calibration,30.000,52391,,52631,0,48820,131360,1833547,2411182,3271410,3401946,6107,65077,93395,159886,183476
calibration,31.000,50356,,50442,0,51323,12420,2054698,2305100,3065277,3149077,1962,64292,106440,155738,201165
calibration,32.000,57539,,57544,0,44019,157754,2198113,2513748,3235277,3318169,3806,55424,86276,142807,186302
calibration,33.001,54273,,54384,0,48447,478499,1838537,2623304,3503713,3562350,10476,62047,89907,138204,163463
calibration,34.000,50166,,49723,0,50023,402271,2511281,2685013,3498590,3533900,5551,68911,102583,161385,185682
calibration,35.000,54040,,54562,0,47294,479132,2469056,2701220,3700221,3792729,7050,61215,97213,147768,178961
calibration,36.000,57473,,57344,0,43340,753620,2581749,2993827,3815752,3880480,7502,58279,99280,145607,173932
calibration,37.000,54334,,54011,0,46509,1138081,2624682,3153105,3886558,3944108,3725,59346,92527,136760,206434
calibration,38.000,51219,,51184,0,51655,1102650,2755868,2985629,3916875,3987034,5970,69137,104590,148605,160956
calibration,39.000,51396,,51361,0,50152,1027637,2833874,3074570,3971853,4072495,9234,58089,89275,165006,229620
calibration,40.000,49183,,49827,0,52438,917787,2880750,3070373,4126200,4218600,5284,60479,106392,173125,207683
calibration,41.000,48522,,47904,0,53306,990526,2857335,3438929,4222339,4304560,2267,68271,97289,183239,217386
calibration,42.000,51477,,51450,0,49161,687934,2705622,3458696,4138713,4174931,9174,62077,99357,173332,237273
calibration,43.000,50701,,50701,0,51913,712715,2668806,3319527,4091810,4155508,4353,66273,104855,164737,190839
calibration,44.000,46877,,46899,0,55539,520362,2557899,3278391,4008740,4125386,4797,73393,113953,200279,234288
calibration,45.000,50495,,50473,0,51807,359764,2682261,3646579,4164944,4231407,3863,60903,103879,193936,215922
calibration,46.000,46626,,46626,0,53756,3647,2500107,3225682,3978531,4177285,2895,64308,109946,165547,233182
calibration,47.000,46147,,46581,0,57106,7619,2491684,3137913,3890826,3952385,5639,72389,117119,167704,199229
calibration,48.000,52314,,52247,0,51516,13127,2491720,2821040,3747990,3818069,4513,71461,102764,163526,212038
calibration,49.000,54724,,54727,0,45579,3659,2126017,2957390,3853633,3929091,3856,56538,92779,172879,212135
calibration,50.000,52044,,51675,0,49238,8404,2268031,3437724,4046514,4105327,4076,66035,101370,143265,177608
calibration,51.000,49088,,49507,0,51398,17080,2416696,2900175,4324546,4389535,5630,66916,108077,175161,192631
calibration,52.000,53870,,53450,0,49841,4076,2536827,3734089,4408133,4471329,4562,64329,97992,157595,212674
calibration,53.000,51382,,51382,0,49576,27871,2663927,3624301,4273463,4356941,6474,62485,92250,168417,229341
calibration,54.000,54454,,54454,0,47419,312909,2715441,3025074,4304558,4421472,5502,58324,84820,142277,224881
calibration,55.000,54547,,55004,0,46195,740840,2753381,4009816,4448163,4532796,6533,61205,91507,161985,188672
calibration,56.000,51194,,50925,0,50420,673563,2764130,3188396,4392137,4462107,9601,60731,93348,163481,208006
calibration,57.000,52230,,52043,0,50374,534724,2683288,3062035,4509372,4579884,8791,62416,96320,162930,217585
calibration,58.000,54319,,54424,0,47757,803049,2754258,3025634,4764336,4992963,5904,62228,86139,147074,201324
calibration,59.000,48760,,48705,0,50570,823009,2832158,3001793,5174332,5218083,7779,67165,99778,169119,209191
calibration,60.000,50925,,50875,0,50848,544645,2894688,3024479,5316043,5358618,5677,65688,103537,166933,239697
calibration,61.000,56814,,56814,0,43281,542986,3041248,3331378,5539045,5589927,6792,57658,87388,142425,166649
calibration,62.000,48453,,48857,0,51417,579430,3267482,3485031,5570701,5673895,4025,76716,119223,154811,185396
calibration,63.000,51076,,51249,0,51088,721909,3186035,3553944,5326235,5497952,7254,70462,98848,188089,215312
calibration,64.000,49657,,49514,0,52360,389824,3120149,3462373,5283311,5413373,4290,68240,100412,176454,239815
calibration,65.000,50915,,50630,0,49524,297915,3285362,3574866,5161564,5234203,5204,59437,99890,174178,208232
calibration,66.000,50550,,50401,0,50346,251788,3123241,5018958,5324680,5382895,8073,69680,98980,150272,186775
calibration,67.000,49525,,49548,0,52385,6449,3313183,5149120,5361777,5408199,6773,68371,103016,161903,219321
calibration,68.000,53956,,54234,0,48448,91092,3476258,3874752,5361089,5419022,7204,61301,88613,162871,212504
calibration,69.000,54646,,54450,0,47121,21887,3703276,3939519,5459667,5533103,5503,67676,93228,135099,156066
calibration,70.000,52492,,52520,0,49055,152303,3731500,5069463,5478770,5526617,7156,60727,100969,151090,183169
calibration,71.000,58412,,58280,0,42725,186029,3832326,5138516,5544891,5605783,9239,59992,89596,136194,189317
calibration,72.000,50349,,50525,0,50522,174839,4052178,4340975,5793577,5832317,3791,60509,96584,159112,224555
calibration,73.000,51226,,51050,0,49679,147782,4024019,4243872,5825973,5872462,4177,71012,95230,150886,167085
calibration,74.000,51437,,51437,0,50484,207919,4050501,4337958,5916507,6000822,3138,66448,95666,161583,185604
calibration,75.000,52646,,52960,0,49618,251449,4159544,5582620,5976842,6012283,9659,66187,100989,149385,192381
calibration,76.000,53835,,53551,0,47390,294950,4271265,5736440,5982182,6030189,2225,62959,92736,150394,184552
calibration,77.000,54021,,53990,0,45054,403348,4319356,4646601,6133904,6211350,9623,61445,89727,142290,178617
calibration,78.000,53599,,53852,0,47435,535945,4226081,4571920,6425489,6566129,6386,61725,93705,177179,209451
calibration,79.000,49601,,49994,0,52379,555383,4236560,6049122,6627248,6688287,2776,62408,102134,184195,221328
calibration,80.000,50401,,50263,0,51545,510501,4146168,4483878,6790195,6956522,6060,63505,93173,171496,208924
calibration,81.000,54180,,53671,0,49230,539477,4153340,5478403,7244790,7310455,9747,59853,95161,155876,188305
calibration,82.000,53221,,53221,0,48962,507064,4358703,4597991,7223896,7286086,10019,58768,98689,159126,227100
calibration,83.000,53480,,53691,0,45920,795932,4450433,5732796,7298691,7342946,4244,56931,84313,150028,206076
calibration,84.000,52537,,52326,0,49003,1033537,4427184,5652150,7458774,7490009,10107,66907,97347,157959,205027
calibration,85.000,52105,,52307,0,49799,1109702,4428244,5608598,7580983,7635745,5782,63830,91410,151440,172551
calibration,86.000,52390,,52509,0,50296,1114544,4545882,5701517,7718835,7782762,6521,62406,93599,174009,195532
calibration,87.000,57841,,57787,0,44908,1023429,4735035,4927813,7861093,7931431,2795,60913,90298,132730,182876
calibration,88.000,56892,,56739,0,43398,1134421,4950572,5129958,7919773,7968330,9111,59142,85434,138346,169515
calibration,89.000,49187,,49073,0,52443,1025332,4929614,5247971,8047792,8134877,7502,63210,95495,143825,203697
calibration,90.000,57791,,58174,0,43426,1124512,4943798,6086265,8416217,8524238,7704,57325,89294,151519,201125
calibration,91.000,55581,,55199,0,45982,1386500,4856630,5527944,8536875,8635934,2349,60248,90772,146932,172471
calibration,92.000,52402,,52402,0,51074,1491045,5401119,5642297,8869817,8965647,5478,66971,100236,166356,190565
