id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,32286,,31997,0,31605,182,9351,17678,21819,24121,86,1802,3736,9145,11732
warmup,2.000,53856,,53667,0,54103,323,7028,16019,31535,34020,100,7097,8084,12623,20669
warmup,3.000,63924,,63903,0,64060,2492,5934,6844,8992,10329,2332,7599,8269,9359,10304
warmup,4.000,64806,,64810,0,64684,2800,5374,6052,7590,9142,3368,7563,8241,9029,9713
warmup,5.000,63574,,63574,0,63703,2767,5652,6562,7960,9452,791,7601,8365,9423,10329
warmup,6.000,63440,,63444,0,63267,2902,5482,6251,7749,9438,3083,7593,8311,9359,9884
warmup,7.000,64562,,64554,0,64673,3177,6059,6878,8107,9053,1051,7523,8214,9203,10170
warmup,8.000,63972,,63972,0,64083,1728,5545,6584,8284,11185,607,7576,8184,9134,10246
warmup,9.000,64150,,64150,0,64074,1797,5550,6169,7402,8549,2227,7679,8294,9227,10099
warmup,10.000,64106,,64106,0,64067,2817,5590,6575,7988,8727,3453,7468,8184,9376,10061
warmup,11.000,64116,,64116,0,64166,3012,5509,6505,7646,9751,3313,7569,8215,9330,10194
warmup,12.000,63601,,63654,0,63539,2579,5702,6556,8049,9189,2141,7664,8421,9337,10188
warmup,13.000,64415,,64362,0,64510,2756,5291,6011,7023,8034,4133,7543,8219,9171,9641
warmup,14.000,65126,,65126,0,65148,2813,5187,5991,7759,8824,1951,7494,8158,9036,9656
warmup,15.000,64681,,64681,0,64510,2476,5528,6305,8286,9950,3846,7430,8182,9143,9833
warmup,16.000,64528,,64528,0,64679,2377,5561,6309,7533,8239,3754,7461,8149,9201,9958
warmup,17.000,64062,,64062,0,64072,1762,5266,5965,7063,8002,2628,7553,8255,9109,9812
warmup,18.000,64365,,64365,0,64119,3027,5488,6117,7536,8632,3679,7591,8240,9071,9760
warmup,19.000,63708,,63728,0,63942,2487,5565,6354,7417,8370,3480,7617,8343,9221,10275
warmup,20.000,63012,,62992,0,62992,3188,5308,6007,7406,8179,3977,7776,8488,9501,10877
warmup,21.000,62783,,62782,0,62515,2454,5550,6400,7769,8470,3249,7749,8413,9553,10509
warmup,22.000,62294,,62294,0,62408,2845,5602,6532,8390,9268,3911,7840,8521,9578,10146
warmup,23.000,63136,,63151,0,63321,2118,5232,6155,7748,8973,3323,7666,8340,9373,10025
warmup,24.000,63959,,63949,0,63747,2931,5325,6042,6967,7585,4104,7597,8171,9234,9756
warmup,25.000,64432,,64427,0,64687,2594,5820,6930,8507,9479,3645,7544,8238,9241,10243
