id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
calibration,1.001,44089,,40404,0,36574,507,100328,192903,262356,299818,326,36028,60991,106799,179555
calibration,2.000,49981,,50237,0,47158,6038,169543,232115,347457,390174,7289,63113,85705,129386,155801
calibration,3.000,51545,,51185,0,46090,8819,195971,284807,503469,572846,5147,64899,96463,146809,202815
calibration,4.000,48727,,48535,0,48525,9212,306409,511116,685369,737421,6196,69082,104815,171896,190983
calibration,5.000,52456,,52438,0,46455,34201,331146,542140,658163,705816,2630,64460,90350,140567,173767
calibration,6.000,52667,,52667,0,46190,71825,437505,608859,916382,1030601,5621,65849,95588,141650,238112
calibration,7.000,54273,,54273,0,43636,113650,672382,825311,1029588,1109675,4918,60722,92252,156817,189829
calibration,8.000,49732,,49732,0,49794,299188,783997,840344,927491,1019759,2823,69712,101411,171119,217591
calibration,9.000,53811,,53811,0,43742,205820,829833,937727,1237488,1311175,3446,63870,93608,141722,189762
calibration,10.000,53292,,53314,0,46803,223486,940199,1222036,1455592,1586492,2758,62641,92811,147838,195214
calibration,11.000,49935,,50021,0,50989,158656,1087312,1346083,1912339,2003874,5959,67603,109145,156675,198249
calibration,12.000,49411,,49317,0,49095,11880,1145063,1522258,1868091,1994323,6457,69953,102444,163998,187846
calibration,13.000,50110,,50096,0,48498,99117,1165974,1631684,1872346,1956900,6771,61364,103927,141289,205254
calibration,14.000,48217,,48279,0,52126,11116,1057253,1493717,2059216,2166790,4947,68366,110295,173013,220814
calibration,15.000,50363,,50347,0,49940,15444,1047909,1393490,2181660,2246800,6506,64663,101725,155585,196001
calibration,16.000,49085,,49185,0,50853,18279,967991,1421404,2289819,2443200,4096,66640,98322,156657,216738
calibration,17.000,49519,,49373,0,51783,3684,1027983,1412592,2662688,2701259,4791,65877,98192,173829,235255
calibration,18.000,52851,,53270,0,45437,60784,795035,1556053,2921895,2953781,2993,65196,90648,148206,191321
calibration,19.000,50216,,49796,0,48363,122509,843601,1640677,2702530,2987171,5954,69409,92759,147545,185850
calibration,20.000,53516,,53559,0,45354,142105,948471,1757544,2782115,2866660,7724,67500,91652,146653,270127
calibration,21.000,49931,,49888,0,47036,10046,1075985,2051177,2875098,2949532,5488,68236,91975,132612,255927
calibration,22.000,54166,,54467,0,47354,68756,1204369,2159574,2938567,3026772,5557,65653,101126,145070,188460
calibration,23.000,47826,,47525,0,51872,61338,1334859,2357788,3123019,3161882,8078,75063,103262,152290,175395
calibration,24.000,51201,,51201,0,47028,2364,906143,2121810,3237395,3270032,8359,68096,94983,150005,215511
calibration,25.000,51973,,51973,0,46780,12877,1043134,2203041,3434303,3489269,6279,65693,94760,147843,191201
calibration,26.000,55146,,55335,0,46562,8349,1284465,2165898,3474331,3543036,2921,58992,88540,170856,210770
calibration,27.000,54836,,54647,0,46409,57099,1363151,2424746,3537785,3642398,5974,64797,95145,151686,175298
calibration,28.000,50587,,50706,0,46838,146050,1467964,2875180,3574236,3607045,3901,72113,105290,145846,174970
calibration,29.000,47618,,47499,0,52267,237808,1355763,2726814,3654351,3688958,1869,71679,110924,181973,202439
calibration,30.000,49640,,49685,0,51656,127226,2575587,2944258,3537914,3684398,9853,66149,99221,168798,231141
calibration,31.000,46127,,46082,0,51391,9514,1468459,2976245,3365558,3602518,5127,67530,113481,181617,210381
calibration,32.000,47666,,47778,0,52925,150065,944452,2877161,3627458,3718672,10145,72304,109560,169910,207708
calibration,33.000,48326,,48377,0,53892,5475,2650775,3004471,3527805,3583639,5826,75527,112502,169870,236682
calibration,34.000,51947,,51784,0,46579,6547,1378733,2844755,3266862,3313701,5253,64577,92421,167747,195493
calibration,35.000,50685,,51015,0,49283,28448,1465440,2995156,3419398,3461802,3453,65323,96945,164634,203507
calibration,36.000,49375,,49194,0,50988,9487,2441139,2798713,3501878,3536681,5015,68519,96168,185446,237647
calibration,37.000,51534,,51688,0,48798,10934,2074778,2744439,3508609,3581590,3693,67666,99152,154377,204030
calibration,38.000,52155,,52042,0,47041,45366,2078353,2760123,3589978,3626452,5279,67115,99574,137711,184665
calibration,39.000,54147,,53958,0,46124,206663,2210829,2876144,3662253,3800973,10672,61602,89277,153035,179075
calibration,40.000,52099,,52239,0,46798,248362,2302375,2974319,3627393,3661537,7754,68304,95270,153655,178567
calibration,41.000,52483,,52343,0,46139,250230,2502301,3093060,3825521,3871625,3928,63720,90433,145067,209266
calibration,42.000,47892,,48112,0,52046,175225,2724012,3172336,3748028,3802431,7026,69353,106912,172250,196006
calibration,43.000,52907,,52688,0,46326,24700,2837967,3213550,3650300,3679388,14843,65571,94823,150937,159179
calibration,44.000,50908,,51052,0,47006,30673,2844556,3275100,3896174,4008204,7558,64119,101559,155448,185689
calibration,45.000,51845,,51774,0,47387,2382,3055882,3709828,4122682,4210526,3544,65503,99549,169750,221990
calibration,46.000,48994,,49185,0,50688,20880,2994051,3671631,4501889,4575922,2966,72533,105327,177762,251133
calibration,47.000,52587,,52324,0,46130,11613,3240339,3667430,4293629,4335658,12203,67091,95091,156493,191795
calibration,48.000,50148,,50148,0,48449,130216,3346866,3576349,4176460,4288760,6123,67975,105652,153436,235577
calibration,49.000,49979,,50089,0,48211,442715,3244716,3670407,4304346,4375809,6364,62641,105062,168618,213168
calibration,50.000,51055,,51016,0,47231,803712,3166283,4006036,4349608,4554849,6465,65325,102336,152724,196676
calibration,51.000,52738,,52667,0,46717,745778,3119021,3409612,4659625,4765668,2754,60526,95046,144691,206645
calibration,52.000,50975,,50982,0,48138,953380,3216339,3985033,5032276,5097885,6876,66813,97349,162287,202392
calibration,53.000,47282,,47275,0,54412,1253811,2863795,3696150,4820455,4857565,3714,62903,98926,183725,222192
calibration,54.000,50242,,50518,0,49423,1197689,2357297,3373297,4957418,5035293,3878,67060,98828,202447,312575
calibration,55.000,52262,,51985,0,48477,1054472,2931427,3474988,5157699,5212638,3695,59348,102916,159790,209873
calibration,56.000,51022,,51413,0,47723,1047765,2678195,3373609,5664647,5697606,2228,63656,92829,153241,204845
calibration,57.000,48215,,47836,0,50480,1231895,2611402,3435694,5820317,5875017,4684,74561,108632,169710,192154
calibration,58.000,50319,,50545,0,47252,1163011,2672676,3362398,5786502,5909147,12833,59433,100435,188934,215526
calibration,59.000,55515,,56156,0,43989,1275383,2563248,3663096,5922045,6054928,4629,64196,92063,156085,188984
