id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,31444,,31426,0,30951,210,10458,18493,35744,37793,104,1344,3524,8266,19064
warmup,2.001,55534,,55052,0,55704,2551,6811,10857,30885,35236,124,7189,8142,10094,11917
warmup,3.001,64598,,64598,0,64661,2680,4945,5590,6727,8425,602,7289,8195,9268,9823
warmup,4.001,64877,,64878,0,64801,2380,4911,5674,7357,9057,1453,7393,8098,8978,10153
warmup,5.001,63567,,63566,0,63562,2692,4971,5550,6623,8102,2050,7584,8389,9341,10080
warmup,6.001,62978,,62985,0,63011,2526,4955,5685,7516,8907,1486,7552,8374,9559,10592
warmup,7.001,64712,,64711,0,64633,1942,5050,5829,7438,8350,986,7428,8145,9270,10165
warmup,8.001,62901,,62895,0,62911,2209,5087,5780,7181,8673,1913,7668,8517,9658,10622
warmup,9.001,62688,,62699,0,62664,2507,4980,5634,6689,7287,2126,7598,8404,9537,10215
warmup,10.001,64437,,64440,0,64442,2755,5048,5748,6804,7624,2221,7481,8119,9193,9998
warmup,11.001,64798,,64784,0,64896,2656,5051,5849,7337,8419,1111,7367,8197,9256,10169
warmup,12.001,64527,,64527,0,64537,2567,4751,5276,6274,6791,3256,7560,8207,9125,9890
warmup,13.001,63898,,63940,0,63918,2696,4790,5380,6603,8841,366,7612,8338,9403,10363
warmup,14.001,60717,,60676,0,60723,2441,4910,5503,6920,7897,3737,8065,8792,9628,10154
warmup,15.001,64368,,64371,0,64336,2796,4930,5627,6763,7965,3947,7497,8208,9168,9895
warmup,16.001,64960,,64966,0,64975,2306,4997,5926,7728,8336,3715,7403,8116,9130,9776
warmup,17.001,63290,,63281,0,63271,1972,4991,5749,7350,8437,1838,7648,8381,9528,10152
warmup,18.001,63340,,63339,0,63440,2900,5003,5692,7548,8965,5083,7541,8256,9356,10157
warmup,19.001,63583,,63583,0,63362,2019,5031,5832,7057,8989,3032,7669,8322,9235,9844
warmup,20.001,64394,,64409,0,64533,1938,4788,5411,6302,6954,3310,7442,8158,8995,9838
warmup,21.001,64507,,64501,0,64456,2671,4696,5291,5986,6695,4344,7531,8212,9241,9879
warmup,22.001,64329,,64394,0,64355,2593,4685,5303,6051,6873,3591,7530,8165,9173,9831
warmup,23.001,65370,,65297,0,65383,2626,4920,5732,7332,8798,3490,7411,8098,8941,9875
warmup,24.001,65779,,65778,0,65753,2968,4875,5508,6551,7208,4086,7278,8005,8813,9693
warmup,25.001,65604,,65604,0,65620,2206,4889,5604,6985,8366,3003,7380,7955,8787,9646
warmup,26.001,66082,,66082,0,66077,2566,4771,5375,6419,6919,4076,7344,7911,8802,9464
warmup,27.001,64866,,64880,0,64861,2616,4819,5410,6545,7535,4347,7435,8098,9188,10362
warmup,28.001,66112,,66098,0,66128,3127,4715,5321,6204,6677,4350,7331,7968,8874,9654
warmup,29.001,64391,,64396,0,64424,2834,4651,5224,6302,6778,4355,7425,8130,9398,10069
warmup,30.001,60696,,60691,0,60617,2950,5139,6050,7259,8444,3464,7918,8899,10024,10775
warmup,31.001,61931,,62021,0,62081,2533,4944,5618,6618,7518,3460,7677,8664,9798,10535
warmup,32.001,63273,,63183,0,63174,170,5128,5751,6873,7604,122,7479,8178,9271,9890
warmup,33.001,62816,,62816,0,62833,2407,4888,5457,6554,7499,3653,7727,8491,9450,9989
warmup,34.001,63825,,63825,0,63782,2845,4837,5446,6740,7894,4694,7482,8249,9392,10343
warmup,35.001,64370,,64370,0,64327,2736,4877,5553,7047,9337,3793,7526,8276,9309,9937
warmup,36.001,65621,,65624,0,65618,1739,4691,5171,6110,7256,3654,7381,8021,8931,9968
warmup,37.001,64575,,64572,0,64581,2459,4941,5507,6515,7314,3612,7394,8180,9132,9592
warmup,38.001,59600,,59629,0,59714,2101,4867,5445,6271,6823,4224,8202,9129,10034,10805
warmup,39.001,63948,,63958,0,63979,2523,4895,5465,6731,7522,3554,7534,8360,9452,9930
warmup,40.001,63305,,63294,0,63180,2503,4979,5584,6643,7505,3473,7632,8394,9282,10025
warmup,41.001,62598,,62570,0,62409,2264,4967,5546,6943,8126,3895,7650,8436,9575,10251
warmup,42.001,61218,,61218,0,61302,3030,5002,5543,6651,7735,4326,7846,8689,9742,10342
warmup,43.001,60730,,60764,0,60822,2706,4963,5619,6900,7862,4758,7975,8754,9957,10875
warmup,44.001,59992,,59963,0,60100,3035,5082,5696,7519,8477,3652,8102,9003,9959,10438
warmup,45.001,63995,,63990,0,63961,3152,4833,5361,6375,7179,4383,7559,8250,9521,10423
warmup,46.001,62903,,62933,0,62934,2804,4852,5378,6264,7176,3669,7636,8482,9490,10068
warmup,47.001,63585,,63567,0,63517,2710,4925,5492,6456,7682,2048,7471,8370,9638,10242
warmup,48.001,63184,,63337,0,63163,2037,5099,5835,7240,8467,4066,7645,8393,9399,10105
warmup,49.001,64344,,64179,0,64349,2725,4886,5453,6362,6984,4037,7482,8168,9190,10086
warmup,50.001,64935,,64935,0,64970,1818,4644,5090,5992,6406,4944,7450,8090,8928,9649
warmup,51.001,64092,,64098,0,64077,2949,4801,5388,6611,7641,2540,7532,8279,9353,9981
warmup,52.001,66254,,66248,0,66152,2541,4814,5491,6615,7232,2963,7281,7991,8983,9699
warmup,53.001,65388,,65388,0,65466,2518,4831,5454,6401,7289,3593,7402,8036,8958,9913
warmup,54.001,66176,,66176,0,66195,1519,4652,5312,6270,7424,3866,7283,7959,8889,9613
warmup,55.001,64873,,64908,0,64913,2888,4729,5244,6027,6500,4174,7459,8102,9351,10068
warmup,56.001,64405,,64370,0,64458,2650,4868,5482,6472,8205,3162,7348,8219,9412,10255
warmup,57.001,66214,,66223,0,66042,2482,4960,5538,6441,7649,3307,7269,7966,8705,9518
warmup,58.001,66073,,66064,0,66078,1800,4944,5618,6682,7734,3692,7313,7996,8894,9596
warmup,59.001,64925,,64925,0,64934,2776,4799,5476,6565,7468,3316,7468,8184,9122,9720
warmup,60.001,65246,,65250,0,65181,2066,4818,5371,6344,7106,4226,7405,8088,8956,9719
