4         Threads
25        Connections per thread
180       Seconds


ALL STATS
============================================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p95 Latency     p99 Latency   p99.9 Latency       KB/sec 
--------------------------------------------------------------------------------------------------------------------------------------------
Sets        12403.03          ---          ---         0.73391         0.71900         0.76700         1.43100         1.49500     12909.82 
Gets       124027.46    124027.46         0.00         0.73269         0.71900         0.76700         1.43100         1.49500    128489.68 
Waits           0.00          ---          ---             ---             ---             ---             ---             ---          --- 
Totals     136430.48    124027.46         0.00         0.73280         0.71900         0.76700         1.43100         1.49500    141399.50 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.119        0.000
SET       0.695        5.000
SET       0.695       10.000
SET       0.703       15.000
SET       0.703       20.000
SET       0.703       25.000
SET       0.711       30.000
SET       0.711       35.000
SET       0.711       40.000
SET       0.711       45.000
SET       0.719       50.000
SET       0.719       52.500
SET       0.719       55.000
SET       0.719       57.500
SET       0.719       60.000
SET       0.719       62.500
SET       0.727       65.000
SET       0.727       67.500
SET       0.727       70.000
SET       0.727       72.500
SET       0.727       75.000
SET       0.727       76.250
SET       0.735       77.500
SET       0.735       78.750
SET       0.735       80.000
SET       0.735       81.250
SET       0.735       82.500
SET       0.735       83.750
SET       0.735       85.000
SET       0.735       86.250
SET       0.743       87.500
SET       0.743       88.125
SET       0.743       88.750
SET       0.743       89.375
SET       0.743       90.000
SET       0.743       90.625
SET       0.743       91.250
SET       0.743       91.875
SET       0.751       92.500
SET       0.751       93.125
SET       0.751       93.750
SET       0.759       94.062
SET       0.759       94.375
SET       0.759       94.688
SET       0.767       95.000
SET       0.775       95.312
SET       0.783       95.625
SET       0.799       95.938
SET       0.823       96.250
SET       0.839       96.562
SET       0.863       96.875
SET       0.887       97.031
SET       0.951       97.188
SET       0.983       97.344
SET       1.023       97.500
SET       1.351       97.656
SET       1.383       97.812
SET       1.399       97.969
SET       1.399       98.125
SET       1.407       98.281
SET       1.415       98.438
SET       1.415       98.516
SET       1.423       98.594
SET       1.423       98.672
SET       1.423       98.750
SET       1.431       98.828
SET       1.431       98.906
SET       1.431       98.984
SET       1.439       99.062
SET       1.439       99.141
SET       1.447       99.219
SET       1.447       99.258
SET       1.447       99.297
SET       1.447       99.336
SET       1.447       99.375
SET       1.455       99.414
SET       1.455       99.453
SET       1.455       99.492
SET       1.463       99.531
SET       1.463       99.570
SET       1.463       99.609
SET       1.463       99.629
SET       1.463       99.648
SET       1.471       99.668
SET       1.471       99.688
SET       1.471       99.707
SET       1.471       99.727
SET       1.471       99.746
SET       1.479       99.766
SET       1.479       99.785
SET       1.479       99.805
SET       1.479       99.814
SET       1.479       99.824
SET       1.487       99.834
SET       1.487       99.844
SET       1.487       99.854
SET       1.487       99.863
SET       1.495       99.873
SET       1.495       99.883
SET       1.495       99.893
SET       1.503       99.902
SET       1.503       99.907
SET       1.503       99.912
SET       1.503       99.917
SET       1.511       99.922
SET       1.511       99.927
SET       1.519       99.932
SET       1.519       99.937
SET       1.527       99.941
SET       1.527       99.946
SET       1.535       99.951
SET       1.543       99.954
SET       1.543       99.956
SET       1.543       99.958
SET       1.551       99.961
SET       1.551       99.963
SET       1.559       99.966
SET       1.559       99.968
SET       1.567       99.971
SET       1.575       99.973
SET       1.575       99.976
SET       1.583       99.977
SET       1.583       99.978
SET       1.583       99.979
SET       1.591       99.980
SET       1.591       99.982
SET       1.599       99.983
SET       1.599       99.984
SET       1.607       99.985
SET       1.615       99.987
SET       1.631       99.988
SET       1.639       99.988
SET       1.647       99.989
SET       1.671       99.990
SET       1.695       99.990
SET       1.711       99.991
SET       1.727       99.991
SET       1.767       99.992
SET       1.783       99.993
SET       1.831       99.993
SET       1.887       99.994
SET       1.935       99.994
SET       2.007       99.995
SET       2.079       99.995
SET       2.111       99.995
SET       2.159       99.995
SET       2.223       99.996
SET       2.303       99.996
SET       2.351       99.996
SET       2.575       99.997
SET       2.655       99.997
SET       2.895       99.997
SET       3.263       99.997
SET       3.919       99.997
SET       4.079       99.998
SET       4.319       99.998
SET       4.351       99.998
SET       4.383       99.998
SET       4.447       99.998
SET       4.479       99.998
SET       4.479       99.998
SET       4.543       99.999
SET       4.607       99.999
SET       4.607       99.999
SET       4.607       99.999
SET       4.959       99.999
SET       4.991       99.999
SET       4.991       99.999
SET       4.991       99.999
SET       5.023       99.999
SET       5.023       99.999
SET       5.055       99.999
SET       5.055       99.999
SET       5.087       99.999
SET       5.087       99.999
SET       5.087       99.999
SET       5.151       99.999
SET       5.151      100.000
SET       5.215      100.000
SET       5.823      100.000
SET       6.367      100.000
SET       6.367      100.000
SET       6.399      100.000
