id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q1-one-fast,1.003,41928,,,,41058,4658,21042,26769,40165,48502,,,,,
q1-one-fast,2.000,64442,,,,64704,3956,10664,12937,17160,20524,,,,,
q1-one-fast,3.000,64448,,,,64223,4284,11092,13145,16598,20241,,,,,
q1-one-fast,4.000,62865,,,,63246,4257,11566,13598,17298,19642,,,,,
q1-one-fast,5.000,64606,,,,64149,4129,10911,12962,15847,17900,,,,,
q1-one-fast,6.000,64785,,,,65200,3730,10992,12773,15138,17519,,,,,
q1-one-fast,7.000,66083,,,,65834,3726,10351,12752,16175,17930,,,,,
q1-one-fast,8.000,63815,,,,63750,4357,11512,13345,16128,18512,,,,,
q1-one-fast,9.000,62493,,,,62381,4504,10727,12745,16647,19710,,,,,
q1-one-fast,10.000,63245,,,,63334,5023,11619,13350,16665,21414,,,,,
q1-one-fast,11.000,66256,,,,66620,4634,10285,12077,14750,17319,,,,,
q1-one-fast,12.000,63467,,,,63162,4750,11818,14225,17709,19793,,,,,
q1-one-fast,13.000,62202,,,,62517,4598,11667,14462,18326,20636,,,,,
q1-one-fast,14.000,64732,,,,64478,4955,11452,13777,16876,19028,,,,,
q1-one-fast,15.000,64084,,,,64146,4682,11045,13241,16712,21940,,,,,
q1-one-fast,16.000,63824,,,,63656,4125,10957,13489,17336,19504,,,,,
q1-one-fast,17.000,65108,,,,65341,4810,11046,13091,16250,18304,,,,,
q1-one-fast,18.000,64530,,,,64578,5102,11157,13545,17992,23815,,,,,
q1-one-fast,19.000,65990,,,,65708,4343,10649,12333,15464,18163,,,,,
q1-one-fast,20.000,63303,,,,63667,4600,11391,13844,17522,19308,,,,,
q1-one-fast,21.000,65224,,,,64990,4841,10891,13190,18096,21340,,,,,
q1-one-fast,22.000,65429,,,,65327,4552,10823,12822,15358,17500,,,,,
q1-one-fast,23.000,65455,,,,65183,4093,11043,13050,15910,17556,,,,,
q1-one-fast,24.000,63678,,,,62623,4411,10833,12705,17040,38155,,,,,
q1-one-fast,25.000,65036,,,,66534,3882,10644,12590,16583,42157,,,,,
q1-one-fast,26.000,66547,,,,66454,4587,10065,12204,15279,17743,,,,,
q1-one-fast,27.000,64482,,,,64629,4978,10835,12533,15742,18117,,,,,
q1-one-fast,28.000,64938,,,,64823,4214,10637,13028,18077,20597,,,,,
q1-one-fast,29.000,66244,,,,66012,4114,10565,12321,15093,17795,,,,,
q1-one-fast,30.000,64394,,,,64630,4371,11071,12968,16324,17985,,,,,
q1-one-fast,31.000,64671,,,,64671,4193,10940,13017,16132,17833,,,,,
q1-one-fast,32.000,63067,,,,63096,3878,10987,13549,16690,18594,,,,,
q1-one-fast,33.000,64327,,,,64331,4231,11546,13552,16220,18052,,,,,
q1-one-fast,34.000,66071,,,,65965,4888,10324,12926,16842,19845,,,,,
q1-one-fast,35.000,63893,,,,63858,5190,11258,13826,18194,21459,,,,,
q1-one-fast,36.000,63776,,,,63587,4603,11609,13748,17277,19765,,,,,
q1-one-fast,37.000,64194,,,,64144,4491,10846,13393,18986,22632,,,,,
q1-one-fast,38.000,63660,,,,63431,2932,11582,13725,17446,19922,,,,,
q1-one-fast,39.001,63789,,,,64563,4338,10758,12712,18234,21276,,,,,
q1-one-fast,40.000,61608,,,,61292,4272,11365,14358,38301,49316,,,,,
q1-one-fast,41.000,63241,,,,63455,4993,11614,13568,16929,18882,,,,,
q1-one-fast,42.000,64564,,,,64259,4182,10792,13368,17028,20470,,,,,
q1-one-fast,43.000,64698,,,,64455,3698,11165,13652,17442,20832,,,,,
q1-one-fast,44.000,63388,,,,63861,4551,11338,13652,16958,19023,,,,,
q1-one-fast,45.000,65118,,,,64993,3744,10846,12593,16049,19359,,,,,
q1-one-fast,46.000,62615,,,,62728,5244,11822,14918,18858,21401,,,,,
q1-one-fast,47.000,64021,,,,63994,5906,11373,13635,17082,18563,,,,,
q1-one-fast,48.000,64663,,,,64612,4047,10953,13040,16158,19283,,,,,
q1-one-fast,49.000,63161,,,,63039,4471,11726,13930,17202,18861,,,,,
q1-one-fast,50.000,62276,,,,62468,3945,11405,13279,16261,17846,,,,,
q1-one-fast,51.000,64838,,,,64831,4438,10755,12660,15450,17547,,,,,
q1-one-fast,52.000,62405,,,,62418,4809,11654,14073,17636,19671,,,,,
q1-one-fast,53.000,62351,,,,62369,4630,11757,13812,16721,19443,,,,,
q1-one-fast,54.000,62157,,,,62101,4136,11873,13990,17219,18770,,,,,
q1-one-fast,55.000,60813,,,,60861,4137,11533,13817,17173,42004,,,,,
q1-one-fast,56.000,64627,,,,64571,4321,11052,13112,16459,19333,,,,,
q1-one-fast,57.000,62631,,,,62509,4563,11984,14338,18786,21851,,,,,
q1-one-fast,58.000,63090,,,,63277,5196,11358,13586,17716,19726,,,,,
q1-one-fast,59.000,63686,,,,63420,4104,11425,13744,17254,20049,,,,,
q1-one-fast,60.000,64006,,,,64096,4784,10832,13037,17374,20325,,,,,
q1-one-fast,61.000,62425,,,,62602,4606,11692,13512,16317,18098,,,,,
q1-one-fast,62.000,63776,,,,63636,4698,11542,13760,17405,19778,,,,,
q1-one-fast,63.000,63854,,,,63908,3908,11216,13583,16913,19870,,,,,
q1-one-fast,64.000,66667,,,,66405,4050,10334,12033,14696,16513,,,,,
q1-one-fast,65.000,63281,,,,63524,4104,11389,13659,16693,18853,,,,,
q1-one-fast,66.000,65191,,,,65402,4589,10646,12800,16897,18524,,,,,
q1-one-fast,67.000,66254,,,,65923,4319,10740,12365,14919,16865,,,,,
q1-one-fast,68.000,63567,,,,63646,3222,11460,13589,16436,17775,,,,,
q1-one-fast,69.000,64415,,,,64581,4312,11352,13020,16471,18517,,,,,
q1-one-fast,70.000,63992,,,,63918,3731,11038,12863,15766,17439,,,,,
q1-one-fast,71.000,65445,,,,65249,4206,10592,12385,16236,18898,,,,,
q1-one-fast,72.000,65139,,,,65191,3650,10473,12639,15321,18185,,,,,
q1-one-fast,73.000,63643,,,,63994,4502,11739,13994,17370,19518,,,,,
q1-one-fast,74.000,66911,,,,66390,3840,9962,11897,15167,16705,,,,,
q1-one-fast,75.000,64209,,,,64591,4338,10668,12307,16888,19631,,,,,
q1-one-fast,76.000,65254,,,,65286,3917,10446,12479,16509,18797,,,,,
q1-one-fast,77.000,65657,,,,65437,4550,10587,12643,15950,17570,,,,,
q1-one-fast,78.000,63823,,,,63981,4118,11258,13339,16732,18427,,,,,
q1-one-fast,79.000,64259,,,,64346,4314,11348,13062,16142,18010,,,,,
q1-one-fast,80.000,66676,,,,66529,4589,10094,12076,15631,17747,,,,,
q1-one-fast,81.000,65301,,,,65209,4350,10256,12385,16333,22711,,,,,
q1-one-fast,82.000,65477,,,,65499,5034,10975,13008,15917,18206,,,,,
q1-one-fast,83.000,66175,,,,66266,5129,10569,12144,14648,17306,,,,,
q1-one-fast,84.000,64694,,,,64377,4710,11059,13206,16425,18706,,,,,
q1-one-fast,85.000,65164,,,,65459,4526,10769,12760,16070,17337,,,,,
q1-one-fast,86.000,64644,,,,64545,4633,10730,12909,18665,47304,,,,,
q1-one-fast,87.000,65682,,,,65693,4417,10611,12558,16569,19673,,,,,
q1-one-fast,88.000,63974,,,,63672,4308,11243,13580,16675,18732,,,,,
q1-one-fast,89.000,65173,,,,65505,4520,11189,13172,16252,18230,,,,,
q1-one-fast,90.000,64199,,,,64121,5107,11304,13575,16992,18975,,,,,
q1-one-fast,91.000,64666,,,,64981,4699,11035,13577,16584,20673,,,,,
