Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分41秒   999     13517   62.00   14.00    0.00    0.00   76.00     1  15137.00      0.00 2738764  164924   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分42秒   999     13517  244.00   63.00    0.00    0.00  307.00     1  67933.00      0.00 2743608  175936   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分43秒   999     13517  262.00   72.00    0.00    0.00  334.00     1 112163.00      0.00 2744040  173540   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分44秒   999     13517  274.00   60.00    0.00    0.00  334.00     1 115540.00      0.00 2756248  178132   0.55  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分45秒   999     13517  258.00   67.00    0.00    0.00  325.00     1 105386.00      0.00 2748860  176720   0.54  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分46秒   999     13517  262.00   69.00    0.00    0.00  331.00     1  98648.00      0.00 2754888  177664   0.55  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分47秒   999     13517  253.00   76.00    0.00    0.00  329.00     1 102150.00      0.00 2754628  182860   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分48秒   999     13517  261.00   71.00    0.00    0.00  332.00     1  98905.00      0.00 2753320  182888   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
21时58分49秒   999     13517  256.00   70.00    0.00    0.00  326.00     1 104223.00      0.00 2755568  179320   0.55  beam.smp

