id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.004,32417,,32252,0,31747,166,8997,15795,23042,25480,90,1269,3148,6404,9367
warmup,2.000,54180,,53845,0,54582,248,5055,7728,24234,27284,110,6490,7889,9615,11425
warmup,3.000,63124,,63123,0,63096,2926,4777,5481,7179,8871,896,7619,8254,9099,9891
warmup,4.000,64739,,64740,0,64744,2394,4759,5258,6493,7372,2606,7527,8179,9088,9693
warmup,5.000,64617,,64616,0,64529,2908,4806,5477,6667,7386,2915,7425,8090,9108,10005
warmup,6.000,63560,,63560,0,63670,3034,4933,5618,6801,9102,2803,7573,8255,9246,9787
warmup,7.000,61721,,61721,0,61720,2330,4793,5368,6518,7556,3308,7880,8637,9764,10376
warmup,8.000,62000,,62001,0,61978,2144,4740,5310,6538,8486,3534,7820,8594,9758,10318
warmup,9.000,62685,,62698,0,62623,1805,4793,5468,7084,9343,4744,7555,8314,9450,10739
warmup,10.000,63318,,63341,0,63424,2333,4594,5087,6078,7395,921,7608,8318,9442,10327
warmup,11.000,63737,,63701,0,63672,2738,4664,5278,6274,6840,3758,7507,8269,9226,9920
warmup,12.000,63668,,63667,0,63696,2182,4677,5218,5967,6706,4119,7658,8358,9325,9811
warmup,13.000,62417,,62417,0,62440,1640,4748,5230,6004,7163,873,7837,8559,9591,10533
warmup,14.000,64427,,64427,0,64383,2828,4572,5095,6208,7197,4525,7486,8167,9236,9898
warmup,15.000,64053,,64055,0,64052,2415,4624,5088,5977,6630,3955,7584,8245,9234,10103
warmup,16.000,66183,,66185,0,66155,2818,4483,5072,5987,6714,2977,7324,7924,8545,9096
warmup,17.000,64696,,64713,0,64622,2169,4397,4877,5684,6085,4175,7498,8116,9175,9745
warmup,18.000,64590,,64569,0,64800,2794,4523,5056,5920,6650,3400,7533,8175,9182,9866
warmup,19.000,62469,,62469,0,62320,2373,4729,5231,6140,6764,4108,7783,8599,9600,10076
warmup,20.000,64413,,64413,0,64452,2497,4643,5240,6536,7795,3937,7572,8322,9321,9770
warmup,21.000,64372,,64372,0,64365,2680,4746,5289,6234,6847,3645,7479,8199,9219,9635
warmup,22.000,63950,,63950,0,64023,3015,4847,5489,7097,8294,2648,7554,8311,9451,10412
warmup,23.000,66094,,66094,0,66081,2124,4369,4831,5572,6648,2545,7254,7901,8992,9692
warmup,24.000,62066,,62076,0,61978,1406,4768,5415,6895,8395,307,7561,8427,9363,10383
warmup,25.000,63820,,63810,0,63880,2786,4667,5206,6219,7227,2904,7585,8242,9295,9908
warmup,26.000,63840,,63840,0,63839,2761,4659,5245,6192,6901,1330,7627,8361,9197,10070
warmup,27.000,63813,,63813,0,63810,2673,4673,5258,6505,7493,3197,7639,8323,9149,9867
warmup,28.000,64456,,64457,0,64424,2648,4559,5125,6221,7254,2380,7475,8161,9090,10574
warmup,29.000,64191,,64190,0,64206,2811,4458,4951,5821,6533,4856,7480,8112,9240,10699
warmup,30.000,65781,,65781,0,65717,2597,4667,5284,6250,7068,3801,7358,8016,8806,9296
