id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q2-reliable,1.002,48401,,44564,0,34269,381,73140,160861,336022,390554,262,48448,68357,110773,157899
q2-reliable,2.001,50144,,50311,0,47926,8390,246180,387698,723687,797847,3500,65071,92864,169122,184450
q2-reliable,3.001,50336,,50510,0,48700,4482,220909,364094,1167519,1225601,5090,67613,96863,154914,175405
q2-reliable,4.000,51719,,51394,0,54870,4595,243865,436330,1251902,1274527,1801,66736,92154,158705,210876
q2-reliable,5.000,52267,,52093,0,52170,2498,213551,284468,1025586,1126867,4351,69197,94114,133944,173846
q2-reliable,6.000,52093,,52092,0,50318,5328,160827,305644,1194559,1257960,8927,63415,88172,150813,202563
q2-reliable,7.000,54071,,54071,0,49073,2403,214846,585264,1017113,1146894,6025,59694,85065,136910,200730
q2-reliable,8.000,49986,,50154,0,53587,3439,268512,693350,982431,1041568,5587,75238,100400,139487,189253
q2-reliable,9.000,52768,,52626,0,47766,27269,244565,660753,911874,1018828,6946,62920,88127,140237,180905
q2-reliable,10.000,52574,,52548,0,48929,12611,357912,869462,1180420,1289642,12124,60797,87824,159338,202661
q2-reliable,11.000,50296,,50356,0,52723,45408,407937,713752,1156584,1252579,7659,67060,102405,170477,211169
q2-reliable,12.000,53078,,53222,0,48433,5643,461894,678363,1236043,1264498,4871,64125,91319,171683,291847
q2-reliable,13.000,52632,,52503,0,49094,20819,563806,779792,1079071,1223035,6208,63613,95033,153525,193121
q2-reliable,14.000,51910,,52004,0,49475,10517,654221,820878,938339,979179,3174,69452,92684,144735,177976
q2-reliable,15.000,49250,,49081,0,50209,73593,711209,919643,1093347,1182725,6131,68808,102252,143755,192683
q2-reliable,16.000,52642,,52642,0,49020,149505,622999,844470,1302406,1348526,5244,59597,88270,150572,209332
q2-reliable,17.000,50827,,50827,0,49528,15567,775456,1012210,1464551,1550815,5837,69425,94672,163207,215475
q2-reliable,18.000,51861,,51861,0,49774,22242,821567,957354,1420209,1454476,5906,60397,91718,167700,208064
q2-reliable,19.000,48837,,48837,0,51885,50402,864157,1012482,1519756,1580787,6907,82066,114666,159091,177329
q2-reliable,20.000,52393,,52828,0,50260,13994,805430,1121972,1371408,1407818,11629,64695,96216,152331,227674
q2-reliable,21.000,52873,,52697,0,50009,5365,845367,989392,1345590,1426943,7297,60233,92226,149201,195423
q2-reliable,22.000,51214,,50955,0,52751,115864,650711,1090734,1433109,1493765,11329,72267,104246,152887,189851
q2-reliable,23.000,47535,,48008,0,54426,19269,653169,1008911,1695703,1778124,3854,72608,108745,163745,235916
q2-reliable,24.001,48097,,48451,0,55967,3785,513154,910244,1731561,1773049,5685,65058,96947,183964,233884
q2-reliable,25.000,52836,,52045,0,49893,2272,356898,518108,1884598,1982838,3507,66667,88913,153411,236943
q2-reliable,26.000,55449,,55888,0,47849,5675,372866,774120,1645346,1786447,6153,59783,84116,140068,168523
q2-reliable,27.000,54232,,53758,0,46759,7560,578914,1335522,1699075,1742589,7108,64512,94179,143059,181131
q2-reliable,28.000,48897,,48897,0,53695,126307,559848,1333175,1887420,1942897,5218,70461,102274,171873,225459
q2-reliable,29.000,49655,,51123,0,52822,34932,447902,1031094,1913822,2054532,6620,70699,100089,150978,178234
q2-reliable,30.000,54420,,52950,0,48753,3630,535668,1163427,2112559,2173061,6006,60997,94709,156661,177268
q2-reliable,31.000,50027,,50179,0,51972,12255,606379,1274921,1919118,1963888,4975,60997,90042,174497,198622
q2-reliable,32.000,52777,,52625,0,50404,52749,669278,1045723,1941947,2081386,7470,57633,97098,167688,216308
q2-reliable,33.001,49246,,49345,0,53481,14378,821094,1029145,2174921,2255653,8308,68286,95294,167990,204392
q2-reliable,34.000,50890,,50791,0,49697,6457,835753,1021040,2345506,2436037,3466,62765,94952,138029,173639
q2-reliable,35.000,50050,,50541,0,51366,2453,816544,966896,2343859,2411047,6847,66739,99816,174200,222013
q2-reliable,36.000,52439,,52085,0,50413,100633,710164,904306,2100224,2177920,7677,68525,100028,148787,162404
q2-reliable,37.000,53142,,53005,0,46443,26670,715098,1031204,2085400,2208753,10061,64295,90328,135787,155144
q2-reliable,38.000,52335,,52452,0,51666,20115,732198,1034481,1895198,1999235,3338,64387,97955,156411,200317
q2-reliable,39.000,55354,,55287,0,46500,57177,823273,1356865,1915427,2003211,1684,65154,91031,133323,182849
q2-reliable,40.000,54714,,54811,0,46855,143580,1141608,1344109,2066195,2099028,7270,55574,91206,168105,198103
q2-reliable,41.000,54905,,55223,0,46658,238964,975062,1462462,2129788,2297439,7507,59805,89181,143242,164353
q2-reliable,42.000,47928,,47463,0,56276,365279,952759,1760701,2139949,2338373,2079,68411,102075,182502,205894
q2-reliable,43.000,51590,,51631,0,50827,238545,1171846,1814591,2223504,2373569,2085,63257,100801,179463,213042
q2-reliable,44.000,50158,,50117,0,54915,6047,1262136,1585363,2483463,2547666,8958,67420,96994,159033,188950
q2-reliable,45.000,53674,,53784,0,49931,10006,1247463,2150849,2510954,2613970,8845,62411,95468,155154,185009
q2-reliable,46.000,51033,,50922,0,52814,9510,1118272,1693074,2541108,2572427,8026,66328,94959,177230,262592
q2-reliable,47.000,48731,,48961,0,53019,16589,1098277,1624985,2604336,2737469,4378,64355,102542,188048,200328
q2-reliable,48.000,54256,,54802,0,48285,26748,1171846,1666387,2699978,2734960,4100,61155,87978,145778,167908
q2-reliable,49.000,49190,,48820,0,55027,12249,1147492,1664357,2637237,2740416,5282,69394,104404,150686,203568
q2-reliable,50.000,52533,,52126,0,47827,86809,1332715,1611228,2594629,2862541,7129,66194,101524,151673,179523
