id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.007,31625,,31495,0,31237,276,10504,15479,22158,38181,85,2135,4228,10431,14550
warmup,2.000,52851,,52480,0,52936,409,6842,8914,22535,26218,103,7005,8197,9769,14278
warmup,3.000,61375,,61414,0,61241,3207,6611,7790,10507,12970,1149,7550,8518,10050,13310
warmup,4.000,61872,,61833,0,61888,2019,5876,7069,8666,10193,1466,7819,8631,9939,10664
warmup,5.000,63825,,63826,0,63813,2164,6127,7151,8662,9911,1651,7553,8272,9476,10363
warmup,6.000,62849,,62855,0,62927,2596,5828,6931,8731,10274,2576,7774,8440,9660,10363
warmup,7.001,63226,,63219,0,63199,2619,5737,6733,8537,9631,548,7696,8427,9612,10455
warmup,8.000,62208,,62208,0,62167,2141,5799,6701,8407,9874,2456,7840,8531,9796,10539
warmup,9.000,63239,,63239,0,63392,1955,5993,7005,8486,9589,200,7518,8292,9413,10070
warmup,10.000,62420,,62453,0,62375,2510,6453,7327,9322,11167,422,7671,8364,9754,10878
warmup,11.000,62035,,62030,0,61873,2457,5911,7082,9281,10536,1423,7766,8519,9826,10966
warmup,12.000,63333,,63305,0,63234,2881,5713,6446,8015,9150,2346,7635,8316,9644,10391
warmup,13.000,63076,,63076,0,63516,2813,6148,7517,11396,14164,983,7631,8530,9699,10466
warmup,14.000,61438,,61438,0,61197,2960,5784,6500,7991,9397,3624,7803,8856,10035,10931
warmup,15.000,62055,,62065,0,61955,3114,6131,7492,9760,12624,2284,7829,8728,9907,11045
warmup,16.000,61772,,61762,0,61975,3244,6544,7798,9576,12172,3558,7602,8431,9791,10912
warmup,17.000,63759,,63759,0,63519,2585,6211,7508,9098,10911,3865,7588,8353,9582,10970
warmup,18.000,64131,,64131,0,64342,3135,5651,6484,7962,9963,3211,7558,8253,9269,10024
warmup,19.000,64607,,64607,0,64598,2847,6105,7230,8693,9881,1801,7585,8189,9325,9966
warmup,20.000,63269,,63269,0,63071,769,5748,6629,8219,9273,685,7671,8337,9680,10645
warmup,21.000,62314,,62314,0,62321,953,6047,7276,9810,11223,1456,7808,8523,9689,10434
warmup,22.000,63791,,63791,0,63751,2105,6084,7226,9185,10270,2972,7668,8426,9801,10445
warmup,23.000,63382,,63382,0,63605,3007,6338,7638,9247,10801,3469,7538,8385,9553,10363
warmup,24.000,64462,,64476,0,64280,2574,6102,7129,9380,10403,2322,7547,8282,9513,10190
warmup,25.000,64205,,64191,0,64234,2683,6133,7126,8746,10098,2413,7624,8398,9656,10524
warmup,26.000,65768,,65768,0,65660,3347,6484,7362,9096,10076,2577,7349,8019,9355,10136
warmup,27.000,64487,,64487,0,64610,2150,6193,7557,9647,10742,3043,7556,8335,9263,9942
warmup,28.000,64553,,64553,0,64418,2741,6571,7665,9756,11885,2166,7486,8263,9543,10269
warmup,29.000,63654,,63675,0,63803,2454,6867,8100,9607,11306,3941,7521,8270,9442,10706
warmup,30.000,64179,,64267,0,64296,3198,5957,6972,8486,10289,2483,7581,8324,9443,10391
warmup,31.000,61442,,61337,0,61432,2936,5831,6951,22610,38855,2411,7753,8549,10042,15760
warmup,32.000,62674,,62670,0,62689,2574,5832,6987,9414,10396,957,7647,8450,9838,10756
warmup,33.000,63633,,63633,0,63742,2254,5683,6613,8904,10387,3893,7615,8403,9381,11063
warmup,34.000,62008,,62070,0,61860,2765,6203,7542,9344,10313,4304,7855,8718,9776,10744
warmup,35.000,65742,,65680,0,65786,3071,5829,6816,8200,9486,3307,7367,8059,9237,10023
warmup,36.000,65328,,65418,0,65186,2179,6167,7511,9652,10698,2164,7394,8100,9311,10877
warmup,37.000,63871,,63781,0,63944,3044,6248,7507,9079,10283,3089,7580,8382,9516,10218
warmup,38.000,64790,,64813,0,64460,3054,6503,8052,11445,13386,1667,7445,8323,9498,10532
warmup,39.000,64608,,64625,0,64775,2226,6153,7560,9351,10243,4222,7534,8202,9221,10109
warmup,40.000,65132,,65092,0,65281,2797,6429,7411,9194,10369,3039,7511,8274,9331,9932
warmup,41.000,63405,,63405,0,63362,3196,6413,7727,9699,11019,2922,7713,8435,9411,10090
warmup,42.000,62845,,62857,0,62914,2668,5392,6302,8117,9317,2911,7638,8468,9763,10418
warmup,43.000,63658,,63646,0,63754,3268,6262,7806,9943,10926,2536,7603,8320,9452,10309
warmup,44.000,62422,,62529,0,62278,1663,5439,6440,8076,9763,2992,7733,8486,9880,10549
warmup,45.000,62009,,61901,0,61964,3111,5946,7423,10249,12365,3142,7970,8896,10082,10839
warmup,46.000,61463,,61483,0,61614,2320,5657,6792,9306,31669,3062,7694,8519,9769,10885
warmup,47.000,64596,,64620,0,64517,2902,6472,7396,8729,9931,3078,7523,8127,9295,10489
warmup,48.000,63114,,63070,0,63231,2680,5664,6712,8223,9301,3203,7684,8461,9776,10715
warmup,49.000,63031,,63032,0,62824,2774,5465,6383,7811,8945,3496,7807,8518,9441,10270
warmup,50.000,62728,,62738,0,62858,2559,5970,7104,8577,9723,3565,7762,8450,9491,10142
warmup,51.000,63270,,63260,0,63325,2157,6088,7271,9443,10908,2634,7631,8600,9758,10423
warmup,52.000,62828,,62886,0,62745,2481,6113,7218,9034,10221,2376,7714,8510,9615,10501
warmup,53.000,64042,,64019,0,64124,3290,6082,7333,9455,10519,3048,7579,8298,9463,10247
warmup,54.000,63856,,63820,0,63742,2640,5808,6604,8023,9258,3366,7630,8370,9276,10188
warmup,55.000,64726,,64726,0,64735,3169,6531,7839,10082,11694,3134,7482,8216,9383,10070
warmup,56.000,63484,,63486,0,63420,2779,6363,7731,9969,10951,3632,7602,8408,9780,10724
warmup,57.000,63956,,63955,0,64096,2892,6439,7487,9154,10409,3126,7581,8364,9476,10290
warmup,58.000,63984,,63983,0,63901,3146,6035,7077,8610,9711,3324,7647,8415,9584,10494
warmup,59.000,61907,,61928,0,62036,2729,5939,7031,9381,11028,2865,7739,8671,9846,10741
warmup,60.000,62587,,62566,0,62459,2760,6205,7411,9206,10290,3542,7653,8460,9772,10505
