Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分43秒   999     48542   24.00    8.00    0.00    0.00   32.00     3    857.00      0.00 2675468  125420   0.39  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分44秒   999     48542  224.00   91.00    0.00    0.00  315.00     3  17486.00      0.00 2719148  155644   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分45秒   999     48542  235.00   94.00    0.00    0.00  329.00     3   5586.00      0.00 2716328  155596   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分46秒   999     48542  229.00  101.00    0.00    0.00  330.00     3   4187.00      0.00 2717356  156020   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分47秒   999     48542  210.00  119.00    0.00    0.00  329.00     3   3222.00      0.00 2716700  155984   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分48秒   999     48542  227.00  100.00    0.00    0.00  327.00     3   2731.00      0.00 2716848  157260   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分49秒   999     48542  215.00  110.00    0.00    0.00  325.00     3   2256.00      0.00 2715680  157528   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分50秒   999     48542  226.00  100.00    0.00    0.00  326.00     3   1969.00      0.00 2717216  157848   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分51秒   999     48542  220.00  105.00    0.00    0.00  325.00     3   1943.00      0.00 2716976  157172   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分52秒   999     48542  224.00  102.00    0.00    0.00  326.00     3   1499.00      0.00 2715856  157308   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分53秒   999     48542  222.00  103.00    0.00    0.00  325.00     3   1716.00      0.00 2719712  158636   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分54秒   999     48542  215.00  109.00    0.00    0.00  324.00     3   1198.00      0.00 2718080  159124   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分55秒   999     48542  229.00   96.00    0.00    0.00  325.00     3    843.00      0.00 2717568  159376   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分56秒   999     48542  225.00  102.00    0.00    0.00  327.00     3   1042.00      0.00 2718592  159756   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分57秒   999     48542  213.00  110.00    0.00    0.00  323.00     3    568.00      0.00 2718080  159644   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分58秒   999     48542  230.00   96.00    0.00    0.00  326.00     3   1226.00      0.00 2718592  159184   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时20分59秒   999     48542  224.00  102.00    0.00    0.00  326.00     3   1434.00      0.00 2718080  159228   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
