id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate50,1.010,21829,,21307,0,21803,112,2174,6688,17726,24042,195,2070,9060,26354,31608
q3-rate50,2.001,26540,,27061,0,26563,98,337,569,5850,15011,228,546,796,12721,25362
q3-rate50,3.001,23996,,24005,0,23999,111,431,614,781,900,207,664,780,930,1065
q3-rate50,4.001,24026,,24018,0,24026,119,492,646,823,1538,275,725,819,973,1705
q3-rate50,5.001,24036,,24030,0,24020,105,300,476,680,871,199,526,676,895,1112
q3-rate50,6.001,24008,,24000,0,24000,102,338,481,717,908,201,538,672,851,1096
q3-rate50,7.001,24000,,23997,0,23999,108,428,598,774,880,195,646,761,928,1038
q3-rate50,8.001,24019,,24029,0,24030,110,472,629,811,930,215,698,807,941,1055
q3-rate50,9.001,23994,,24007,0,24006,110,465,623,791,879,208,690,791,932,1057
q3-rate50,10.001,24005,,23994,0,23999,108,272,375,538,663,215,458,575,774,917
q3-rate50,11.001,24039,,24030,0,24023,124,480,640,803,906,223,694,804,949,1100
q3-rate50,12.001,24002,,24007,0,24007,112,298,429,652,796,222,519,639,836,951
q3-rate50,13.001,24017,,24013,0,24019,113,449,600,775,913,245,683,784,933,1109
q3-rate50,14.001,24024,,24029,0,24030,120,500,664,819,929,307,724,820,953,1061
q3-rate50,15.001,24003,,24009,0,24002,121,509,654,832,1072,291,741,837,986,1504
q3-rate50,16.001,24033,,24018,0,24024,125,486,623,803,922,273,693,800,939,1048
q3-rate50,17.001,23995,,24002,0,24007,116,456,611,808,1000,199,689,795,946,1209
q3-rate50,18.001,24030,,24026,0,24030,133,499,638,830,1103,287,722,830,968,1246
q3-rate50,19.001,24027,,24026,0,24019,121,473,639,825,990,251,718,816,943,1050
q3-rate50,20.001,24002,,24002,0,24000,122,490,641,808,927,285,717,812,950,1060
q3-rate50,21.001,24017,,24036,0,24035,120,408,577,770,882,231,646,787,917,1006
q3-rate50,22.001,24004,,23999,0,23994,122,462,615,778,943,301,703,809,940,1280
q3-rate50,23.001,24020,,24026,0,24026,114,491,638,815,903,294,718,812,953,1059
q3-rate50,24.001,24025,,24030,0,24030,136,498,651,819,968,274,713,818,951,1268
q3-rate50,25.001,24011,,23997,0,23997,134,493,642,807,901,271,731,824,957,1105
q3-rate50,26.001,24036,,24024,0,24024,123,518,656,814,1236,282,717,813,964,1924
q3-rate50,27.001,24000,,24003,0,24003,125,513,648,815,895,291,723,827,940,1057
q3-rate50,28.001,23995,,24003,0,24009,121,503,629,800,957,308,716,812,947,1606
q3-rate50,29.001,24023,,24020,0,24024,125,523,664,810,907,298,724,815,939,1034
q3-rate50,30.000,24032,,24025,0,24018,109,478,647,826,1051,241,698,809,955,1297
q3-rate50,31.001,23989,,24007,0,24009,136,496,649,820,904,291,727,824,964,1033
q3-rate50,32.001,24012,,23993,0,23996,118,488,624,807,1011,231,707,810,964,1174
q3-rate50,33.001,23997,,24013,0,24005,129,515,668,841,1105,300,722,831,994,1521
q3-rate50,34.001,24022,,24027,0,24027,117,486,647,811,929,307,728,824,947,1097
q3-rate50,35.001,24029,,24016,0,24023,120,510,651,826,945,289,730,825,969,1398
q3-rate50,36.001,24007,,23998,0,24002,110,500,652,823,927,264,723,819,954,1080
q3-rate50,37.001,24024,,24032,0,24021,123,511,656,813,901,314,738,840,959,1104
q3-rate50,38.001,24004,,24006,0,24013,116,529,674,829,920,286,727,828,955,1037
q3-rate50,39.001,24012,,24003,0,23996,126,501,645,812,900,290,719,822,931,1091
q3-rate50,40.001,24003,,24029,0,24029,124,518,649,819,902,304,730,825,950,1021
q3-rate50,41.001,24043,,24016,0,24017,130,516,655,835,933,296,727,817,945,1044
q3-rate50,42.001,24031,,24030,0,24029,111,509,641,825,929,271,722,818,958,1099
q3-rate50,43.001,23995,,23998,0,24007,124,511,670,828,968,298,733,826,951,1069
q3-rate50,44.001,24005,,24003,0,23999,123,495,659,809,998,296,720,814,957,1803
q3-rate50,45.001,24023,,24027,0,24032,148,492,654,831,899,292,728,840,960,1068
q3-rate50,46.001,24032,,24030,0,24020,110,350,538,759,940,209,599,761,933,1058
q3-rate50,47.001,24007,,24029,0,24029,120,496,651,807,886,268,724,814,941,1044
q3-rate50,48.001,24004,,24004,0,24007,127,507,672,870,1650,290,709,822,1000,2340
q3-rate50,49.001,24035,,24014,0,24016,127,514,663,833,944,267,736,826,963,1067
q3-rate50,50.001,24032,,24030,0,24036,126,518,661,816,913,261,724,823,961,1103
q3-rate50,51.001,23999,,24008,0,24000,126,528,662,819,941,289,732,830,969,1064
q3-rate50,52.001,23988,,24003,0,24002,109,499,641,805,897,284,734,821,968,1096
q3-rate50,53.001,24027,,24029,0,24027,112,471,641,836,1515,196,698,805,934,1826
q3-rate50,54.001,24034,,24016,0,24027,120,514,660,819,911,264,725,816,947,1024
q3-rate50,55.001,24007,,24000,0,24002,134,516,658,828,914,289,736,839,968,1088
q3-rate50,56.001,24026,,24024,0,24019,123,512,651,810,906,267,727,824,954,1126
q3-rate50,57.001,24000,,24006,0,24005,119,440,632,796,968,246,702,812,926,1048
q3-rate50,58.001,24029,,24025,0,24029,124,511,655,812,926,265,725,825,957,1060
q3-rate50,59.001,24001,,24003,0,24003,117,503,660,818,898,314,726,822,979,3086
q3-rate50,60.000,24026,,24022,0,24021,123,511,653,805,937,226,707,815,941,1151
q3-rate50,61.001,23994,,24005,0,24000,147,509,654,804,903,304,719,817,940,1062
q3-rate50,62.001,24000,,24001,0,24010,117,503,662,820,927,249,727,828,948,1109
q3-rate50,63.001,24028,,24025,0,24024,118,505,667,880,1899,275,730,825,992,1974
q3-rate50,64.001,24030,,24025,0,24020,120,457,615,795,877,241,687,804,947,1062
q3-rate50,65.001,24004,,24003,0,24001,123,491,649,804,893,283,722,823,951,1121
q3-rate50,66.001,23988,,24012,0,24006,130,520,659,823,938,291,730,818,962,1063
q3-rate50,67.000,24041,,24017,0,24024,125,514,656,847,1412,272,712,823,974,1146
q3-rate50,68.001,24003,,24003,0,23997,120,483,635,809,906,239,711,814,935,1009
q3-rate50,69.001,24007,,24005,0,24004,124,515,662,805,905,281,740,831,954,1015
