Linux 6.6.30+ (kylin) 	2026年07月18日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分07秒   999     53199   22.00    6.00    0.00    0.00   28.00     1   1845.00      0.00 2682112  123680   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分08秒   999     53199  228.00   89.00    0.00    0.00  317.00     1  19915.00      0.00 2718348  153108   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分09秒   999     53199  236.00  105.00    0.00    0.00  341.00     1   6812.00      0.00 2714088  150600   0.46  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分10秒   999     53199  234.00  101.00    0.00    0.00  335.00     1   3789.00      0.00 2715992  152004   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分11秒   999     53199  214.00  108.00    0.00    0.00  322.00     1   3440.00      0.00 2714312  151968   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分12秒   999     53199  217.00  114.00    0.00    0.00  331.00     1   3184.00      0.00 2717384  153508   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分13秒   999     53199  229.00  102.00    0.00    0.00  331.00     1   3075.00      0.00 2716872  152256   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分14秒   999     53199  217.00  119.00    0.00    0.00  336.00     1   3010.00      0.00 2717384  153652   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分15秒   999     53199  238.00   95.00    0.00    0.00  333.00     1   3101.00      0.00 2716872  153112   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分16秒   999     53199  228.00  107.00    0.00    0.00  335.00     1   3088.00      0.00 2716360  152664   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分17秒   999     53199  222.00  103.00    0.00    0.00  325.00     1   2710.00      0.00 2717240  153236   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分18秒   999     53199  219.00  110.00    0.00    0.00  329.00     1   2058.00      0.00 2716584  153148   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分19秒   999     53199  216.00  115.00    0.00    0.00  331.00     1   2553.00      0.00 2716584  153380   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分20秒   999     53199  226.00   99.00    0.00    0.00  325.00     1    955.00      0.00 2716072  153252   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分21秒   999     53199  234.00   99.00    0.00    0.00  333.00     1   1740.00      0.00 2716952  152952   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分22秒   999     53199  219.00  113.00    0.00    0.00  332.00     1   1876.00      0.00 2717464  153916   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
23时37分23秒   999     53199  218.00  113.00    0.00    0.00  331.00     1   1781.00      0.00 2716440  153784   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
