Linux 6.6.30+ (kylin) 	2026年07月19日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时09分55秒   999     67000    3.00    1.00    0.00    0.00    4.00     2    105.00      0.00 2669112  118956   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时09分56秒   999     67000  206.00   56.00    0.00    0.00  262.00     2  44379.00      0.00 2728252  162668   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时09分57秒   999     67000  274.00  100.00    0.00    0.00  374.00     2  64926.00      0.00 2743404  171172   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时09分58秒   999     67000  260.00  112.00    0.00    0.00  372.00     2  10149.00      0.00 2742476  170524   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时09分59秒   999     67000  254.00  121.00    0.00    0.00  375.00     2   5744.00      0.00 2742892  170460   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分00秒   999     67000  260.00  104.00    0.00    0.00  364.00     2   2476.00      0.00 2741868  171348   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分01秒   999     67000  256.00  109.00    0.00    0.00  365.00     2   3028.00      0.00 2742012  171372   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分02秒   999     67000  261.00  106.00    0.00    0.00  367.00     2   2360.00      0.00 2740620  170972   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分03秒   999     67000  250.00  115.00    0.00    0.00  365.00     2   1787.00      0.00 2740812  170332   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分04秒   999     67000  252.00  110.00    0.00    0.00  362.00     2    916.00      0.00 2738764  170336   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分05秒   999     67000  254.00  106.00    0.00    0.00  360.00     2   1256.00      0.00 2739196  169824   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分06秒   999     67000  253.00  112.00    0.00    0.00  365.00     2    936.00      0.00 2739340  170396   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分07秒   999     67000  260.00  104.00    0.00    0.00  364.00     2    926.00      0.00 2739100  169372   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分08秒   999     67000  263.00  101.00    0.00    0.00  364.00     2    738.00      0.00 2736892  168956   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分09秒   999     67000  243.00  116.00    0.00    0.00  359.00     2    879.00      0.00 2735940  168156   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分10秒   999     67000  248.00  116.00    0.00    0.00  364.00     2    631.00      0.00 2736580  167960   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
00时10分11秒   999     67000  252.00  110.00    0.00    0.00  362.00     2   1127.00      0.00 2736948  168604   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
