id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,31796,,31697,0,31334,314,5366,9803,17390,19771,82,747,2497,5306,8657
warmup,2.000,56604,,56209,0,56802,328,5590,6715,17095,24484,134,7133,8062,9447,11803
warmup,3.000,64038,,64032,0,63792,2855,5209,5939,7634,9109,2051,7673,8384,9285,10041
warmup,4.000,62177,,62177,0,62327,2802,5037,5686,6644,8306,810,7623,8246,9382,11659
warmup,5.001,62365,,62365,0,62369,1914,5379,6375,7872,8721,986,7754,8520,9566,10627
warmup,6.000,63642,,63646,0,63788,2673,5277,6089,7502,8603,1259,7599,8330,9328,10013
warmup,7.000,63152,,63149,0,63050,2422,5401,6103,7224,8562,3313,7786,8573,9638,10111
warmup,8.000,63331,,63330,0,63224,2330,5182,5954,7538,8768,1124,7708,8386,9342,10625
warmup,9.000,64980,,64983,0,64881,1900,5178,6005,7337,8789,901,7445,8136,9123,9940
warmup,10.000,64268,,64265,0,64486,2966,5288,6107,7433,8497,3810,7537,8194,9232,10074
warmup,11.000,65960,,65960,0,65998,2867,5056,5815,6973,8573,3163,7374,8017,8957,9762
warmup,12.000,65609,,65620,0,65504,2702,5046,5715,6611,7420,2438,7394,7974,8936,9670
warmup,13.000,64252,,64249,0,64318,2228,5088,5914,7718,9619,2694,7493,8232,9246,9966
warmup,14.000,64361,,64353,0,64394,2767,5188,5949,7145,8668,2423,7533,8189,9119,9700
warmup,15.000,63845,,63858,0,63733,1988,5142,5868,6864,7331,3556,7696,8396,9310,10187
warmup,16.000,64196,,64183,0,64181,1975,5123,5899,7299,8279,2298,7558,8279,9330,10012
warmup,17.000,64203,,64203,0,64226,2653,5207,5955,7279,8245,3140,7566,8310,9104,9940
