Linux 6.6.30+ (kylin) 	2026年07月19日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分31秒   999     89505   30.00   12.00    0.00    0.00   42.00     3   1088.00      0.00 2677828  119228   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分32秒   999     89505  272.00   78.00    0.00    0.00  350.00     3  64075.00      0.00 2732436  157080   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分33秒   999     89505  278.00  103.00    0.00    0.00  381.00     3  53803.00      0.00 2732600  162024   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分34秒   999     89505  271.00  106.00    0.00    0.00  377.00     3   6840.00      0.00 2730476  160300   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分35秒   999     89505  269.00  109.00    0.00    0.00  378.00     3   4738.00      0.00 2730252  160616   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分36秒   999     89505  270.00  107.00    0.00    0.00  377.00     3   4319.00      0.00 2729792  161700   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分37秒   999     89505  270.00  104.00    0.00    0.00  374.00     3   4671.00      0.00 2726580  161056   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分38秒   999     89505  270.00  106.00    0.00    0.00  376.00     3   3278.00      0.00 2723960  159648   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分39秒   999     89505  263.00  115.00    0.00    0.00  378.00     3   3577.00      0.00 2722772  157656   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分40秒   999     89505  273.00  104.00    0.00    0.00  377.00     3   1922.00      0.00 2722088  158000   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分41秒   999     89505  281.00   98.00    0.00    0.00  379.00     3   1164.00      0.00 2720840  156428   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分42秒   999     89505  275.00  103.00    0.00    0.00  378.00     3   1018.00      0.00 2719756  155840   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分43秒   999     89505  274.00  104.00    0.00    0.00  378.00     3   1770.00      0.00 2718368  155036   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分44秒   999     89505  277.00   99.00    0.00    0.00  376.00     3   1402.00      0.00 2718288  154988   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分45秒   999     89505  279.00   99.00    0.00    0.00  378.00     3   1659.00      0.00 2716752  154540   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分46秒   999     89505  270.00  107.00    0.00    0.00  377.00     3   1489.00      0.00 2716896  154616   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时15分47秒   999     89505  266.00  111.00    0.00    0.00  377.00     3   1189.00      0.00 2716896  154148   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
