id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q4-join-late,1.001,1836,,1836,0,0,0,0,0,0,0,202,366,1734,3467,4316
q4-join-late,2.000,18210,,18199,0,0,0,0,0,0,0,224,547,647,1022,1575
q4-join-late,3.000,10009,,10020,0,0,0,0,0,0,0,192,517,544,585,927
q4-join-late,4.000,10013,,10013,0,0,0,0,0,0,0,204,515,541,583,652
q4-join-late,5.000,10006,,10006,0,0,0,0,0,0,0,190,512,537,569,609
q4-join-late,6.000,10015,,10005,0,0,0,0,0,0,0,417,515,538,572,594
q4-join-late,7.000,10000,,10010,0,0,0,0,0,0,0,257,513,539,571,594
q4-join-late,8.000,10022,,10010,0,0,0,0,0,0,0,414,519,542,577,598
q4-join-late,9.000,10009,,10010,0,0,0,0,0,0,0,380,518,542,576,600
q4-join-late,10.000,10004,,10015,0,0,0,0,0,0,0,197,514,540,579,608
q4-join-late,11.000,10007,,9995,0,0,0,0,0,0,0,189,519,543,573,601
q4-join-late,12.000,10014,,10015,0,0,0,0,0,0,0,409,513,536,576,625
q4-join-late,13.000,10012,,10014,0,0,0,0,0,0,0,410,513,537,571,600
q4-join-late,14.000,10004,,10013,0,0,0,0,0,0,0,378,516,539,571,598
q4-join-late,15.000,10017,,10007,0,0,0,0,0,0,0,194,504,536,568,745
q4-join-late,16.000,10005,,10003,0,0,0,0,0,0,0,301,517,542,578,612
q4-join-late,17.000,10001,,10013,0,0,0,0,0,0,0,403,516,538,573,601
q4-join-late,18.000,10013,,10013,0,0,0,0,0,0,0,411,518,544,579,612
q4-join-late,19.000,10003,,10003,0,0,0,0,0,0,0,412,517,541,575,609
q4-join-late,20.000,10023,,10011,0,0,0,0,0,0,0,209,513,538,570,594
q4-join-late,21.000,9999,,10011,0,0,0,0,0,0,0,417,514,537,570,595
q4-join-late,22.000,10012,,10012,0,0,0,0,0,0,0,423,511,537,572,599
q4-join-late,23.000,10015,,10012,0,0,0,0,0,0,0,397,513,537,568,590
q4-join-late,24.000,10012,,10004,0,0,0,0,0,0,0,402,512,537,569,598
q4-join-late,25.000,9999,,10010,0,0,0,0,0,0,0,198,516,540,577,609
q4-join-late,26.000,10012,,10012,0,0,0,0,0,0,0,415,517,541,576,600
q4-join-late,27.000,10021,,10010,0,0,0,0,0,0,0,397,513,539,572,594
q4-join-late,28.000,10000,,10008,0,0,0,0,0,0,0,407,513,536,575,603
q4-join-late,29.000,10020,,10011,0,0,0,0,0,0,0,416,515,538,573,596
q4-join-late,30.000,10008,,10020,0,0,0,0,0,0,0,303,517,540,573,601
q4-join-late,31.000,10006,,10006,0,0,0,0,0,0,0,400,512,536,572,591
q4-join-late,32.000,10020,,10008,0,0,0,0,0,0,0,419,514,537,574,602
q4-join-late,33.000,10016,,10016,0,0,0,0,0,0,0,187,514,540,579,607
q4-join-late,34.000,10003,,10004,0,0,0,0,0,0,0,406,513,539,574,616
q4-join-late,35.000,10007,,10018,0,0,0,0,0,0,0,200,511,537,571,590
q4-join-late,36.000,10016,,10016,0,0,0,0,0,0,0,411,511,534,570,595
q4-join-late,37.000,10009,,10000,0,0,0,0,0,0,0,378,512,537,569,598
q4-join-late,38.000,10014,,10023,0,0,0,0,0,0,0,405,512,535,563,587
q4-join-late,39.000,10003,,10003,0,0,0,0,0,0,0,404,513,538,566,590
q4-join-late,40.000,10017,,10017,0,0,0,0,0,0,0,186,499,530,566,587
q4-join-late,41.000,10002,,10002,0,0,0,0,0,0,0,318,514,541,575,608
q4-join-late,42.000,10016,,10016,0,0,0,0,0,0,0,406,516,539,578,610
q4-join-late,43.000,10003,,10003,0,0,0,0,0,0,0,389,513,538,576,603
q4-join-late,44.000,10013,,10013,0,0,0,0,0,0,0,410,512,537,569,588
q4-join-late,45.000,10009,,10009,0,0,0,0,0,0,0,192,516,540,571,591
q4-join-late,46.000,10008,,9997,0,0,0,0,0,0,0,418,514,539,575,602
q4-join-late,47.000,9998,,10009,0,0,0,0,0,0,0,415,515,539,571,608
q4-join-late,48.000,10020,,10020,0,0,0,0,0,0,0,409,516,539,572,599
