Linux 6.6.30+ (kylin) 	2026年07月19日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时31分55秒   999     93643   22.00    6.00    0.00    0.00   28.00     2    308.00      0.00 2669948  119324   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时31分56秒   999     93643   46.00   13.00    0.00    0.00   59.00     2     15.00      0.00 2669548  119452   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时31分57秒   999     93643   42.00   13.00    0.00    0.00   55.00     2      0.00      0.00 2668596  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时31分58秒   999     93643   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2668596  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时31分59秒   999     93643   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2668596  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分00秒   999     93643   42.00   13.00    0.00    0.00   55.00     2     25.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分01秒   999     93643   39.00   16.00    0.00    0.00   55.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分02秒   999     93643   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分03秒   999     93643   40.00   14.00    0.00    0.00   54.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分04秒   999     93643   41.00   14.00    0.00    0.00   55.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分05秒   999     93643   48.00    6.00    0.00    0.00   54.00     2     11.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分06秒   999     93643   45.00   10.00    0.00    0.00   55.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分07秒   999     93643   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分08秒   999     93643   40.00   14.00    0.00    0.00   54.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分09秒   999     93643   44.00    9.00    0.00    0.00   53.00     2      0.00      0.00 2668340  118952   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分10秒   999     93643   42.00   15.00    0.00    0.00   57.00     2     26.00      0.00 2668340  119080   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时32分11秒   999     93643   40.00   14.00    0.00    0.00   54.00     2     15.00      0.00 2668852  119208   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
