Linux 6.6.30+ (kylin) 	2026年07月19日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分18秒   999     97734    3.00    0.00    0.00    0.00    3.00     1     19.00      0.00 2668116  117580   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分19秒   999     97734   61.00   20.00    0.00    0.00   81.00     1    266.00      0.00 2669140  117756   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分20秒   999     97734   42.00   13.00    0.00    0.00   55.00     1    103.00      0.00 2668628  117756   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分21秒   999     97734   43.00   11.00    0.00    0.00   54.00     1     27.00      0.00 2668628  117884   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分22秒   999     97734   44.00   11.00    0.00    0.00   55.00     1      9.00      0.00 2668628  117884   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分23秒   999     97734   44.00   11.00    0.00    0.00   55.00     1     34.00      0.00 2668628  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分24秒   999     97734   45.00   10.00    0.00    0.00   55.00     1      2.00      0.00 2668628  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分25秒   999     97734   46.00    8.00    0.00    0.00   54.00     1      0.00      0.00 2668628  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分26秒   999     97734   43.00   12.00    0.00    0.00   55.00     1     16.00      0.00 2668628  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分27秒   999     97734   43.00   12.00    0.00    0.00   55.00     1      0.00      0.00 2668628  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分28秒   999     97734   43.00   12.00    0.00    0.00   55.00     1     55.00      0.00 2668628  117756   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分29秒   999     97734   46.00    9.00    0.00    0.00   55.00     1     12.00      0.00 2668628  117756   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分30秒   999     97734   44.00   11.00    0.00    0.00   55.00     1      6.00      0.00 2668116  117756   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分31秒   999     97734   42.00   12.00    0.00    0.00   54.00     1     34.00      0.00 2668628  117756   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分32秒   999     97734   45.00    9.00    0.00    0.00   54.00     1     10.00      0.00 2668628  117756   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分33秒   999     97734   45.00   11.00    0.00    0.00   56.00     1     93.00      0.00 2668628  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
01时48分34秒   999     97734   43.00   11.00    0.00    0.00   54.00     1      5.00      0.00 2668628  118012   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
