id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.001,32528,,32028,0,31695,182,6336,10968,23217,28544,100,1519,4183,12540,17022
warmup,2.000,59674,,59693,0,60165,2587,6581,7978,20204,25963,225,7401,8261,9877,12809
warmup,3.000,64996,,64977,0,64950,2135,5275,6066,7249,8723,2525,7545,8165,8984,9705
warmup,4.000,64714,,64815,0,64831,2259,5190,5893,7342,8336,3243,7407,8070,9245,9943
warmup,5.000,64887,,64786,0,64834,2545,5129,5753,6820,7757,3515,7443,8094,9259,9863
warmup,6.000,65400,,65414,0,65252,2073,5155,5889,7761,10014,3734,7335,7975,8935,9802
warmup,7.000,64941,,64936,0,65108,2382,5181,5968,7582,8752,1770,7379,7989,8935,10120
warmup,8.000,61637,,61628,0,61673,2278,5267,5897,7472,9578,1636,7846,8568,9711,10340
warmup,9.000,64934,,64951,0,64922,464,5086,5704,6737,7586,777,7460,8126,9104,10223
warmup,10.000,64313,,64328,0,64329,2526,5287,6289,8105,9173,3005,7441,8237,9615,10365
warmup,11.000,63594,,63562,0,63512,2217,5210,5925,7360,8876,542,7503,8217,9164,10376
warmup,12.000,64601,,64740,0,64639,2782,5470,6332,7879,8581,2770,7432,8130,9246,10475
warmup,13.000,64344,,64205,0,64183,2489,5185,5890,7533,9156,1821,7574,8250,9209,9764
warmup,14.000,63335,,63336,0,63439,2864,5335,6181,7515,8539,3109,7619,8335,9328,10270
warmup,15.000,61503,,61506,0,61565,2815,5185,5923,7052,7835,3497,7947,8688,9697,10409
warmup,16.000,61385,,61381,0,61318,2582,5397,6229,7404,8984,2999,7924,8907,9930,10450
warmup,17.000,62866,,62895,0,62782,2541,5337,6152,7766,9077,3210,7764,8379,9526,10680
warmup,18.000,63731,,63702,0,63936,2753,5330,6208,7748,8990,3032,7555,8281,9281,10172
warmup,19.000,64251,,64251,0,64139,2488,5363,6135,7353,8157,2679,7558,8204,9191,10056
warmup,20.000,64416,,64416,0,64456,2696,5435,6106,7394,8281,2730,7552,8273,9340,9945
warmup,21.000,64095,,64097,0,64123,2755,5359,6211,7467,8610,3243,7507,8220,9378,10137
warmup,22.000,64076,,64077,0,63961,2532,5366,6271,8155,9320,3814,7601,8229,9377,10512
warmup,23.000,64537,,64534,0,64545,2039,5170,5857,6937,7792,2626,7475,8170,9265,9965
warmup,24.000,62731,,62777,0,62749,1868,5426,6250,7675,8636,4009,7803,8469,9692,10722
warmup,25.000,63828,,63806,0,63752,2179,5446,6469,8244,8865,3277,7486,8340,9466,10086
warmup,26.000,62640,,62623,0,62805,2544,5116,5743,7035,8220,3538,7731,8500,9589,10476
