id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
warmup,1.002,32552,,32358,0,32074,163,4858,15762,30972,32971,78,2090,4362,11508,16181
warmup,2.001,55225,,54919,0,55346,231,6439,9599,23181,28276,145,6810,8083,10069,15729
warmup,3.001,62782,,62798,0,62796,2498,5359,6113,7559,8345,2036,7752,8550,9798,10468
warmup,4.001,61934,,61918,0,61928,2111,5352,6192,7558,9160,765,7792,8505,9838,10722
warmup,5.001,59560,,59680,0,59563,2368,5490,6358,8018,9874,374,7912,8807,9993,11253
warmup,6.001,62931,,62811,0,62912,2986,5490,6370,7883,9707,3358,7807,8514,9707,10371
warmup,7.001,62069,,62094,0,62121,2594,5170,5932,7583,8970,4222,7701,8510,9769,11033
warmup,8.001,61048,,61047,0,60925,2298,5188,5891,7640,9338,4459,8007,8930,9917,10270
warmup,9.001,61417,,61393,0,61458,2444,5454,6271,8127,9517,2771,7957,8830,9897,10693
warmup,10.001,61737,,61737,0,61872,2456,5601,6426,7784,8959,1511,7887,8639,9708,10411
warmup,11.001,61912,,61913,0,61671,2196,5521,6321,9278,11010,1075,7825,8610,9627,10325
warmup,12.001,61146,,61145,0,61308,1972,5472,6187,7402,8437,3036,7995,8715,9824,10619
warmup,13.001,60611,,60641,0,60590,2361,5373,6190,7597,8672,3833,8124,8897,9993,11047
warmup,14.001,61205,,61175,0,61290,1870,5216,5772,6809,7602,1280,7929,8637,9793,10591
warmup,15.001,61880,,61880,0,61894,3128,5264,6106,7491,8529,2666,7808,8531,9653,10184
warmup,16.001,63404,,63404,0,63320,3185,5292,5886,7404,8883,2729,7628,8365,9724,10378
warmup,17.001,63398,,63398,0,63355,3028,5540,6580,8024,9294,3467,7683,8414,9649,10397
warmup,18.001,62824,,62824,0,62909,2664,5199,5858,6925,7790,3967,7759,8470,9489,10016
warmup,19.001,61421,,61438,0,61418,2739,5360,6045,6957,7509,4455,7972,8808,9794,10391
warmup,20.001,60987,,60972,0,60960,2862,5551,6408,8063,9279,3608,7750,8580,9616,31028
warmup,21.001,62906,,62904,0,62850,2932,5205,5906,7020,8536,3744,7755,8518,9471,10196
warmup,22.001,63885,,63885,0,63959,2861,5463,6462,8065,9023,4202,7510,8317,9740,10617
warmup,23.001,63449,,63450,0,63428,2590,5285,5981,7526,8600,2978,7753,8332,9215,9992
warmup,24.001,61226,,61225,0,61250,2971,5125,5771,6994,7885,3137,7974,8700,9714,10184
warmup,25.001,62156,,62167,0,62052,2767,5392,6261,8063,9423,4324,7802,8637,9587,10439
warmup,26.001,63295,,63293,0,63408,2326,5168,5791,6827,8289,3499,7617,8464,9558,10189
warmup,27.001,62758,,62749,0,62799,2089,5310,5951,7458,8485,1582,7754,8498,9621,10324
warmup,28.001,62630,,62630,0,62546,2757,5412,6244,8103,9171,3663,7749,8589,9726,10337
warmup,29.001,61695,,61772,0,61693,2786,5426,6393,8248,9198,3263,7860,8718,9971,10706
warmup,30.001,61575,,61511,0,61654,2377,5165,5899,8280,9934,4961,7953,8735,9820,10392
warmup,31.001,62724,,62711,0,62654,2595,5275,5922,7068,7967,3289,7810,8549,9523,10091
warmup,32.001,63378,,63389,0,63434,2368,5738,6732,8810,10050,3267,7718,8423,9706,10313
warmup,33.001,61716,,61705,0,61837,3184,5272,6104,7194,8008,1163,7735,8514,9663,10412
warmup,34.001,61173,,61263,0,60993,2252,5282,5966,7267,8173,3629,8005,8801,9722,10368
warmup,35.001,61270,,61180,0,61256,2666,5369,6112,7347,8474,2708,7884,8687,10006,11161
warmup,36.001,59790,,59790,0,59868,3246,5443,6472,33011,36710,4181,7888,8856,10305,12490
warmup,37.001,61684,,61780,0,61670,2985,5365,5955,7501,10173,3507,7919,8741,9845,10305
warmup,38.001,60446,,60410,0,60377,3234,5421,6106,7134,7817,4207,8126,8887,9983,10638
warmup,39.001,62527,,62482,0,62516,2754,5213,6046,7940,9222,3429,7751,8502,9514,10260
warmup,40.001,62022,,62014,0,62095,2961,5481,6255,7657,8647,3897,7798,8591,9892,10457
warmup,41.001,62158,,62158,0,62131,2866,5608,6616,8251,9185,2996,7766,8514,9751,10949
warmup,42.001,62333,,62336,0,62413,2753,5311,6019,7083,8425,3586,7674,8602,9763,10485
warmup,43.001,60378,,60369,0,60237,2895,5254,5913,7389,9346,3857,8147,8897,9796,10474
