Linux 6.6.30+ (kylin) 	2026年07月19日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分25秒   999    104160   55.00   11.00    0.00    0.00   66.00     1    279.00      0.00 2669208  123756   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分26秒   999    104160  178.00   37.00    0.00    0.00  215.00     1  54227.00      0.00 2708240  156604   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分27秒   999    104160  181.00   34.00    0.00    0.00  215.00     1  78752.00      0.00 2715620  160220   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分28秒   999    104160  180.00   37.00    0.00    0.00  217.00     1  81731.00      0.00 2717348  159248   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分29秒   999    104160  178.00   37.00    0.00    0.00  215.00     1  79785.00      0.00 2721512  163224   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分30秒   999    104160  177.00   38.00    0.00    0.00  215.00     1  81936.00      0.00 2717536  161348   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分31秒   999    104160  178.00   37.00    0.00    0.00  215.00     1  81274.00      0.00 2722780  163988   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分32秒   999    104160  176.00   34.00    0.00    0.00  210.00     1  80062.00      0.00 2717400  164080   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分33秒   999    104160  179.00   36.00    0.00    0.00  215.00     1  73622.00      0.00 2715676  161044   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分34秒   999    104160  184.00   31.00    0.00    0.00  215.00     1  83609.00      0.00 2721332  160992   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分35秒   999    104160  179.00   34.00    0.00    0.00  213.00     1  76708.00      0.00 2715572  159604   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分36秒   999    104160  177.00   37.00    0.00    0.00  214.00     1  84712.00      0.00 2728100  164664   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分37秒   999    104160  174.00   37.00    0.00    0.00  211.00     1  74370.00      0.00 2726968  165780   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分38秒   999    104160  182.00   35.00    0.00    0.00  217.00     1  83444.00      0.00 2723572  162516   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分39秒   999    104160  175.00   40.00    0.00    0.00  215.00     1  76522.00      0.00 2717496  162540   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分40秒   999    104160  189.00   31.00    0.00    0.00  220.00     1  71887.00      0.00 2719600  163368   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时07分41秒   999    104160  175.00   40.00    0.00    0.00  215.00     1  71829.00      0.00 2716948  160996   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
