Linux 6.6.30+ (kylin) 	2026年07月19日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分09秒   999    110937   60.00   11.00    0.00    0.00   71.00     0   1789.00      0.00 2679276  126176   0.39  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分10秒   999    110937  173.00   40.00    0.00    0.00  213.00     0  60323.00      0.00 2713212  151776   0.47  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分11秒   999    110937  174.00   39.00    0.00    0.00  213.00     0  87672.00      0.00 2719264  155700   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分12秒   999    110937  180.00   34.00    0.00    0.00  214.00     0  82771.00      0.00 2716736  156700   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分13秒   999    110937  182.00   35.00    0.00    0.00  217.00     0  87322.00      0.00 2721028  157264   0.48  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分14秒   999    110937  177.00   42.00    0.00    0.00  219.00     0  80769.00      0.00 2723144  161948   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分15秒   999    110937  184.00   33.00    0.00    0.00  217.00     0  74406.00      0.00 2721840  159256   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分16秒   999    110937  183.00   34.00    0.00    0.00  217.00     0  75601.00      0.00 2720572  160184   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分17秒   999    110937  181.00   37.00    0.00    0.00  218.00     0  81675.00      0.00 2722948  160832   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分18秒   999    110937  182.00   36.00    0.00    0.00  218.00     0  78405.00      0.00 2724948  157948   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分19秒   999    110937  179.00   39.00    0.00    0.00  218.00     0  76532.00      0.00 2718076  158488   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分20秒   999    110937  180.00   37.00    0.00    0.00  217.00     0  90709.00      0.00 2721696  160068   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分21秒   999    110937  175.00   34.00    0.00    0.00  209.00     0  78573.00      0.00 2725884  159556   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分22秒   999    110937  176.00   38.00    0.00    0.00  214.00     0  77734.00      0.00 2721612  159532   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分23秒   999    110937  185.00   34.00    0.00    0.00  219.00     0  77805.00      0.00 2732972  162264   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分24秒   999    110937  182.00   36.00    0.00    0.00  218.00     0  79991.00      0.00 2720068  158176   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
02时10分25秒   999    110937  180.00   35.00    0.00    0.00  215.00     0  75788.00      0.00 2724868  161612   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
