id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-drain,1.001,,,,,80952,18117977,18335390,18427646,18519906,18583176,,,,,
q5-drain,2.000,,,,,87977,17657298,17919251,18000965,18083549,18116756,,,,,
q5-drain,3.000,,,,,73839,17392746,17589268,17621957,17644649,17654355,,,,,
q5-drain,4.000,,,,,85067,16936965,17188645,17301905,17385070,17392678,,,,,
q5-drain,5.000,,,,,89344,16403503,16673871,16821110,16916947,16934939,,,,,
q5-drain,6.000,,,,,85918,15939437,16152626,16242164,16380118,16399866,,,,,
q5-drain,7.000,,,,,91555,15419980,15686917,15819377,15912617,15928371,,,,,
q5-drain,8.000,,,,,84252,14992139,15245027,15352948,15395250,15411014,,,,,
q5-drain,9.000,,,,,79748,14630158,14796893,14927626,14964824,14979689,,,,,
q5-drain,10.000,,,,,77529,14309921,14524812,14589309,14633325,14641171,,,,,
q5-drain,11.000,,,,,83809,13917957,14131140,14198127,14300702,14309681,,,,,
q5-drain,12.000,,,,,80445,13495576,13711554,13840682,13914331,13918959,,,,,
