id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-fill,1.001,52226,,51727,0,,,,,,,252,1188,4780,8264,9834
q5-fill,2.001,59730,,59730,0,,,,,,,338,6850,8173,11328,12756
q5-fill,3.001,60586,,60586,0,,,,,,,419,6870,8225,11441,12789
q5-fill,4.001,58666,,58770,0,,,,,,,502,6792,9116,12171,13649
q5-fill,5.001,58842,,58738,0,,,,,,,424,6834,8357,11453,13601
q5-fill,6.001,57642,,57746,0,,,,,,,460,7237,8848,12146,13681
q5-fill,7.001,57732,,57918,0,,,,,,,297,7065,8889,12236,13700
q5-fill,8.001,57899,,57609,0,,,,,,,605,7031,9387,12510,20063
q5-fill,9.001,60895,,60895,0,,,,,,,491,6771,8131,11139,13578
q5-fill,10.001,59744,,59804,0,,,,,,,566,7125,8410,11573,13313
q5-fill,11.001,59822,,59762,0,,,,,,,346,6729,8028,11370,13410
q5-fill,12.001,58546,,58550,0,,,,,,,455,7202,8652,11898,13467
q5-fill,13.001,58431,,58427,0,,,,,,,323,7336,8754,12215,13637
q5-fill,14.001,58888,,59045,0,,,,,,,700,7264,8591,11820,13256
q5-fill,15.001,59298,,59141,0,,,,,,,461,6868,8392,11764,13263
q5-fill,16.001,60103,,60103,0,,,,,,,541,7016,8273,11424,13003
q5-fill,17.001,59066,,59214,0,,,,,,,570,7024,8901,11883,13221
