Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分42秒   999     91459   20.00   11.00    0.00    0.00   31.00     3    806.00      0.00 2672832  120632   0.37  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分43秒   999     91459  211.00   69.00    0.00    0.00  280.00     3  36213.00      0.00 2727708  161648   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分44秒   999     91459  221.00  114.00    0.00    0.00  335.00     3   6114.00      0.00 2725604  160788   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分45秒   999     91459  219.00  109.00    0.00    0.00  328.00     3   3698.00      0.00 2723460  159772   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分46秒   999     91459  209.00  110.00    0.00    0.00  319.00     3   3219.00      0.00 2723752  159644   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分47秒   999     91459  220.00  102.00    0.00    0.00  322.00     3   1771.00      0.00 2720496  159260   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分48秒   999     91459  225.00   99.00    0.00    0.00  324.00     3   1896.00      0.00 2718368  158680   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分49秒   999     91459  220.00  108.00    0.00    0.00  328.00     3   1959.00      0.00 2720928  159508   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分50秒   999     91459  224.00   98.00    0.00    0.00  322.00     3   1870.00      0.00 2720176  159168   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分51秒   999     91459  217.00  111.00    0.00    0.00  328.00     3   2015.00      0.00 2718640  158908   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分52秒   999     91459  225.00  102.00    0.00    0.00  327.00     3   1837.00      0.00 2718640  159104   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分53秒   999     91459  226.00  102.00    0.00    0.00  328.00     3   1765.00      0.00 2719008  159720   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分54秒   999     91459  228.00   95.00    0.00    0.00  323.00     3   1441.00      0.00 2719792  159932   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分55秒   999     91459  223.00  105.00    0.00    0.00  328.00     3   1043.00      0.00 2720304  160536   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分56秒   999     91459  225.00  101.00    0.00    0.00  326.00     3   1109.00      0.00 2717888  159344   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分57秒   999     91459  229.00   90.00    0.00    0.00  319.00     3   1166.00      0.00 2719424  159256   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
15时29分58秒   999     91459  227.00   94.00    0.00    0.00  321.00     3   1378.00      0.00 2719936  160436   0.49  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
