id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q3-rate70,1.001,23589,,21984,0,22978,123,2858,10102,25130,34240,216,3296,11413,34605,48590
q3-rate70,2.000,43979,,45558,0,44572,150,7339,30465,86678,103868,301,6547,29957,66608,76017
q3-rate70,3.000,33621,,33626,0,33632,124,506,685,1050,2683,287,781,937,1562,3543
q3-rate70,4.000,33636,,33636,0,33626,134,568,786,1209,2211,240,865,1062,1720,2264
q3-rate70,5.000,33584,,33587,0,33592,125,429,574,836,1620,236,683,833,1238,2021
q3-rate70,6.000,33601,,33588,0,33598,123,529,707,1120,1695,270,768,990,1539,2003
q3-rate70,7.000,33624,,33628,0,33619,109,363,487,912,3360,267,594,734,1219,3632
q3-rate70,8.000,33624,,33629,0,33629,118,380,526,914,2174,241,631,791,1302,2792
q3-rate70,9.000,33612,,33593,0,33590,127,547,747,1014,1323,276,834,996,1450,1978
q3-rate70,10.000,33612,,33636,0,33643,127,458,654,1234,2236,256,719,977,1699,3127
q3-rate70,11.000,33610,,33594,0,33591,123,565,743,986,2830,281,801,949,1385,1956
q3-rate70,12.000,33582,,33598,0,33588,123,442,595,842,1080,244,692,863,1221,1906
q3-rate70,13.000,33640,,33629,0,33633,128,480,679,1037,2122,269,763,937,1458,2338
q3-rate70,14.000,33593,,33592,0,33589,114,512,707,975,1183,267,783,943,1333,1827
q3-rate70,15.000,33587,,33609,0,33610,120,490,657,1046,3372,257,719,881,1396,3231
q3-rate70,16.000,33638,,33616,0,33619,123,562,731,950,1464,242,802,930,1206,2062
q3-rate70,17.000,33616,,33620,0,33631,120,589,776,1048,1437,288,856,1007,1532,2105
q3-rate70,18.000,33602,,33604,0,33592,133,549,731,1035,1688,274,800,950,1412,2798
q3-rate70,19.000,33629,,33631,0,33632,140,541,724,1119,1830,285,797,1020,1561,3275
q3-rate70,20.000,33643,,33626,0,33625,128,480,649,952,1739,274,735,876,1196,2110
q3-rate70,21.000,33619,,33633,0,33636,120,534,709,910,1096,293,805,930,1233,2061
q3-rate70,22.000,33600,,33588,0,33590,133,530,707,971,1302,220,791,934,1273,1889
q3-rate70,23.000,33630,,33630,0,33626,117,542,708,956,1841,239,775,911,1193,2759
q3-rate70,24.000,33617,,33641,0,33640,133,572,740,1012,1389,295,827,979,1355,1985
q3-rate70,25.000,33602,,33582,0,33593,128,543,748,1126,3398,236,779,956,1618,3988
q3-rate70,26.000,33589,,33592,0,33584,116,495,694,1036,1402,266,744,910,1270,2035
q3-rate70,27.000,33625,,33643,0,33637,127,526,734,1119,4940,269,805,983,1773,7337
q3-rate70,28.000,33603,,33576,0,33587,122,520,712,935,1119,282,783,919,1183,1629
q3-rate70,29.000,33586,,33600,0,33604,133,570,749,1066,3481,245,809,940,1406,2123
q3-rate70,30.000,33636,,33624,0,33615,117,511,691,972,2023,273,750,895,1172,1924
q3-rate70,31.000,33594,,33604,0,33608,108,543,708,946,1408,259,791,919,1312,2051
q3-rate70,32.000,33626,,33627,0,33627,121,568,767,1199,1564,287,837,1080,1600,2119
q3-rate70,33.000,33630,,33614,0,33624,130,599,807,1209,1654,280,936,1191,1852,2328
q3-rate70,34.000,33593,,33601,0,33598,120,642,840,1141,1475,284,920,1137,1713,2112
q3-rate70,35.000,33628,,33636,0,33628,139,756,948,1287,1933,299,1020,1278,1936,2660
q3-rate70,36.000,33595,,33610,0,33601,108,651,846,1400,5678,270,898,1104,1849,3210
