Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分29秒   999    114224   43.00   15.00    0.00    0.00   58.00     3   1715.00      0.00 2679216  123256   0.38  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分30秒   999    114224  249.00   76.00    0.00    0.00  325.00     3  48606.00      0.00 2757520  182896   0.56  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分31秒   999    114224  293.00   86.00    0.00    0.00  379.00     3  80775.00      0.00 2742024  173480   0.53  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分32秒   999    114224  276.00  101.00    0.00    0.00  377.00     3   4850.00      0.00 2737720  171024   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分33秒   999    114224  273.00  104.00    0.00    0.00  377.00     3   4213.00      0.00 2736792  170740   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分34秒   999    114224  275.00  102.00    0.00    0.00  377.00     3   2610.00      0.00 2737160  170536   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分35秒   999    114224  282.00   96.00    0.00    0.00  378.00     3   1555.00      0.00 2736056  170348   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分36秒   999    114224  268.00  109.00    0.00    0.00  377.00     3   1366.00      0.00 2735224  170004   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分37秒   999    114224  265.00  113.00    0.00    0.00  378.00     3   1130.00      0.00 2735880  170104   0.52  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分38秒   999    114224  274.00  102.00    0.00    0.00  376.00     3   1439.00      0.00 2733732  167512   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分39秒   999    114224  277.00  103.00    0.00    0.00  380.00     3   3129.00      0.00 2732388  166724   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分40秒   999    114224  276.00  102.00    0.00    0.00  378.00     3   1710.00      0.00 2732820  166940   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分41秒   999    114224  270.00  108.00    0.00    0.00  378.00     3   1658.00      0.00 2729748  166376   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分42秒   999    114224  268.00  109.00    0.00    0.00  377.00     3   1170.00      0.00 2731204  166276   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分43秒   999    114224  267.00  112.00    0.00    0.00  379.00     3   1008.00      0.00 2729588  165320   0.51  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分44秒   999    114224  264.00  114.00    0.00    0.00  378.00     3   1106.00      0.00 2727332  164908   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
16时43分45秒   999    114224  282.00   96.00    0.00    0.00  378.00     3   1674.00      0.00 2726228  163348   0.50  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
