id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q4-join-late,1.001,5371,,5355,0,0,0,0,0,0,0,217,376,499,2058,3058
q4-join-late,2.000,14670,,14675,0,0,0,0,0,0,0,240,549,604,757,1615
q4-join-late,3.000,10009,,10020,0,0,0,0,0,0,0,271,541,566,600,632
q4-join-late,4.000,10011,,10011,0,0,0,0,0,0,0,427,548,571,601,651
q4-join-late,5.000,10019,,10007,0,0,0,0,0,0,0,245,533,559,600,672
q4-join-late,6.000,10002,,10002,0,0,0,0,0,0,0,413,533,556,591,627
q4-join-late,7.000,10010,,10022,0,0,0,0,0,0,0,439,533,557,591,621
q4-join-late,8.000,10005,,9994,0,0,0,0,0,0,0,364,535,560,593,613
q4-join-late,9.000,9996,,10007,0,0,0,0,0,0,0,423,532,557,587,613
q4-join-late,10.000,10020,,10009,0,0,0,0,0,0,0,221,523,551,584,694
q4-join-late,11.000,10008,,10019,0,0,0,0,0,0,0,417,531,555,586,631
q4-join-late,12.000,10007,,9996,0,0,0,0,0,0,0,278,532,555,586,611
q4-join-late,13.000,10003,,10003,0,0,0,0,0,0,0,196,527,550,583,629
q4-join-late,14.000,10009,,10020,0,0,0,0,0,0,0,399,528,551,583,609
q4-join-late,15.000,10012,,10012,0,0,0,0,0,0,0,224,529,553,592,873
q4-join-late,16.000,9998,,9998,0,0,0,0,0,0,0,431,534,554,584,610
q4-join-late,17.000,10007,,10007,0,0,0,0,0,0,0,438,537,557,586,606
q4-join-late,18.000,10005,,9994,0,0,0,0,0,0,0,432,535,556,585,604
q4-join-late,19.000,10012,,10012,0,0,0,0,0,0,0,416,528,550,579,602
q4-join-late,20.000,10013,,10013,0,0,0,0,0,0,0,219,523,551,585,611
q4-join-late,21.000,9997,,10008,0,0,0,0,0,0,0,419,528,551,580,602
q4-join-late,22.000,10008,,9997,0,0,0,0,0,0,0,425,532,555,585,608
q4-join-late,23.000,10010,,10012,0,0,0,0,0,0,0,439,537,561,591,618
q4-join-late,24.000,10003,,10001,0,0,0,0,0,0,0,408,532,555,583,605
q4-join-late,25.000,10014,,10013,0,0,0,0,0,0,0,249,532,554,591,637
q4-join-late,26.000,9994,,10006,0,0,0,0,0,0,0,425,530,552,584,608
q4-join-late,27.000,10013,,10013,0,0,0,0,0,0,0,441,535,557,587,604
q4-join-late,28.000,10012,,10012,0,0,0,0,0,0,0,418,531,554,586,604
q4-join-late,29.000,10011,,10001,0,0,0,0,0,0,0,424,531,553,582,604
q4-join-late,30.000,10005,,10015,0,0,0,0,0,0,0,222,527,549,580,607
q4-join-late,31.000,10003,,10003,0,0,0,0,0,0,0,428,529,551,580,613
q4-join-late,32.000,10010,,9998,0,0,0,0,0,0,0,258,531,554,584,616
q4-join-late,33.000,10003,,10003,0,0,0,0,0,0,0,434,534,556,585,607
q4-join-late,34.000,9995,,10007,0,0,0,0,0,0,0,430,531,553,585,609
q4-join-late,35.000,10015,,10005,0,0,0,0,0,0,0,235,532,555,589,608
q4-join-late,36.000,10017,,10015,0,0,0,0,0,0,0,444,537,561,591,609
q4-join-late,37.000,9993,,10005,0,0,0,0,0,0,0,430,537,561,588,616
q4-join-late,38.000,10020,,10009,0,0,0,0,0,0,0,430,533,557,588,608
q4-join-late,39.000,10002,,10002,0,0,0,0,0,0,0,434,536,560,591,618
q4-join-late,40.000,10007,,10018,0,0,0,0,0,0,0,229,534,557,588,611
q4-join-late,41.000,10013,,10013,0,0,0,0,0,0,0,433,533,555,588,610
q4-join-late,42.000,10010,,10010,0,0,0,0,0,0,0,423,533,556,591,651
q4-join-late,43.000,10010,,9999,0,0,0,0,0,0,0,434,532,555,588,612
q4-join-late,44.000,10011,,10011,0,0,0,0,0,0,0,436,534,555,590,613
q4-join-late,45.000,10009,,10020,0,0,0,0,0,0,0,258,537,561,600,625
q4-join-late,46.000,10009,,9998,0,0,0,0,0,0,0,235,535,557,588,611
q4-join-late,47.000,9992,,10003,0,0,0,0,0,0,0,436,541,562,590,613
q4-join-late,48.000,10012,,10012,0,0,0,0,0,0,0,442,537,558,589,620
q4-join-late,49.000,10014,,10014,0,0,0,0,0,0,0,442,536,560,589,606
q4-join-late,50.000,10017,,10006,0,0,0,0,0,0,0,204,531,555,589,613
q4-join-late,51.000,10004,,10003,0,0,0,0,0,0,0,424,531,557,587,611
q4-join-late,52.000,10007,,10019,0,0,0,0,0,0,0,409,537,558,587,611
q4-join-late,53.000,10006,,9995,0,0,0,0,0,0,0,433,533,556,588,610
q4-join-late,54.000,10011,,10012,0,0,0,0,0,0,0,286,521,545,574,1864
q4-join-late,55.000,10010,,10020,0,0,0,0,0,0,0,246,524,547,581,605
q4-join-late,56.000,10001,,9999,0,0,0,0,0,0,0,439,534,555,588,615
q4-join-late,57.000,10010,,10001,0,0,0,0,0,0,0,450,541,563,592,612
q4-join-late,58.000,10009,,10011,0,0,0,0,0,0,0,433,534,556,587,602
q4-join-late,59.000,9999,,10005,0,0,0,0,0,0,0,433,533,555,592,631
q4-join-late,60.000,10017,,10020,0,0,0,0,0,0,0,235,532,556,595,636
