Linux 6.6.30+ (kylin) 	2026年07月17日 	_aarch64_	(8 CPU)

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分40秒   999    131193   23.00    6.00    0.00    0.00   29.00     2    416.00      0.00 2670988  119040   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分41秒   999    131193   43.00   13.00    0.00    0.00   56.00     2      9.00      0.00 2669452  118564   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分42秒   999    131193   41.00   14.00    0.00    0.00   55.00     2      0.00      0.00 2669308  118436   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分43秒   999    131193   43.00   12.00    0.00    0.00   55.00     2      0.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分44秒   999    131193   43.00   11.00    0.00    0.00   54.00     2      0.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分45秒   999    131193   44.00   11.00    0.00    0.00   55.00     2     42.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分46秒   999    131193   42.00   12.00    0.00    0.00   54.00     2      0.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分47秒   999    131193   45.00    9.00    0.00    0.00   54.00     2      0.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分48秒   999    131193   41.00   13.00    0.00    0.00   54.00     2     12.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分49秒   999    131193   41.00   13.00    0.00    0.00   54.00     2      0.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分50秒   999    131193   39.00   15.00    0.00    0.00   54.00     2     24.00      0.00 2668356  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分51秒   999    131193   43.00   12.00    0.00    0.00   55.00     2     26.00      0.00 2668868  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分52秒   999    131193   42.00   12.00    0.00    0.00   54.00     2     19.00      0.00 2668868  118060   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分53秒   999    131193   41.00   13.00    0.00    0.00   54.00     2     37.00      0.00 2668868  118188   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分54秒   999    131193   47.00    8.00    0.00    0.00   55.00     2     21.00      0.00 2668868  118188   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分55秒   999    131193   41.00   13.00    0.00    0.00   54.00     2     52.00      0.00 2669380  118188   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
17时32分56秒   999    131193   41.00   12.00    0.00    0.00   53.00     2      1.00      0.00 2668868  118188   0.36  beam.smp

# Time        UID       PID    %usr %system  %guest   %wait    %CPU   CPU  minflt/s  majflt/s     VSZ     RSS   %MEM  Command
