id,time (s),published (msg/s),returned (msg/s),confirmed (msg/s),nacked (msg/s),received (msg/s),min consumer latency (µs),median consumer latency (µs),75th p. consumer latency (µs),95th p. consumer latency (µs),99th p. consumer latency (µs),min confirm latency (µs),median confirm latency (µs),75th p. confirm latency (µs),95th p. confirm latency (µs),99th p. confirm latency (µs)
q5-drain,1.001,,,,,79200,17734486,17941901,18020686,18130040,18188815,,,,,
q5-drain,2.000,,,,,89273,17318204,17519547,17630374,17713022,17732193,,,,,
q5-drain,3.000,,,,,88146,16867427,17072295,17187815,17287910,17310704,,,,,
q5-drain,4.000,,,,,89219,16398362,16634873,16747951,16844733,16860990,,,,,
q5-drain,5.000,,,,,84164,15981071,16191565,16304778,16380423,16392048,,,,,
q5-drain,6.000,,,,,89784,15499182,15735845,15859228,15951912,15970677,,,,,
q5-drain,7.000,,,,,89435,15000567,15255558,15374860,15478096,15492514,,,,,
q5-drain,8.000,,,,,88989,14509332,14755376,14889396,14973952,14996610,,,,,
q5-drain,9.000,,,,,89403,14049167,14277598,14379356,14484082,14497320,,,,,
q5-drain,10.000,,,,,88722,13574915,13822690,13938638,14028776,14048385,,,,,
q5-drain,11.000,,,,,90094,13104468,13339271,13452022,13555828,13575672,,,,,
q5-drain,12.000,,,,,34050,12943546,13022408,13062314,13090366,13104813,,,,,
